n_takeoff_abu_pool,n_cruise_abu_pool,E_abu_mission_cruise_per_abu_kwh,timeline_type,abu_index,flight_index,t_hr,event
1.000000,1.000000,5.000000,aircraft,,1.000000,0.000000,aircraft_depart
1.000000,1.000000,5.000000,aircraft,,1.000000,0.247500,aircraft_arrive
1.000000,1.000000,5.000000,aircraft,,1.000000,0.530800,aircraft_ground_ops_done
1.000000,1.000000,5.000000,aircraft,,1.000000,1.074199,aircraft_charge_done
1.000000,1.000000,5.000000,aircraft,,2.000000,1.074199,aircraft_depart
1.000000,1.000000,5.000000,aircraft,,2.000000,1.321699,aircraft_arrive
1.000000,1.000000,5.000000,aircraft,,2.000000,1.604999,aircraft_ground_ops_done
1.000000,1.000000,5.000000,aircraft,,2.000000,2.148398,aircraft_charge_done
1.000000,1.000000,5.000000,aircraft,,3.000000,2.148398,aircraft_depart
1.000000,1.000000,5.000000,aircraft,,3.000000,2.395898,aircraft_arrive
1.000000,1.000000,5.000000,aircraft,,3.000000,2.679198,aircraft_ground_ops_done
1.000000,1.000000,5.000000,aircraft,,3.000000,3.222597,aircraft_charge_done
1.000000,1.000000,5.000000,aircraft,,4.000000,3.222597,aircraft_depart
1.000000,1.000000,5.000000,aircraft,,4.000000,3.470097,aircraft_arrive
1.000000,1.000000,5.000000,aircraft,,4.000000,3.753397,aircraft_ground_ops_done
1.000000,1.000000,5.000000,aircraft,,4.000000,4.296796,aircraft_charge_done
1.000000,1.000000,5.000000,aircraft,,5.000000,4.296796,aircraft_depart
1.000000,1.000000,5.000000,aircraft,,5.000000,4.544296,aircraft_arrive
1.000000,1.000000,5.000000,aircraft,,5.000000,4.827596,aircraft_ground_ops_done
1.000000,1.000000,5.000000,aircraft,,5.000000,5.370995,aircraft_charge_done
1.000000,1.000000,5.000000,aircraft,,6.000000,5.370995,aircraft_depart
1.000000,1.000000,5.000000,aircraft,,6.000000,5.618495,aircraft_arrive
1.000000,1.000000,5.000000,aircraft,,6.000000,5.901795,aircraft_ground_ops_done
1.000000,1.000000,5.000000,aircraft,,6.000000,6.445194,aircraft_charge_done
1.000000,1.000000,5.000000,aircraft,,7.000000,6.445194,aircraft_depart
1.000000,1.000000,5.000000,aircraft,,7.000000,6.692694,aircraft_arrive
1.000000,1.000000,5.000000,aircraft,,7.000000,6.975994,aircraft_ground_ops_done
1.000000,1.000000,5.000000,aircraft,,7.000000,7.519393,aircraft_charge_done
1.000000,1.000000,5.000000,aircraft,,8.000000,7.519393,aircraft_depart
1.000000,1.000000,5.000000,aircraft,,8.000000,7.766893,aircraft_arrive
1.000000,1.000000,5.000000,aircraft,,8.000000,8.050193,aircraft_ground_ops_done
1.000000,1.000000,5.000000,aircraft,,8.000000,8.593592,aircraft_charge_done
1.000000,1.000000,5.000000,takeoff_abu,1.000000,1.000000,0.000000,takeoff_abu_attached
1.000000,1.000000,5.000000,takeoff_abu,1.000000,1.000000,0.065000,takeoff_abu_detach
1.000000,1.000000,5.000000,takeoff_abu,1.000000,1.000000,0.207271,takeoff_abu_return_done
1.000000,1.000000,5.000000,takeoff_abu,1.000000,1.000000,0.207271,takeoff_abu_charge_start
1.000000,1.000000,5.000000,takeoff_abu,1.000000,1.000000,0.520724,takeoff_abu_charge_done
1.000000,1.000000,5.000000,takeoff_abu,1.000000,2.000000,1.074199,takeoff_abu_attached
1.000000,1.000000,5.000000,takeoff_abu,1.000000,2.000000,1.139199,takeoff_abu_detach
1.000000,1.000000,5.000000,takeoff_abu,1.000000,2.000000,1.281470,takeoff_abu_return_done
1.000000,1.000000,5.000000,takeoff_abu,1.000000,2.000000,1.281470,takeoff_abu_charge_start
1.000000,1.000000,5.000000,takeoff_abu,1.000000,2.000000,1.594923,takeoff_abu_charge_done
1.000000,1.000000,5.000000,takeoff_abu,1.000000,3.000000,2.148398,takeoff_abu_attached
1.000000,1.000000,5.000000,takeoff_abu,1.000000,3.000000,2.213398,takeoff_abu_detach
1.000000,1.000000,5.000000,takeoff_abu,1.000000,3.000000,2.355669,takeoff_abu_return_done
1.000000,1.000000,5.000000,takeoff_abu,1.000000,3.000000,2.355669,takeoff_abu_charge_start
1.000000,1.000000,5.000000,takeoff_abu,1.000000,3.000000,2.669122,takeoff_abu_charge_done
1.000000,1.000000,5.000000,takeoff_abu,1.000000,4.000000,3.222597,takeoff_abu_attached
1.000000,1.000000,5.000000,takeoff_abu,1.000000,4.000000,3.287597,takeoff_abu_detach
1.000000,1.000000,5.000000,takeoff_abu,1.000000,4.000000,3.429868,takeoff_abu_return_done
1.000000,1.000000,5.000000,takeoff_abu,1.000000,4.000000,3.429868,takeoff_abu_charge_start
1.000000,1.000000,5.000000,takeoff_abu,1.000000,4.000000,3.743321,takeoff_abu_charge_done
1.000000,1.000000,5.000000,takeoff_abu,1.000000,5.000000,4.296796,takeoff_abu_attached
1.000000,1.000000,5.000000,takeoff_abu,1.000000,5.000000,4.361796,takeoff_abu_detach
1.000000,1.000000,5.000000,takeoff_abu,1.000000,5.000000,4.504066,takeoff_abu_return_done
1.000000,1.000000,5.000000,takeoff_abu,1.000000,5.000000,4.504066,takeoff_abu_charge_start
1.000000,1.000000,5.000000,takeoff_abu,1.000000,5.000000,4.817520,takeoff_abu_charge_done
1.000000,1.000000,5.000000,takeoff_abu,1.000000,6.000000,5.370995,takeoff_abu_attached
1.000000,1.000000,5.000000,takeoff_abu,1.000000,6.000000,5.435995,takeoff_abu_detach
1.000000,1.000000,5.000000,takeoff_abu,1.000000,6.000000,5.578265,takeoff_abu_return_done
1.000000,1.000000,5.000000,takeoff_abu,1.000000,6.000000,5.578265,takeoff_abu_charge_start
1.000000,1.000000,5.000000,takeoff_abu,1.000000,6.000000,5.891719,takeoff_abu_charge_done
1.000000,1.000000,5.000000,takeoff_abu,1.000000,7.000000,6.445194,takeoff_abu_attached
1.000000,1.000000,5.000000,takeoff_abu,1.000000,7.000000,6.510194,takeoff_abu_detach
1.000000,1.000000,5.000000,takeoff_abu,1.000000,7.000000,6.652464,takeoff_abu_return_done
1.000000,1.000000,5.000000,takeoff_abu,1.000000,7.000000,6.652464,takeoff_abu_charge_start
1.000000,1.000000,5.000000,takeoff_abu,1.000000,7.000000,6.965918,takeoff_abu_charge_done
1.000000,1.000000,5.000000,takeoff_abu,1.000000,8.000000,7.519393,takeoff_abu_attached
1.000000,1.000000,5.000000,takeoff_abu,1.000000,8.000000,7.584393,takeoff_abu_detach
1.000000,1.000000,5.000000,takeoff_abu,1.000000,8.000000,7.726663,takeoff_abu_return_done
1.000000,1.000000,5.000000,takeoff_abu,1.000000,8.000000,7.726663,takeoff_abu_charge_start
1.000000,1.000000,5.000000,takeoff_abu,1.000000,8.000000,8.040117,takeoff_abu_charge_done
1.000000,1.000000,5.000000,cruise_abu,1.000000,1.000000,0.065000,cruise_abu_attached
1.000000,1.000000,5.000000,cruise_abu,1.000000,1.000000,0.084075,cruise_abu_detach
1.000000,1.000000,5.000000,cruise_abu,1.000000,1.000000,0.446489,cruise_abu_return_done
1.000000,1.000000,5.000000,cruise_abu,1.000000,1.000000,0.446489,cruise_abu_charge_start
1.000000,1.000000,5.000000,cruise_abu,1.000000,1.000000,0.723289,cruise_abu_charge_done
1.000000,1.000000,5.000000,cruise_abu,1.000000,2.000000,1.139199,cruise_abu_attached
1.000000,1.000000,5.000000,cruise_abu,1.000000,2.000000,1.158274,cruise_abu_detach
1.000000,1.000000,5.000000,cruise_abu,1.000000,2.000000,1.520688,cruise_abu_return_done
1.000000,1.000000,5.000000,cruise_abu,1.000000,2.000000,1.520688,cruise_abu_charge_start
1.000000,1.000000,5.000000,cruise_abu,1.000000,2.000000,1.797488,cruise_abu_charge_done
1.000000,1.000000,5.000000,cruise_abu,1.000000,3.000000,2.213398,cruise_abu_attached
1.000000,1.000000,5.000000,cruise_abu,1.000000,3.000000,2.232473,cruise_abu_detach
