E_abu_mission_kwh_per_abu,E_abu_total_kwh_per_abu,E_abu_used_kwh,E_saved_kwh,E_mission_kwh_main,E_pack_kwh_main,E_pack_kwh_abu,dod_main,dod_abu,soc_start_main,soc_start_abu,soc_target,t_flight_hr,t_overlap_hr,t_charge_hr_main,t_charge_hr_abu_raw,t_charge_hr_abu_net,t_charge_hr_total,t_ground_ops_hr,t_cruise_abu_return_hr,t_cycle_hr,n_feasible_flights,t_flight_day_hr,t_downtime_day_hr,t_slack_hr,charger_ac_kw,eta_charger_dc,c_rate_max,v_pack_nom_v_main,v_pack_nom_v_abu,P_cc_kw_main,P_cc_kw_abu,charger_limit_indicator_flag_main,charger_limit_indicator_flag_abu
5.000000,17.000000,5.000000,4.838632,43.334147,63.926573,17.000000,0.677874,1.000000,0.322126,0.000000,1.000000,0.247500,0.163775,0.705380,0.276800,0.163025,0.705380,0.283300,0.050000,1.236180,19.000000,4.702500,19.297500,0.512579,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
10.000000,22.000000,10.000000,9.589214,38.583565,63.926573,22.000000,0.603561,1.000000,0.396439,0.000000,1.000000,0.247500,0.145390,0.661896,0.348178,0.252788,0.661896,0.283300,0.050000,1.192696,20.000000,4.950000,19.050000,0.146071,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
15.000000,27.000000,15.000000,14.253635,33.919144,63.926573,27.000000,0.530595,1.000000,0.469405,0.000000,1.000000,0.247500,0.127339,0.619202,0.417592,0.340253,0.619202,0.283300,0.050000,1.150002,20.000000,4.950000,19.050000,0.999970,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
20.000000,32.000000,20.000000,18.832862,29.339917,63.926573,32.000000,0.458963,1.000000,0.541037,0.000000,1.000000,0.247500,0.109617,0.577286,0.485428,0.425811,0.577286,0.283300,0.050000,1.108086,21.000000,5.197500,18.802500,0.730186,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
25.000000,37.000000,25.000000,23.328088,24.844691,63.926573,37.000000,0.388644,1.000000,0.611356,0.000000,1.000000,0.247500,0.092221,0.536140,0.551949,0.509728,0.536140,0.283300,0.050000,1.066940,22.000000,5.445000,18.555000,0.527316,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
30.000000,42.000000,30.000000,27.740503,20.432276,63.926573,42.000000,0.319621,1.000000,0.680379,0.000000,1.000000,0.247500,0.075145,0.495752,0.617344,0.592199,0.592199,0.283300,0.050000,1.122999,21.000000,5.197500,18.802500,0.417016,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
35.000000,47.000000,33.134584,30.361973,17.810807,63.926573,47.000000,0.278614,0.960310,0.721386,0.039690,1.000000,0.247500,0.065000,0.471757,0.664683,0.649683,0.649683,0.283300,0.050000,1.180483,20.000000,4.950000,19.050000,0.390338,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
40.000000,52.000000,33.436778,30.361973,17.810807,63.926573,52.000000,0.278614,0.873784,0.721386,0.126216,1.000000,0.247500,0.065000,0.471757,0.685227,0.670227,0.670227,0.283300,0.050000,1.201027,19.000000,4.702500,19.297500,1.180484,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
45.000000,57.000000,33.741573,30.361973,17.810807,63.926573,57.000000,0.278614,0.802484,0.721386,0.197516,1.000000,0.247500,0.065000,0.471757,0.705016,0.690016,0.690016,0.283300,0.050000,1.220816,19.000000,4.702500,19.297500,0.804487,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
50.000000,62.000000,34.048970,30.361973,17.810807,63.926573,62.000000,0.278614,0.742725,0.721386,0.257275,1.000000,0.247500,0.065000,0.471757,0.724125,0.709125,0.709125,0.283300,0.050000,1.239925,19.000000,4.702500,19.297500,0.441418,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
