E_abu_mission_kwh_per_abu,E_abu_total_kwh_per_abu,E_abu_used_kwh,E_saved_kwh,E_mission_kwh_main,E_pack_kwh_main,E_pack_kwh_abu,dod_main,dod_abu,soc_start_main,soc_start_abu,soc_target,t_flight_hr,t_charge_hr_main,t_charge_hr_abu,t_charge_hr_total,t_ground_ops_hr,t_cycle_hr,n_feasible_flights,t_flight_day_hr,t_downtime_day_hr,t_slack_hr,charger_ac_kw,eta_charger_dc,c_rate_max,v_pack_nom_v_main,v_pack_nom_v_abu,P_cc_kw_main,P_cc_kw_abu,charger_limit_indicator_flag_main,charger_limit_indicator_flag_abu
5.000000,17.000000,5.000000,4.836649,44.068428,64.785559,17.000000,0.680220,1.000000,0.319780,0.000000,1.000000,0.247500,0.714793,0.276800,0.714793,0.283300,1.245593,19.000000,4.702500,19.297500,0.333734,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
10.000000,22.000000,10.000000,9.584242,39.320835,64.785559,22.000000,0.606938,1.000000,0.393062,0.000000,1.000000,0.247500,0.671337,0.348178,0.671337,0.283300,1.202137,19.000000,4.702500,19.297500,1.159402,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
15.000000,27.000000,15.000000,14.244737,34.660341,64.785559,27.000000,0.535001,1.000000,0.464999,0.000000,1.000000,0.247500,0.628678,0.417592,0.628678,0.283300,1.159478,20.000000,4.950000,19.050000,0.810445,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
20.000000,32.000000,20.000000,18.819154,30.085923,64.785559,32.000000,0.464392,1.000000,0.535608,0.000000,1.000000,0.247500,0.586807,0.485428,0.586807,0.283300,1.117607,21.000000,5.197500,18.802500,0.530260,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
25.000000,37.000000,25.000000,23.308742,25.596335,64.785559,37.000000,0.395093,1.000000,0.604907,0.000000,1.000000,0.247500,0.545712,0.551949,0.551949,0.283300,1.082749,22.000000,5.445000,18.555000,0.179523,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
30.000000,42.000000,30.000000,27.714745,21.190332,64.785559,42.000000,0.327084,1.000000,0.672916,0.000000,1.000000,0.247500,0.505382,0.617344,0.617344,0.283300,1.148144,20.000000,4.950000,19.050000,1.037115,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
35.000000,47.000000,33.841946,30.978339,17.926738,64.785559,47.000000,0.276709,0.975361,0.723291,0.024639,1.000000,0.247500,0.475510,0.671158,0.671158,0.283300,1.201958,19.000000,4.702500,19.297500,1.162802,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
40.000000,52.000000,34.153839,30.978339,17.926738,64.785559,52.000000,0.276709,0.887574,0.723291,0.112426,1.000000,0.247500,0.475510,0.691791,0.691791,0.283300,1.222591,19.000000,4.702500,19.297500,0.770778,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
45.000000,57.000000,34.468378,30.978339,17.926738,64.785559,57.000000,0.276709,0.815235,0.723291,0.184765,1.000000,0.247500,0.475510,0.711669,0.711669,0.283300,1.242469,19.000000,4.702500,19.297500,0.393086,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
50.000000,62.000000,34.785562,30.978339,17.926738,64.785559,62.000000,0.276709,0.754606,0.723291,0.245394,1.000000,0.247500,0.475510,0.730868,0.730868,0.283300,1.261668,19.000000,4.702500,19.297500,0.028315,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
