n_abus,E_abu_mission_kwh,E_abu_total_kwh,m_abu_batt_kg,m_abu_struct_kg,m_abu_integ_kg,m_rot_hub_kg,m_abu_total_all_kg,P_hover_attach_kw,P_cruise_attach_kw,t_divert_s,divert_distance_mi,E_divert_kwh,t_hover_s,E_hover_kwh,t_hover_descend_s,E_hover_descend_kwh,E_ops_kwh_total,t_loiter_hover_max_s,feasible,margin_kwh,note
1.000000,5.000000,11.000000,67.062948,13.412590,3.353147,8.237033,92.065717,921.333175,264.125707,143.905216,6.000000,10.558074,60.000000,15.355553,40.000000,8.503528,6.000000,0.000000,0.000000,-35.417155,Insufficient ABU mission energy
1.000000,10.000000,16.000000,97.546106,19.509221,4.877305,8.237033,130.169665,937.498412,266.533231,143.905216,6.000000,10.654312,60.000000,15.624974,40.000000,8.652727,6.000000,0.000000,0.000000,-30.932012,Insufficient ABU mission energy
1.000000,15.000000,21.000000,128.029264,25.605853,6.401463,8.237033,168.273612,953.757101,268.962817,143.905216,6.000000,10.751431,60.000000,15.895952,40.000000,8.802788,6.000000,0.000000,0.000000,-26.450171,Insufficient ABU mission energy
1.000000,20.000000,26.000000,158.512422,31.702484,7.925621,8.237033,206.377560,970.108708,271.414467,143.905216,6.000000,10.849433,60.000000,16.168478,40.000000,8.953706,6.000000,0.000000,0.000000,-21.971618,Insufficient ABU mission energy
1.000000,25.000000,31.000000,188.995580,37.799116,9.449779,8.237033,244.481508,986.552708,273.888179,143.905216,6.000000,10.948316,60.000000,16.442545,40.000000,9.105478,6.000000,0.000000,0.000000,-17.496339,Insufficient ABU mission energy
1.000000,30.000000,36.000000,219.478738,43.895748,10.973937,8.237033,282.585455,1003.088584,276.383954,143.905216,6.000000,11.048081,60.000000,16.718143,40.000000,9.258097,6.000000,0.000000,0.000000,-13.024322,Insufficient ABU mission energy
1.000000,35.000000,41.000000,249.961896,49.992379,12.498095,8.237033,320.689403,1019.715828,278.901791,143.905216,6.000000,11.148728,60.000000,16.995264,40.000000,9.411560,6.000000,0.000000,0.000000,-8.555552,Insufficient ABU mission energy
1.000000,40.000000,46.000000,280.445054,56.089011,14.022253,8.237033,358.793350,1036.433943,281.441692,143.905216,6.000000,11.250258,60.000000,17.273899,40.000000,9.565861,6.000000,0.000000,0.000000,-4.090018,Insufficient ABU mission energy
1.000000,45.000000,51.000000,310.928212,62.185642,15.546411,8.237033,396.897298,1053.242435,284.003655,143.905216,6.000000,11.352669,60.000000,17.554041,40.000000,9.720997,6.000000,1.272507,1.000000,0.372294,feasible
1.000000,50.000000,56.000000,341.411370,68.282274,17.070569,8.237033,435.001245,1070.140822,286.587680,143.905216,6.000000,11.455962,60.000000,17.835680,40.000000,9.876962,6.000000,16.253025,1.000000,4.831396,feasible
