iteration,mtow_guess_kg,new_mtow_kg,delta_kg,empty_mass_kg,battery_mass_kg,payload_mass_kg,total_energy_converged_kw_hr
0,3175.000000,2560.946101,-614.053899,1711.972412,394.973689,454.000000,64.785559
1,2560.946101,2241.015957,-319.930144,1467.890930,319.125027,454.000000,52.344483
2,2241.015957,2085.549574,-155.466383,1346.994228,284.555346,454.000000,46.674191
3,2085.549574,2012.624656,-72.924918,1289.740564,268.884093,454.000000,44.103713
4,2012.624656,1979.000816,-33.623840,1263.211719,261.789098,454.000000,42.939957
5,1979.000816,1963.622143,-15.378673,1251.049102,258.573042,454.000000,42.412443
6,1963.622143,1956.614398,-7.007745,1245.500651,257.113748,454.000000,42.173082
7,1956.614398,1953.426528,-3.187871,1242.975323,256.451205,454.000000,42.064409
8,1953.426528,1951.977464,-1.449064,1241.827152,256.150312,454.000000,42.015055
9,1951.977464,1951.319016,-0.658448,1241.305372,256.013644,454.000000,41.992638
10,1951.319016,1951.019868,-0.299148,1241.068304,255.951564,454.000000,41.982455
11,1951.019868,1950.883968,-0.135900,1240.960604,255.923364,454.000000,41.977830
12,1950.883968,1950.822232,-0.061736,1240.911678,255.910554,454.000000,41.975729
13,1950.822232,1950.794187,-0.028045,1240.889452,255.904735,454.000000,41.974774
14,1950.794187,1950.781448,-0.012740,1240.879356,255.902091,454.000000,41.974341
15,1950.781448,1950.775660,-0.005787,1240.874770,255.900891,454.000000,41.974144
16,1950.775660,1950.773032,-0.002629,1240.872686,255.900345,454.000000,41.974054
17,1950.773032,1950.771837,-0.001194,1240.871740,255.900097,454.000000,41.974013
18,1950.771837,1950.771295,-0.000542,1240.871310,255.899985,454.000000,41.973995
