daily_operation_hr,n_takeoff_abu_pool,n_cruise_abu_pool,E_abu_mission_cruise_per_abu_kwh,E_pack_kwh_main,E_mission_kwh_main,dod_main,soc_start_main,soc_target,soc_cc_end,E_abu_used_takeoff_total_kwh,E_ops_takeoff_per_abu_kwh,E_pack_takeoff_abu_per_abu_kwh,soc_start_abu_takeoff,dod_abu_takeoff,t_takeoff_attach_hr,t_return_takeoff_abu_hr,E_abu_used_cruise_total_kwh,E_saved_kwh_cruise,E_ops_cruise_per_abu_kwh,E_pack_cruise_abu_per_abu_kwh,soc_start_abu_cruise,dod_abu_cruise,t_cruise_attach_hr,t_cruise_attach_start_hr,t_return_cruise_abu_hr,t_flight_hr,t_charge_hr_main,t_charge_hr_takeoff_abu,t_charge_hr_cruise_abu,t_cycle_nominal_hr,n_flights_nominal_no_abu_limit,n_flights_completed,t_flight_day_hr,t_slack_hr,t_wait_takeoff_abu_day_hr,t_wait_cruise_abu_day_hr,abu_utilization_avg_takeoff,abu_utilization_avg_cruise,abu_bottleneck_takeoff_flag,abu_bottleneck_cruise_flag,P_cc_kw_main,P_cc_kw_takeoff_abu,P_cc_kw_cruise_abu,charger_limit_indicator_flag_main,charger_limit_indicator_flag_takeoff_abu,charger_limit_indicator_flag_cruise_abu
8.000000,1.000000,1.000000,5.000000,76.308395,55.712398,0.730095,0.269905,1.000000,0.800000,12.747102,6.000000,21.000000,0.107281,0.892719,0.065000,0.142271,5.000000,4.838722,12.000000,17.000000,0.000000,1.000000,0.019075,0.065000,0.586081,0.347500,0.855836,0.313453,0.276800,1.486636,5.000000,6.000000,2.085000,0.000000,0.000000,0.000000,0.390543,0.710217,0.000000,0.000000,109.250000,109.250000,109.250000,charger_limited,charger_limited,charger_limited
8.000000,1.000000,1.000000,10.000000,76.308395,50.961081,0.667831,0.332169,1.000000,0.800000,12.747102,6.000000,21.000000,0.107281,0.892719,0.065000,0.142271,10.000000,9.590039,12.000000,22.000000,0.000000,1.000000,0.037806,0.065000,0.544187,0.347500,0.812345,0.313453,0.348178,1.443145,5.000000,6.000000,2.085000,0.000000,0.000000,0.000000,0.390543,0.746378,0.000000,0.000000,109.250000,109.250000,109.250000,charger_limited,charger_limited,charger_limited
8.000000,1.000000,1.000000,15.000000,76.308395,46.295999,0.606696,0.393304,1.000000,0.800000,12.747102,6.000000,21.000000,0.107281,0.892719,0.065000,0.142271,15.000000,14.255120,12.000000,27.000000,0.000000,1.000000,0.056196,0.065000,0.503053,0.347500,0.769644,0.313453,0.417592,1.400444,5.000000,6.000000,2.085000,0.000000,0.000000,0.000000,0.390543,0.781381,0.000000,0.000000,109.250000,109.250000,109.250000,charger_limited,charger_limited,charger_limited
8.000000,1.000000,1.000000,20.000000,76.308395,41.715984,0.546676,0.453324,1.000000,0.800000,12.747102,6.000000,21.000000,0.107281,0.892719,0.065000,0.142271,20.000000,18.835135,12.000000,32.000000,0.000000,1.000000,0.074252,0.065000,0.462670,0.347500,0.727722,0.313453,0.485428,1.358522,5.000000,6.000000,2.085000,0.000000,0.000000,0.000000,0.390543,0.815512,0.000000,0.000000,109.250000,109.250000,109.250000,charger_limited,charger_limited,charger_limited
8.000000,1.000000,1.000000,25.000000,76.308395,37.219867,0.487756,0.512244,1.000000,0.800000,12.747102,6.000000,21.000000,0.107281,0.892719,0.065000,0.142271,25.000000,23.331253,12.000000,37.000000,0.000000,1.000000,0.091976,0.065000,0.423026,0.347500,0.686568,0.313453,0.551949,1.317368,6.000000,6.000000,2.085000,0.095794,0.000000,0.000000,0.390543,0.848963,0.000000,0.000000,109.250000,109.250000,109.250000,charger_limited,charger_limited,charger_limited
8.000000,1.000000,1.000000,30.000000,76.308395,32.806478,0.429920,0.570080,1.000000,0.800000,12.747102,6.000000,21.000000,0.107281,0.892719,0.065000,0.142271,30.000000,27.744641,12.000000,42.000000,0.000000,1.000000,0.109374,0.065000,0.384111,0.347500,0.646171,0.313453,0.617344,1.276971,6.000000,6.000000,2.085000,0.338177,0.000000,0.000000,0.390543,0.881873,0.000000,0.000000,109.250000,109.250000,109.250000,charger_limited,charger_limited,charger_limited
8.000000,1.000000,1.000000,35.000000,76.308395,28.474653,0.373152,0.626848,1.000000,0.800000,12.747102,6.000000,21.000000,0.107281,0.892719,0.065000,0.142271,35.000000,32.076466,12.000000,47.000000,0.000000,1.000000,0.126451,0.065000,0.345916,0.347500,0.606520,0.313453,0.681758,1.237320,6.000000,7.000000,2.432500,0.000000,0.000000,0.000000,0.455633,1.066735,0.000000,0.000000,109.250000,109.250000,109.250000,charger_limited,charger_limited,charger_limited
8.000000,1.000000,1.000000,40.000000,76.308395,24.223229,0.317439,0.682561,1.000000,0.800000,12.747102,6.000000,21.000000,0.107281,0.892719,0.065000,0.142271,40.000000,36.327891,12.000000,52.000000,0.000000,1.000000,0.143211,0.065000,0.308430,0.347500,0.567605,0.313453,0.745302,1.198405,6.000000,7.000000,2.432500,0.000000,0.000000,0.381229,0.455633,1.104201,0.000000,0.000000,109.250000,109.250000,109.250000,charger_limited,charger_limited,charger_limited
8.000000,1.000000,1.000000,45.000000,76.308395,20.051045,0.262763,0.737237,1.000000,0.800000,12.747102,6.000000,21.000000,0.107281,0.892719,0.065000,0.142271,45.000000,40.500074,12.000000,57.000000,0.000000,1.000000,0.159659,0.065000,0.271642,0.347500,0.529416,0.313453,0.808068,1.160216,6.000000,6.000000,2.085000,0.317937,0.000000,0.720768,0.390543,0.978277,0.000000,0.000000,109.250000,109.250000,109.250000,charger_limited,charger_limited,charger_limited
8.000000,1.000000,1.000000,50.000000,76.308395,15.956948,0.209111,0.790889,1.000000,0.800000,12.747102,6.000000,21.000000,0.107281,0.892719,0.065000,0.142271,50.000000,44.594172,12.000000,62.000000,0.000000,1.000000,0.175798,0.065000,0.235543,0.347500,0.491941,0.313453,0.870130,1.122741,7.000000,6.000000,2.085000,0.144899,0.000000,1.118652,0.390543,1.009854,0.000000,1.000000,109.250000,109.250000,109.250000,charger_limited,charger_limited,charger_limited
