n_abu_pool,E_abu_mission_kwh_per_abu,timeline_type,abu_index,flight_index,t_hr,event
1.000000,5.000000,aircraft,,1.000000,0.000000,aircraft_depart
1.000000,5.000000,aircraft,,1.000000,0.083725,abu_detach
1.000000,5.000000,aircraft,,1.000000,0.347500,aircraft_arrive
1.000000,5.000000,aircraft,,1.000000,0.630800,aircraft_ground_ops_done
1.000000,5.000000,aircraft,,1.000000,1.646740,aircraft_charge_done
1.000000,5.000000,aircraft,,2.000000,1.646740,aircraft_depart
1.000000,5.000000,aircraft,,2.000000,1.730465,abu_detach
1.000000,5.000000,aircraft,,2.000000,1.994240,aircraft_arrive
1.000000,5.000000,aircraft,,2.000000,2.277540,aircraft_ground_ops_done
1.000000,5.000000,aircraft,,2.000000,3.293480,aircraft_charge_done
1.000000,5.000000,aircraft,,3.000000,3.293480,aircraft_depart
1.000000,5.000000,aircraft,,3.000000,3.377205,abu_detach
1.000000,5.000000,aircraft,,3.000000,3.640980,aircraft_arrive
1.000000,5.000000,aircraft,,3.000000,3.924280,aircraft_ground_ops_done
1.000000,5.000000,aircraft,,3.000000,4.940220,aircraft_charge_done
1.000000,5.000000,aircraft,,4.000000,4.940220,aircraft_depart
1.000000,5.000000,aircraft,,4.000000,5.023945,abu_detach
1.000000,5.000000,aircraft,,4.000000,5.287720,aircraft_arrive
1.000000,5.000000,aircraft,,4.000000,5.571020,aircraft_ground_ops_done
1.000000,5.000000,aircraft,,4.000000,6.586960,aircraft_charge_done
1.000000,5.000000,aircraft,,5.000000,6.586960,aircraft_depart
1.000000,5.000000,aircraft,,5.000000,6.670685,abu_detach
1.000000,5.000000,aircraft,,5.000000,6.934460,aircraft_arrive
1.000000,5.000000,aircraft,,5.000000,7.217760,aircraft_ground_ops_done
1.000000,5.000000,aircraft,,5.000000,8.233700,aircraft_charge_done
1.000000,5.000000,abu,1.000000,1.000000,0.000000,abu_attached
1.000000,5.000000,abu,1.000000,1.000000,0.083725,abu_detach
1.000000,5.000000,abu,1.000000,1.000000,0.670589,abu_return_done
1.000000,5.000000,abu,1.000000,1.000000,0.670589,abu_charge_start
1.000000,5.000000,abu,1.000000,1.000000,0.947389,abu_charge_done
1.000000,5.000000,abu,1.000000,2.000000,1.646740,abu_attached
