n_abu_pool,candidate_name,timeline_type,abu_index,flight_index,t_hr,event
1.000000,after_accel_climb,aircraft,,1.000000,0.000000,aircraft_depart
1.000000,after_accel_climb,aircraft,,1.000000,0.441667,aircraft_arrive
1.000000,after_accel_climb,aircraft,,1.000000,0.724967,aircraft_ground_ops_done
1.000000,after_accel_climb,aircraft,,1.000000,1.924112,aircraft_charge_done
1.000000,after_accel_climb,aircraft,,2.000000,1.924112,aircraft_depart
1.000000,after_accel_climb,aircraft,,2.000000,2.365779,aircraft_arrive
1.000000,after_accel_climb,aircraft,,2.000000,2.649079,aircraft_ground_ops_done
1.000000,after_accel_climb,aircraft,,2.000000,3.848224,aircraft_charge_done
1.000000,after_accel_climb,aircraft,,3.000000,3.848224,aircraft_depart
1.000000,after_accel_climb,aircraft,,3.000000,4.289890,aircraft_arrive
1.000000,after_accel_climb,aircraft,,3.000000,4.573190,aircraft_ground_ops_done
1.000000,after_accel_climb,aircraft,,3.000000,5.772336,aircraft_charge_done
1.000000,after_accel_climb,aircraft,,4.000000,5.772336,aircraft_depart
1.000000,after_accel_climb,aircraft,,4.000000,6.214002,aircraft_arrive
1.000000,after_accel_climb,aircraft,,4.000000,6.497302,aircraft_ground_ops_done
1.000000,after_accel_climb,aircraft,,4.000000,7.696447,aircraft_charge_done
1.000000,after_accel_climb,aircraft,,5.000000,7.696447,aircraft_depart
1.000000,after_accel_climb,aircraft,,5.000000,8.138114,aircraft_arrive
1.000000,after_accel_climb,aircraft,,5.000000,8.421414,aircraft_ground_ops_done
1.000000,after_accel_climb,aircraft,,5.000000,9.620559,aircraft_charge_done
1.000000,after_accel_climb,aircraft,,6.000000,9.620559,aircraft_depart
1.000000,after_accel_climb,aircraft,,6.000000,10.062226,aircraft_arrive
1.000000,after_accel_climb,aircraft,,6.000000,10.345526,aircraft_ground_ops_done
1.000000,after_accel_climb,aircraft,,6.000000,11.544671,aircraft_charge_done
1.000000,after_accel_climb,aircraft,,7.000000,11.544671,aircraft_depart
1.000000,after_accel_climb,aircraft,,7.000000,11.986338,aircraft_arrive
1.000000,after_accel_climb,aircraft,,7.000000,12.269638,aircraft_ground_ops_done
1.000000,after_accel_climb,aircraft,,7.000000,13.468783,aircraft_charge_done
1.000000,after_accel_climb,aircraft,,8.000000,13.468783,aircraft_depart
1.000000,after_accel_climb,aircraft,,8.000000,13.910450,aircraft_arrive
1.000000,after_accel_climb,aircraft,,8.000000,14.193750,aircraft_ground_ops_done
1.000000,after_accel_climb,aircraft,,8.000000,15.392895,aircraft_charge_done
1.000000,after_accel_climb,aircraft,,9.000000,15.392895,aircraft_depart
1.000000,after_accel_climb,aircraft,,9.000000,15.834562,aircraft_arrive
1.000000,after_accel_climb,aircraft,,9.000000,16.117862,aircraft_ground_ops_done
1.000000,after_accel_climb,aircraft,,9.000000,17.317007,aircraft_charge_done
1.000000,after_accel_climb,aircraft,,10.000000,17.317007,aircraft_depart
1.000000,after_accel_climb,aircraft,,10.000000,17.758673,aircraft_arrive
1.000000,after_accel_climb,aircraft,,10.000000,18.041973,aircraft_ground_ops_done
1.000000,after_accel_climb,aircraft,,10.000000,19.241119,aircraft_charge_done
1.000000,after_accel_climb,aircraft,,11.000000,19.241119,aircraft_depart
1.000000,after_accel_climb,aircraft,,11.000000,19.682785,aircraft_arrive
1.000000,after_accel_climb,aircraft,,11.000000,19.966085,aircraft_ground_ops_done
1.000000,after_accel_climb,aircraft,,11.000000,21.165231,aircraft_charge_done
1.000000,after_accel_climb,aircraft,,12.000000,21.165231,aircraft_depart
1.000000,after_accel_climb,aircraft,,12.000000,21.606897,aircraft_arrive
1.000000,after_accel_climb,aircraft,,12.000000,21.890197,aircraft_ground_ops_done
1.000000,after_accel_climb,aircraft,,12.000000,23.089342,aircraft_charge_done
1.000000,after_accel_climb,aircraft,,13.000000,23.089342,aircraft_depart
1.000000,after_accel_climb,aircraft,,13.000000,23.531009,aircraft_arrive
1.000000,after_accel_climb,aircraft,,13.000000,23.814309,aircraft_ground_ops_done
1.000000,after_accel_climb,aircraft,,13.000000,25.013454,aircraft_charge_done
1.000000,after_accel_climb,abu,1.000000,1.000000,0.000000,abu_attach
1.000000,after_accel_climb,abu,1.000000,1.000000,0.065000,abu_detach
1.000000,after_accel_climb,abu,1.000000,1.000000,0.207271,abu_return_done
1.000000,after_accel_climb,abu,1.000000,1.000000,0.207271,abu_charge_start
1.000000,after_accel_climb,abu,1.000000,1.000000,0.520724,abu_charge_done
1.000000,after_accel_climb,abu,1.000000,2.000000,1.924112,abu_attach
1.000000,after_accel_climb,abu,1.000000,2.000000,1.989112,abu_detach
1.000000,after_accel_climb,abu,1.000000,2.000000,2.131382,abu_return_done
1.000000,after_accel_climb,abu,1.000000,2.000000,2.131382,abu_charge_start
1.000000,after_accel_climb,abu,1.000000,2.000000,2.444836,abu_charge_done
1.000000,after_accel_climb,abu,1.000000,3.000000,3.848224,abu_attach
1.000000,after_accel_climb,abu,1.000000,3.000000,3.913224,abu_detach
1.000000,after_accel_climb,abu,1.000000,3.000000,4.055494,abu_return_done
1.000000,after_accel_climb,abu,1.000000,3.000000,4.055494,abu_charge_start
1.000000,after_accel_climb,abu,1.000000,3.000000,4.368948,abu_charge_done
1.000000,after_accel_climb,abu,1.000000,4.000000,5.772336,abu_attach
1.000000,after_accel_climb,abu,1.000000,4.000000,5.837336,abu_detach
1.000000,after_accel_climb,abu,1.000000,4.000000,5.979606,abu_return_done
1.000000,after_accel_climb,abu,1.000000,4.000000,5.979606,abu_charge_start
1.000000,after_accel_climb,abu,1.000000,4.000000,6.293060,abu_charge_done
