n_takeoff_abu_pool,n_cruise_abu_pool,E_abu_mission_cruise_per_abu_kwh,E_pack_kwh_main,E_mission_kwh_main,dod_main,soc_start_main,soc_target,soc_cc_end,E_abu_used_takeoff_total_kwh,E_ops_takeoff_per_abu_kwh,E_pack_takeoff_abu_per_abu_kwh,soc_start_abu_takeoff,dod_abu_takeoff,t_takeoff_attach_hr,t_return_takeoff_abu_hr,E_abu_used_cruise_total_kwh,E_saved_kwh_cruise,E_ops_cruise_per_abu_kwh,E_pack_cruise_abu_per_abu_kwh,soc_start_abu_cruise,dod_abu_cruise,t_cruise_attach_hr,t_cruise_attach_start_hr,t_return_cruise_abu_hr,t_flight_hr,t_charge_hr_main,t_charge_hr_takeoff_abu,t_charge_hr_cruise_abu,t_cycle_nominal_hr,n_flights_nominal_no_abu_limit,n_flights_completed,t_flight_day_hr,t_slack_hr,t_wait_takeoff_abu_day_hr,t_wait_cruise_abu_day_hr,abu_utilization_avg_takeoff,abu_utilization_avg_cruise,abu_bottleneck_takeoff_flag,abu_bottleneck_cruise_flag,P_cc_kw_main,P_cc_kw_takeoff_abu,P_cc_kw_cruise_abu,charger_limit_indicator_flag_main,charger_limit_indicator_flag_takeoff_abu,charger_limit_indicator_flag_cruise_abu
1.000000,1.000000,5.000000,101.675059,81.079062,0.797433,0.202567,1.000000,0.800000,12.747102,6.000000,21.000000,0.107281,0.892719,0.065000,0.142271,5.000000,4.838722,12.000000,17.000000,0.000000,1.000000,0.019075,0.065000,0.809748,0.447500,1.154855,0.313453,0.276800,1.885655,12.000000,13.000000,5.817500,0.000000,0.000000,0.000000,0.282059,0.634087,0.000000,0.000000,109.250000,109.250000,109.250000,charger_limited,charger_limited,charger_limited
1.000000,1.000000,10.000000,101.675059,76.327745,0.750703,0.249297,1.000000,0.800000,12.747102,6.000000,21.000000,0.107281,0.892719,0.065000,0.142271,10.000000,9.590039,12.000000,22.000000,0.000000,1.000000,0.037806,0.065000,0.767854,0.447500,1.111365,0.313453,0.348178,1.842165,13.000000,13.000000,5.817500,0.051861,0.000000,0.000000,0.282059,0.660203,0.000000,0.000000,109.250000,109.250000,109.250000,charger_limited,charger_limited,charger_limited
1.000000,1.000000,15.000000,101.675059,71.662663,0.704820,0.295180,1.000000,0.800000,12.747102,6.000000,21.000000,0.107281,0.892719,0.065000,0.142271,15.000000,14.255120,12.000000,27.000000,0.000000,1.000000,0.056196,0.065000,0.726720,0.447500,1.068664,0.313453,0.417592,1.799464,13.000000,14.000000,6.265000,0.000000,0.000000,0.000000,0.303756,0.738213,0.000000,0.000000,109.250000,109.250000,109.250000,charger_limited,charger_limited,charger_limited
1.000000,1.000000,20.000000,101.675059,67.082649,0.659775,0.340225,1.000000,0.800000,12.747102,6.000000,21.000000,0.107281,0.892719,0.065000,0.142271,20.000000,18.835135,12.000000,32.000000,0.000000,1.000000,0.074252,0.065000,0.686336,0.447500,1.026741,0.313453,0.485428,1.757541,13.000000,14.000000,6.265000,0.000000,0.000000,0.000000,0.303756,0.764759,0.000000,0.000000,109.250000,109.250000,109.250000,charger_limited,charger_limited,charger_limited
1.000000,1.000000,25.000000,101.675059,62.586531,0.615554,0.384446,1.000000,0.800000,12.747102,6.000000,21.000000,0.107281,0.892719,0.065000,0.142271,25.000000,23.331253,12.000000,37.000000,0.000000,1.000000,0.091976,0.065000,0.646693,0.447500,0.985587,0.313453,0.551949,1.716387,13.000000,14.000000,6.265000,0.000000,0.000000,0.000000,0.303756,0.790777,0.000000,0.000000,109.250000,109.250000,109.250000,charger_limited,charger_limited,charger_limited
1.000000,1.000000,30.000000,101.675059,58.173143,0.572148,0.427852,1.000000,0.800000,12.747102,6.000000,21.000000,0.107281,0.892719,0.065000,0.142271,30.000000,27.744641,12.000000,42.000000,0.000000,1.000000,0.109374,0.065000,0.607778,0.447500,0.945190,0.313453,0.617344,1.675990,14.000000,15.000000,6.712500,0.000000,0.000000,0.000000,0.325452,0.874685,0.000000,0.000000,109.250000,109.250000,109.250000,charger_limited,charger_limited,charger_limited
1.000000,1.000000,35.000000,101.675059,53.841318,0.529543,0.470457,1.000000,0.800000,12.747102,6.000000,21.000000,0.107281,0.892719,0.065000,0.142271,35.000000,32.076466,12.000000,47.000000,0.000000,1.000000,0.126451,0.065000,0.569583,0.447500,0.905539,0.313453,0.681758,1.636339,14.000000,15.000000,6.712500,0.000000,0.000000,0.000000,0.325452,0.901745,0.000000,0.000000,109.250000,109.250000,109.250000,charger_limited,charger_limited,charger_limited
1.000000,1.000000,40.000000,101.675059,49.589893,0.487729,0.512271,1.000000,0.800000,12.747102,6.000000,21.000000,0.107281,0.892719,0.065000,0.142271,40.000000,36.327891,12.000000,52.000000,0.000000,1.000000,0.143211,0.065000,0.532097,0.447500,0.866624,0.313453,0.745302,1.597424,15.000000,15.000000,6.712500,0.038633,0.000000,0.000000,0.325452,0.928506,0.000000,0.000000,109.250000,109.250000,109.250000,charger_limited,charger_limited,charger_limited
1.000000,1.000000,45.000000,101.675059,45.417710,0.446695,0.553305,1.000000,0.800000,12.747102,6.000000,21.000000,0.107281,0.892719,0.065000,0.142271,45.000000,40.500074,12.000000,57.000000,0.000000,1.000000,0.159659,0.065000,0.495309,0.447500,0.828435,0.313453,0.808068,1.559235,15.000000,16.000000,7.160000,0.000000,0.000000,0.000000,0.347149,1.018691,0.000000,0.000000,109.250000,109.250000,109.250000,charger_limited,charger_limited,charger_limited
1.000000,1.000000,50.000000,101.675059,41.323612,0.406428,0.593572,1.000000,0.800000,12.747102,6.000000,21.000000,0.107281,0.892719,0.065000,0.142271,50.000000,44.594172,12.000000,62.000000,0.000000,1.000000,0.175798,0.065000,0.459210,0.447500,0.790961,0.313453,0.870130,1.521761,15.000000,16.000000,7.160000,0.000000,0.000000,0.725669,0.347149,1.046759,0.000000,0.000000,109.250000,109.250000,109.250000,charger_limited,charger_limited,charger_limited
1.000000,2.000000,5.000000,101.675059,81.079062,0.797433,0.202567,1.000000,0.800000,12.747102,6.000000,21.000000,0.107281,0.892719,0.065000,0.142271,5.000000,4.838722,12.000000,17.000000,0.000000,1.000000,0.019075,0.065000,0.809748,0.447500,1.154855,0.313453,0.276800,1.885655,12.000000,13.000000,5.817500,0.000000,0.000000,0.000000,0.282059,0.317044,0.000000,0.000000,109.250000,109.250000,109.250000,charger_limited,charger_limited,charger_limited
1.000000,2.000000,10.000000,101.675059,76.327745,0.750703,0.249297,1.000000,0.800000,12.747102,6.000000,21.000000,0.107281,0.892719,0.065000,0.142271,10.000000,9.590039,12.000000,22.000000,0.000000,1.000000,0.037806,0.065000,0.767854,0.447500,1.111365,0.313453,0.348178,1.842165,13.000000,13.000000,5.817500,0.051861,0.000000,0.000000,0.282059,0.330102,0.000000,0.000000,109.250000,109.250000,109.250000,charger_limited,charger_limited,charger_limited
1.000000,2.000000,15.000000,101.675059,71.662663,0.704820,0.295180,1.000000,0.800000,12.747102,6.000000,21.000000,0.107281,0.892719,0.065000,0.142271,15.000000,14.255120,12.000000,27.000000,0.000000,1.000000,0.056196,0.065000,0.726720,0.447500,1.068664,0.313453,0.417592,1.799464,13.000000,14.000000,6.265000,0.000000,0.000000,0.000000,0.303756,0.369107,0.000000,0.000000,109.250000,109.250000,109.250000,charger_limited,charger_limited,charger_limited
1.000000,2.000000,20.000000,101.675059,67.082649,0.659775,0.340225,1.000000,0.800000,12.747102,6.000000,21.000000,0.107281,0.892719,0.065000,0.142271,20.000000,18.835135,12.000000,32.000000,0.000000,1.000000,0.074252,0.065000,0.686336,0.447500,1.026741,0.313453,0.485428,1.757541,13.000000,14.000000,6.265000,0.000000,0.000000,0.000000,0.303756,0.382380,0.000000,0.000000,109.250000,109.250000,109.250000,charger_limited,charger_limited,charger_limited
