candidate_name,E_abu_mission_cruise_per_abu_kwh,E_pack_kwh_main,E_mission_kwh_main,dod_main,soc_start_main,soc_target,soc_cc_end,n_abus_takeoff,E_abu_used_takeoff_total_kwh,E_ops_takeoff_per_abu_kwh,E_pack_takeoff_abu_per_abu_kwh,soc_start_abu_takeoff,dod_abu_takeoff,n_abus_cruise,E_abu_used_cruise_total_kwh,E_saved_kwh_cruise,E_ops_cruise_per_abu_kwh,E_pack_cruise_abu_per_abu_kwh,soc_start_abu_cruise,dod_abu_cruise,t_charge_hr_main,t_charge_hr_takeoff_abu_per_pack,t_charge_hr_cruise_abu_per_pack,t_charge_hr_total,t_ground_ops_hr,t_flight_hr,t_cycle_hr,n_feasible_flights,t_flight_day_hr,t_downtime_day_hr,t_slack_hr,charger_ac_kw,eta_charger_dc,c_rate_max,v_pack_nom_v_main,v_pack_nom_v_abu,i_term_c,P_cc_kw_main,P_cc_kw_takeoff_abu,P_cc_kw_cruise_abu,charger_limit_indicator_flag_main,charger_limit_indicator_flag_takeoff_abu,charger_limit_indicator_flag_cruise_abu
after_accel_climb,5.000000,103.621856,82.904720,0.800070,0.199930,1.000000,0.800000,1.000000,12.648665,6.000000,21.000000,0.111968,0.888032,1.000000,5.000000,4.836653,12.000000,17.000000,0.000000,1.000000,1.176262,0.312552,0.276800,1.176262,0.283300,0.447500,1.907062,12.000000,5.370000,18.630000,1.115258,115.000000,0.950000,20.000000,800.000000,400.000000,0.050000,109.250000,109.250000,109.250000,charger_limited,charger_limited,charger_limited
after_accel_climb,10.000000,103.621856,78.156514,0.754247,0.245753,1.000000,0.800000,1.000000,12.648665,6.000000,21.000000,0.111968,0.888032,1.000000,10.000000,9.584860,12.000000,22.000000,0.000000,1.000000,1.132800,0.312552,0.348178,1.132800,0.283300,0.447500,1.863600,12.000000,5.370000,18.630000,1.636800,115.000000,0.950000,20.000000,800.000000,400.000000,0.050000,109.250000,109.250000,109.250000,charger_limited,charger_limited,charger_limited
after_accel_climb,15.000000,103.621856,73.495524,0.709267,0.290733,1.000000,0.800000,1.000000,12.648665,6.000000,21.000000,0.111968,0.888032,1.000000,15.000000,14.245850,12.000000,27.000000,0.000000,1.000000,1.090137,0.312552,0.417592,1.090137,0.283300,0.447500,1.820937,13.000000,5.817500,18.182500,0.327825,115.000000,0.950000,20.000000,800.000000,400.000000,0.050000,109.250000,109.250000,109.250000,charger_limited,charger_limited,charger_limited
after_accel_climb,20.000000,103.621856,68.920520,0.665116,0.334884,1.000000,0.800000,1.000000,12.648665,6.000000,21.000000,0.111968,0.888032,1.000000,20.000000,18.820853,12.000000,32.000000,0.000000,1.000000,1.048260,0.312552,0.485428,1.048260,0.283300,0.447500,1.779060,13.000000,5.817500,18.182500,0.872219,115.000000,0.950000,20.000000,800.000000,400.000000,0.050000,109.250000,109.250000,109.250000,charger_limited,charger_limited,charger_limited
after_accel_climb,25.000000,103.621856,64.430277,0.621783,0.378217,1.000000,0.800000,1.000000,12.648665,6.000000,21.000000,0.111968,0.888032,1.000000,25.000000,23.311096,12.000000,37.000000,0.000000,1.000000,1.007159,0.312552,0.551949,1.007159,0.283300,0.447500,1.737959,13.000000,5.817500,18.182500,1.406528,115.000000,0.950000,20.000000,800.000000,400.000000,0.050000,109.250000,109.250000,109.250000,charger_limited,charger_limited,charger_limited
after_accel_climb,30.000000,103.621856,60.023572,0.579256,0.420744,1.000000,0.800000,1.000000,12.648665,6.000000,21.000000,0.111968,0.888032,1.000000,30.000000,27.717802,12.000000,42.000000,0.000000,1.000000,0.966823,0.312552,0.617344,0.966823,0.283300,0.447500,1.697623,14.000000,6.265000,17.735000,0.233272,115.000000,0.950000,20.000000,800.000000,400.000000,0.050000,109.250000,109.250000,109.250000,charger_limited,charger_limited,charger_limited
after_accel_climb,35.000000,103.621856,55.699184,0.537524,0.462476,1.000000,0.800000,1.000000,12.648665,6.000000,21.000000,0.111968,0.888032,1.000000,35.000000,32.042189,12.000000,47.000000,0.000000,1.000000,0.927241,0.312552,0.681758,0.927241,0.283300,0.447500,1.658041,14.000000,6.265000,17.735000,0.787427,115.000000,0.950000,20.000000,800.000000,400.000000,0.050000,109.250000,109.250000,109.250000,charger_limited,charger_limited,charger_limited
after_accel_climb,40.000000,103.621856,51.455901,0.496574,0.503426,1.000000,0.800000,1.000000,12.648665,6.000000,21.000000,0.111968,0.888032,1.000000,40.000000,36.285473,12.000000,52.000000,0.000000,1.000000,0.888401,0.312552,0.745302,0.888401,0.283300,0.447500,1.619201,14.000000,6.265000,17.735000,1.331188,115.000000,0.950000,20.000000,800.000000,400.000000,0.050000,109.250000,109.250000,109.250000,charger_limited,charger_limited,charger_limited
after_accel_climb,45.000000,103.621856,47.292514,0.456395,0.543605,1.000000,0.800000,1.000000,12.648665,6.000000,21.000000,0.111968,0.888032,1.000000,45.000000,40.448860,12.000000,57.000000,0.000000,1.000000,0.850292,0.312552,0.808068,0.850292,0.283300,0.447500,1.581092,15.000000,6.712500,17.287500,0.283620,115.000000,0.950000,20.000000,800.000000,400.000000,0.050000,109.250000,109.250000,109.250000,charger_limited,charger_limited,charger_limited
after_accel_climb,50.000000,103.621856,43.207822,0.416976,0.583024,1.000000,0.800000,1.000000,12.648665,6.000000,21.000000,0.111968,0.888032,1.000000,50.000000,44.533552,12.000000,62.000000,0.000000,1.000000,0.812904,0.312552,0.870130,0.870130,0.283300,0.447500,1.600930,14.000000,6.265000,17.735000,1.586977,115.000000,0.950000,20.000000,800.000000,400.000000,0.050000,109.250000,109.250000,109.250000,charger_limited,charger_limited,charger_limited
