n_abus,E_abu_mission_kwh,E_abu_total_kwh,m_abu_batt_kg,m_abu_struct_kg,m_abu_integ_kg,m_rot_hub_kg,m_abu_total_all_kg,P_cruise_attach_kw,P_cruise_post_kw,baseline_cruise_energy_kwh,E_cruise_attach_kwh,E_abu_used_kwh,E_saved_kwh,t_attached_until_depletion_s,t_attached_effective_s,extra_time_s,total_extended_time_s,range_attached_mi,extra_range_mi,total_extended_range_mi,overcapacity,full_coverage_flag
1.000000,5.000000,6.000000,36.579790,7.315958,1.828989,8.237033,53.961770,267.097581,263.645439,83.707427,5.000000,5.000000,4.935377,67.391101,67.391101,67.391101,134.782202,2.809804,2.809804,5.619608,0.000000,0.000000
1.000000,10.000000,11.000000,67.062948,13.412590,3.353147,8.346003,92.174688,269.569424,263.645439,83.707427,10.000000,10.000000,9.780243,133.546303,133.546303,133.546303,267.092606,5.568079,5.568079,11.136158,0.000000,0.000000
1.000000,15.000000,16.000000,97.546106,19.509221,4.877305,8.422928,130.355561,272.061733,263.645439,83.707427,15.000000,15.000000,14.535971,198.484364,198.484364,198.484364,396.968727,8.275606,8.275606,16.551212,0.000000,0.000000
1.000000,20.000000,21.000000,128.029264,25.605853,6.401463,8.499591,168.536171,274.576553,263.645439,83.707427,20.000000,20.000000,19.203784,262.221953,262.221953,262.221953,524.443906,10.933081,10.933081,21.866161,0.000000,0.000000
1.000000,25.000000,26.000000,158.512422,31.702484,7.925621,8.576059,206.716587,277.113888,263.645439,83.707427,25.000000,25.000000,23.784936,324.776216,324.776216,324.776216,649.552432,13.541218,13.541218,27.082435,0.000000,0.000000
1.000000,30.000000,31.000000,188.995580,37.799116,9.449779,8.652335,244.896810,279.673738,263.645439,83.707427,30.000000,30.000000,28.280679,386.164252,386.164252,386.164252,772.328504,16.100730,16.100730,32.201460,0.000000,0.000000
1.000000,35.000000,36.000000,219.478738,43.895748,10.973937,8.728421,283.076843,282.256103,263.645439,83.707427,35.000000,35.000000,32.692262,446.403102,446.403102,446.403102,892.806203,18.612328,18.612328,37.224657,0.000000,0.000000
1.000000,40.000000,41.000000,249.961896,49.992379,12.498095,8.804320,321.256690,284.860983,263.645439,83.707427,40.000000,40.000000,37.020927,505.509735,505.509735,505.509735,1011.019469,21.076720,21.076720,42.153440,0.000000,0.000000
1.000000,45.000000,46.000000,280.445054,56.089011,14.022253,8.880034,359.436352,287.488378,263.645439,83.707427,45.000000,45.000000,41.267911,563.501041,563.501041,563.501041,1127.002082,23.494609,23.494609,46.989218,0.000000,0.000000
1.000000,50.000000,51.000000,310.928212,62.185642,15.546411,8.955567,397.615832,290.138286,263.645439,83.707427,50.000000,50.000000,45.434445,620.393821,620.393821,620.393821,1240.787642,25.866696,25.866696,51.733393,0.000000,0.000000
