n_abus,E_abu_mission_kwh,E_abu_total_kwh,m_abu_batt_kg,m_abu_struct_kg,m_abu_integ_kg,m_rot_hub_kg,m_abu_total_all_kg,E_cruise_attach_kwh,E_abu_used_kwh,baseline_cruise_energy_kwh,E_saved_kwh,extra_time_s,extra_range_mi
1.000000,5.000000,17.000000,103.642737,20.728547,5.182137,8.237033,137.790454,84.778019,5.000000,82.041926,2.263907,31.540526,1.315050
1.000000,10.000000,22.000000,134.125895,26.825179,6.706295,8.514497,176.171866,85.556467,10.000000,82.041926,6.485459,90.354774,3.767251
1.000000,15.000000,27.000000,164.609053,32.921811,8.230453,8.591329,214.352646,86.337897,15.000000,82.041926,10.704029,149.127471,6.217720
1.000000,20.000000,32.000000,195.092212,39.018442,9.754611,8.667567,252.532832,87.126348,20.000000,82.041926,14.915578,207.802354,8.664110
1.000000,25.000000,37.000000,225.575370,45.115074,11.278768,8.743615,290.712827,87.921828,25.000000,82.041926,19.120098,266.379309,11.106417
1.000000,30.000000,42.000000,256.058528,51.211706,12.802926,8.819477,328.892637,88.724337,30.000000,82.041926,23.317589,324.858338,13.544642
1.000000,35.000000,47.000000,286.541686,57.308337,14.327084,8.895155,367.072262,89.533875,35.000000,82.041926,27.508051,383.239441,15.978783
1.000000,40.000000,52.000000,317.024844,63.404969,15.851242,8.970651,405.251706,90.350442,40.000000,82.041926,31.691484,441.522618,18.408841
1.000000,45.000000,57.000000,347.508002,69.501600,17.375400,9.045968,443.430971,91.174038,45.000000,82.041926,35.867888,499.707870,20.834817
1.000000,50.000000,62.000000,377.991160,75.598232,18.899558,9.121109,481.610058,92.004662,50.000000,82.041926,40.037264,557.795198,23.256710
