E_abu_mission_kwh_per_abu,E_abu_total_kwh_per_abu,E_abu_used_kwh,E_saved_kwh,E_mission_kwh_main,E_pack_kwh_main,E_pack_kwh_abu,dod_main,dod_abu,soc_start_main,soc_start_abu,soc_target,t_flight_hr,t_charge_hr_main,t_charge_hr_abu,t_charge_hr_total,t_ground_ops_hr,t_cycle_hr,n_feasible_flights,t_flight_day_hr,t_downtime_day_hr,t_slack_hr,charger_ac_kw,eta_charger_dc,c_rate_max,v_pack_nom_v_main,v_pack_nom_v_abu,P_cc_kw_main,P_cc_kw_abu,charger_limit_indicator_flag_main,charger_limit_indicator_flag_abu
5.000000,17.000000,5.000000,4.663749,29.886917,46.043027,17.000000,0.649108,1.000000,0.350892,0.000000,1.000000,0.247500,0.521618,0.276800,0.521618,0.283300,1.052418,22.000000,5.445000,18.555000,0.846809,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
10.000000,22.000000,10.000000,9.162466,25.388200,46.043027,22.000000,0.551402,1.000000,0.448598,0.000000,1.000000,0.247500,0.480440,0.348178,0.480440,0.283300,1.011240,23.000000,5.692500,18.307500,0.741490,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
15.000000,27.000000,15.000000,13.506416,21.044250,46.043027,27.000000,0.457056,1.000000,0.542944,0.000000,1.000000,0.247500,0.440678,0.417592,0.440678,0.283300,0.971478,24.000000,5.940000,18.060000,0.684527,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
20.000000,32.000000,20.000000,17.699164,16.851502,46.043027,32.000000,0.365995,1.000000,0.634005,0.000000,1.000000,0.247500,0.402300,0.485428,0.485428,0.283300,1.016228,23.000000,5.692500,18.307500,0.626751,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
25.000000,37.000000,22.343228,19.434765,15.115901,46.043027,37.000000,0.328299,0.928195,0.671701,0.071805,1.000000,0.247500,0.386414,0.527631,0.527631,0.283300,1.058431,22.000000,5.445000,18.555000,0.714525,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
30.000000,42.000000,22.729938,19.434765,15.115901,46.043027,42.000000,0.328299,0.826903,0.671701,0.173097,1.000000,0.247500,0.386414,0.550799,0.550799,0.283300,1.081599,22.000000,5.445000,18.555000,0.204821,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
35.000000,47.000000,23.121355,19.434765,15.115901,46.043027,47.000000,0.328299,0.747263,0.671701,0.252737,1.000000,0.247500,0.386414,0.573029,0.573029,0.283300,1.103829,21.000000,5.197500,18.802500,0.819595,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
40.000000,52.000000,23.517477,19.434765,15.115901,46.043027,52.000000,0.328299,0.683028,0.671701,0.316972,1.000000,0.247500,0.386414,0.594433,0.594433,0.283300,1.125233,21.000000,5.197500,18.802500,0.370115,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
45.000000,57.000000,23.918305,19.434765,15.115901,46.043027,57.000000,0.328299,0.630146,0.671701,0.369854,1.000000,0.247500,0.386414,0.615101,0.615101,0.283300,1.145901,20.000000,4.950000,19.050000,1.081981,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
50.000000,62.000000,24.323839,19.434765,15.115901,46.043027,62.000000,0.328299,0.585868,0.671701,0.414132,1.000000,0.247500,0.386414,0.635108,0.635108,0.283300,1.165908,20.000000,4.950000,19.050000,0.681837,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
