n_abu_pool,candidate_name,timeline_type,abu_index,flight_index,t_hr,event
1.000000,after_accel_climb,aircraft,,1.000000,0.000000,aircraft_depart
1.000000,after_accel_climb,aircraft,,1.000000,0.341667,aircraft_arrive
1.000000,after_accel_climb,aircraft,,1.000000,0.624967,aircraft_ground_ops_done
1.000000,after_accel_climb,aircraft,,1.000000,1.253419,aircraft_charge_done
1.000000,after_accel_climb,aircraft,,2.000000,1.253419,aircraft_depart
1.000000,after_accel_climb,aircraft,,2.000000,1.595086,aircraft_arrive
1.000000,after_accel_climb,aircraft,,2.000000,1.878386,aircraft_ground_ops_done
1.000000,after_accel_climb,aircraft,,2.000000,2.506838,aircraft_charge_done
1.000000,after_accel_climb,aircraft,,3.000000,2.506838,aircraft_depart
1.000000,after_accel_climb,aircraft,,3.000000,2.848505,aircraft_arrive
1.000000,after_accel_climb,aircraft,,3.000000,3.131805,aircraft_ground_ops_done
1.000000,after_accel_climb,aircraft,,3.000000,3.760257,aircraft_charge_done
1.000000,after_accel_climb,aircraft,,4.000000,3.760257,aircraft_depart
1.000000,after_accel_climb,aircraft,,4.000000,4.101924,aircraft_arrive
1.000000,after_accel_climb,aircraft,,4.000000,4.385224,aircraft_ground_ops_done
1.000000,after_accel_climb,aircraft,,4.000000,5.013676,aircraft_charge_done
1.000000,after_accel_climb,aircraft,,5.000000,5.013676,aircraft_depart
1.000000,after_accel_climb,aircraft,,5.000000,5.355342,aircraft_arrive
1.000000,after_accel_climb,aircraft,,5.000000,5.638642,aircraft_ground_ops_done
1.000000,after_accel_climb,aircraft,,5.000000,6.267095,aircraft_charge_done
1.000000,after_accel_climb,aircraft,,6.000000,6.267095,aircraft_depart
1.000000,after_accel_climb,aircraft,,6.000000,6.608761,aircraft_arrive
1.000000,after_accel_climb,aircraft,,6.000000,6.892061,aircraft_ground_ops_done
1.000000,after_accel_climb,aircraft,,6.000000,7.520514,aircraft_charge_done
1.000000,after_accel_climb,aircraft,,7.000000,7.520514,aircraft_depart
1.000000,after_accel_climb,aircraft,,7.000000,7.862180,aircraft_arrive
1.000000,after_accel_climb,aircraft,,7.000000,8.145480,aircraft_ground_ops_done
1.000000,after_accel_climb,aircraft,,7.000000,8.773933,aircraft_charge_done
1.000000,after_accel_climb,aircraft,,8.000000,8.773933,aircraft_depart
1.000000,after_accel_climb,aircraft,,8.000000,9.115599,aircraft_arrive
1.000000,after_accel_climb,aircraft,,8.000000,9.398899,aircraft_ground_ops_done
1.000000,after_accel_climb,aircraft,,8.000000,10.027352,aircraft_charge_done
1.000000,after_accel_climb,aircraft,,9.000000,10.027352,aircraft_depart
1.000000,after_accel_climb,aircraft,,9.000000,10.369018,aircraft_arrive
1.000000,after_accel_climb,aircraft,,9.000000,10.652318,aircraft_ground_ops_done
1.000000,after_accel_climb,aircraft,,9.000000,11.280771,aircraft_charge_done
1.000000,after_accel_climb,aircraft,,10.000000,11.280771,aircraft_depart
1.000000,after_accel_climb,aircraft,,10.000000,11.622437,aircraft_arrive
1.000000,after_accel_climb,aircraft,,10.000000,11.905737,aircraft_ground_ops_done
1.000000,after_accel_climb,aircraft,,10.000000,12.534190,aircraft_charge_done
1.000000,after_accel_climb,aircraft,,11.000000,12.534190,aircraft_depart
1.000000,after_accel_climb,aircraft,,11.000000,12.875856,aircraft_arrive
1.000000,after_accel_climb,aircraft,,11.000000,13.159156,aircraft_ground_ops_done
1.000000,after_accel_climb,aircraft,,11.000000,13.787609,aircraft_charge_done
1.000000,after_accel_climb,aircraft,,12.000000,13.787609,aircraft_depart
1.000000,after_accel_climb,aircraft,,12.000000,14.129275,aircraft_arrive
1.000000,after_accel_climb,aircraft,,12.000000,14.412575,aircraft_ground_ops_done
1.000000,after_accel_climb,aircraft,,12.000000,15.041027,aircraft_charge_done
1.000000,after_accel_climb,aircraft,,13.000000,15.041027,aircraft_depart
1.000000,after_accel_climb,aircraft,,13.000000,15.382694,aircraft_arrive
1.000000,after_accel_climb,aircraft,,13.000000,15.665994,aircraft_ground_ops_done
1.000000,after_accel_climb,aircraft,,13.000000,16.294446,aircraft_charge_done
1.000000,after_accel_climb,aircraft,,14.000000,16.294446,aircraft_depart
1.000000,after_accel_climb,aircraft,,14.000000,16.636113,aircraft_arrive
1.000000,after_accel_climb,aircraft,,14.000000,16.919413,aircraft_ground_ops_done
1.000000,after_accel_climb,aircraft,,14.000000,17.547865,aircraft_charge_done
1.000000,after_accel_climb,aircraft,,15.000000,17.547865,aircraft_depart
1.000000,after_accel_climb,aircraft,,15.000000,17.889532,aircraft_arrive
1.000000,after_accel_climb,aircraft,,15.000000,18.172832,aircraft_ground_ops_done
1.000000,after_accel_climb,aircraft,,15.000000,18.801284,aircraft_charge_done
1.000000,after_accel_climb,aircraft,,16.000000,18.801284,aircraft_depart
1.000000,after_accel_climb,aircraft,,16.000000,19.142951,aircraft_arrive
1.000000,after_accel_climb,aircraft,,16.000000,19.426251,aircraft_ground_ops_done
1.000000,after_accel_climb,aircraft,,16.000000,20.054703,aircraft_charge_done
1.000000,after_accel_climb,aircraft,,17.000000,20.054703,aircraft_depart
1.000000,after_accel_climb,aircraft,,17.000000,20.396370,aircraft_arrive
1.000000,after_accel_climb,aircraft,,17.000000,20.679670,aircraft_ground_ops_done
1.000000,after_accel_climb,aircraft,,17.000000,21.308122,aircraft_charge_done
1.000000,after_accel_climb,aircraft,,18.000000,21.308122,aircraft_depart
1.000000,after_accel_climb,aircraft,,18.000000,21.649789,aircraft_arrive
1.000000,after_accel_climb,aircraft,,18.000000,21.933089,aircraft_ground_ops_done
1.000000,after_accel_climb,aircraft,,18.000000,22.561541,aircraft_charge_done
1.000000,after_accel_climb,aircraft,,19.000000,22.561541,aircraft_depart
1.000000,after_accel_climb,aircraft,,19.000000,22.903208,aircraft_arrive
1.000000,after_accel_climb,aircraft,,19.000000,23.186508,aircraft_ground_ops_done
1.000000,after_accel_climb,aircraft,,19.000000,23.814960,aircraft_charge_done
1.000000,after_accel_climb,abu,1.000000,1.000000,0.000000,abu_attach
1.000000,after_accel_climb,abu,1.000000,1.000000,0.065000,abu_detach
1.000000,after_accel_climb,abu,1.000000,1.000000,0.207271,abu_return_done
1.000000,after_accel_climb,abu,1.000000,1.000000,0.207271,abu_charge_start
1.000000,after_accel_climb,abu,1.000000,1.000000,0.504678,abu_charge_done
1.000000,after_accel_climb,abu,1.000000,2.000000,1.253419,abu_attach
1.000000,after_accel_climb,abu,1.000000,2.000000,1.318419,abu_detach
1.000000,after_accel_climb,abu,1.000000,2.000000,1.460690,abu_return_done
1.000000,after_accel_climb,abu,1.000000,2.000000,1.460690,abu_charge_start
1.000000,after_accel_climb,abu,1.000000,2.000000,1.758097,abu_charge_done
1.000000,after_accel_climb,abu,1.000000,3.000000,2.506838,abu_attach
1.000000,after_accel_climb,abu,1.000000,3.000000,2.571838,abu_detach
1.000000,after_accel_climb,abu,1.000000,3.000000,2.714109,abu_return_done
1.000000,after_accel_climb,abu,1.000000,3.000000,2.714109,abu_charge_start
1.000000,after_accel_climb,abu,1.000000,3.000000,3.011516,abu_charge_done
1.000000,after_accel_climb,abu,1.000000,4.000000,3.760257,abu_attach
1.000000,after_accel_climb,abu,1.000000,4.000000,3.825257,abu_detach
1.000000,after_accel_climb,abu,1.000000,4.000000,3.967527,abu_return_done
1.000000,after_accel_climb,abu,1.000000,4.000000,3.967527,abu_charge_start
1.000000,after_accel_climb,abu,1.000000,4.000000,4.264935,abu_charge_done
1.000000,after_accel_climb,abu,1.000000,5.000000,5.013676,abu_attach
1.000000,after_accel_climb,abu,1.000000,5.000000,5.078676,abu_detach
1.000000,after_accel_climb,abu,1.000000,5.000000,5.220946,abu_return_done
1.000000,after_accel_climb,abu,1.000000,5.000000,5.220946,abu_charge_start
1.000000,after_accel_climb,abu,1.000000,5.000000,5.518354,abu_charge_done
1.000000,after_accel_climb,abu,1.000000,6.000000,6.267095,abu_attach
1.000000,after_accel_climb,abu,1.000000,6.000000,6.332095,abu_detach
1.000000,after_accel_climb,abu,1.000000,6.000000,6.474365,abu_return_done
1.000000,after_accel_climb,abu,1.000000,6.000000,6.474365,abu_charge_start
1.000000,after_accel_climb,abu,1.000000,6.000000,6.771773,abu_charge_done
1.000000,after_accel_climb,abu,1.000000,7.000000,7.520514,abu_attach
1.000000,after_accel_climb,abu,1.000000,7.000000,7.585514,abu_detach
1.000000,after_accel_climb,abu,1.000000,7.000000,7.727784,abu_return_done
1.000000,after_accel_climb,abu,1.000000,7.000000,7.727784,abu_charge_start
1.000000,after_accel_climb,abu,1.000000,7.000000,8.025191,abu_charge_done
1.000000,after_accel_climb,abu,1.000000,8.000000,8.773933,abu_attach
1.000000,after_accel_climb,abu,1.000000,8.000000,8.838933,abu_detach
1.000000,after_accel_climb,abu,1.000000,8.000000,8.981203,abu_return_done
1.000000,after_accel_climb,abu,1.000000,8.000000,8.981203,abu_charge_start
1.000000,after_accel_climb,abu,1.000000,8.000000,9.278610,abu_charge_done
1.000000,after_accel_climb,abu,1.000000,9.000000,10.027352,abu_attach
1.000000,after_accel_climb,abu,1.000000,9.000000,10.092352,abu_detach
1.000000,after_accel_climb,abu,1.000000,9.000000,10.234622,abu_return_done
1.000000,after_accel_climb,abu,1.000000,9.000000,10.234622,abu_charge_start
1.000000,after_accel_climb,abu,1.000000,9.000000,10.532029,abu_charge_done
1.000000,after_accel_climb,abu,1.000000,10.000000,11.280771,abu_attach
1.000000,after_accel_climb,abu,1.000000,10.000000,11.345771,abu_detach
1.000000,after_accel_climb,abu,1.000000,10.000000,11.488041,abu_return_done
1.000000,after_accel_climb,abu,1.000000,10.000000,11.488041,abu_charge_start
1.000000,after_accel_climb,abu,1.000000,10.000000,11.785448,abu_charge_done
1.000000,after_accel_climb,abu,1.000000,11.000000,12.534190,abu_attach
1.000000,after_accel_climb,abu,1.000000,11.000000,12.599190,abu_detach
1.000000,after_accel_climb,abu,1.000000,11.000000,12.741460,abu_return_done
1.000000,after_accel_climb,abu,1.000000,11.000000,12.741460,abu_charge_start
1.000000,after_accel_climb,abu,1.000000,11.000000,13.038867,abu_charge_done
1.000000,after_accel_climb,abu,1.000000,12.000000,13.787609,abu_attach
1.000000,after_accel_climb,abu,1.000000,12.000000,13.852609,abu_detach
1.000000,after_accel_climb,abu,1.000000,12.000000,13.994879,abu_return_done
1.000000,after_accel_climb,abu,1.000000,12.000000,13.994879,abu_charge_start
1.000000,after_accel_climb,abu,1.000000,12.000000,14.292286,abu_charge_done
1.000000,after_accel_climb,abu,1.000000,13.000000,15.041027,abu_attach
1.000000,after_accel_climb,abu,1.000000,13.000000,15.106027,abu_detach
1.000000,after_accel_climb,abu,1.000000,13.000000,15.248298,abu_return_done
1.000000,after_accel_climb,abu,1.000000,13.000000,15.248298,abu_charge_start
1.000000,after_accel_climb,abu,1.000000,13.000000,15.545705,abu_charge_done
1.000000,after_accel_climb,abu,1.000000,14.000000,16.294446,abu_attach
1.000000,after_accel_climb,abu,1.000000,14.000000,16.359446,abu_detach
1.000000,after_accel_climb,abu,1.000000,14.000000,16.501717,abu_return_done
1.000000,after_accel_climb,abu,1.000000,14.000000,16.501717,abu_charge_start
1.000000,after_accel_climb,abu,1.000000,14.000000,16.799124,abu_charge_done
1.000000,after_accel_climb,abu,1.000000,15.000000,17.547865,abu_attach
1.000000,after_accel_climb,abu,1.000000,15.000000,17.612865,abu_detach
1.000000,after_accel_climb,abu,1.000000,15.000000,17.755136,abu_return_done
1.000000,after_accel_climb,abu,1.000000,15.000000,17.755136,abu_charge_start
1.000000,after_accel_climb,abu,1.000000,15.000000,18.052543,abu_charge_done
1.000000,after_accel_climb,abu,1.000000,16.000000,18.801284,abu_attach
1.000000,after_accel_climb,abu,1.000000,16.000000,18.866284,abu_detach
1.000000,after_accel_climb,abu,1.000000,16.000000,19.008555,abu_return_done
1.000000,after_accel_climb,abu,1.000000,16.000000,19.008555,abu_charge_start
1.000000,after_accel_climb,abu,1.000000,16.000000,19.305962,abu_charge_done
1.000000,after_accel_climb,abu,1.000000,17.000000,20.054703,abu_attach
1.000000,after_accel_climb,abu,1.000000,17.000000,20.119703,abu_detach
1.000000,after_accel_climb,abu,1.000000,17.000000,20.261974,abu_return_done
