n_takeoff_abu_pool,n_cruise_abu_pool,E_abu_mission_cruise_per_abu_kwh,timeline_type,abu_index,flight_index,t_hr,event
1.000000,1.000000,5.000000,aircraft,,1.000000,0.000000,aircraft_depart
1.000000,1.000000,5.000000,aircraft,,1.000000,0.347500,aircraft_arrive
1.000000,1.000000,5.000000,aircraft,,1.000000,0.630800,aircraft_ground_ops_done
1.000000,1.000000,5.000000,aircraft,,1.000000,1.216586,aircraft_charge_done
1.000000,1.000000,5.000000,aircraft,,2.000000,1.216586,aircraft_depart
1.000000,1.000000,5.000000,aircraft,,2.000000,1.564086,aircraft_arrive
1.000000,1.000000,5.000000,aircraft,,2.000000,1.847386,aircraft_ground_ops_done
1.000000,1.000000,5.000000,aircraft,,2.000000,2.433173,aircraft_charge_done
1.000000,1.000000,5.000000,aircraft,,3.000000,2.433173,aircraft_depart
1.000000,1.000000,5.000000,aircraft,,3.000000,2.780673,aircraft_arrive
1.000000,1.000000,5.000000,aircraft,,3.000000,3.063973,aircraft_ground_ops_done
1.000000,1.000000,5.000000,aircraft,,3.000000,3.649759,aircraft_charge_done
1.000000,1.000000,5.000000,aircraft,,4.000000,3.649759,aircraft_depart
1.000000,1.000000,5.000000,aircraft,,4.000000,3.997259,aircraft_arrive
1.000000,1.000000,5.000000,aircraft,,4.000000,4.280559,aircraft_ground_ops_done
1.000000,1.000000,5.000000,aircraft,,4.000000,4.866345,aircraft_charge_done
1.000000,1.000000,5.000000,aircraft,,5.000000,4.866345,aircraft_depart
1.000000,1.000000,5.000000,aircraft,,5.000000,5.213845,aircraft_arrive
1.000000,1.000000,5.000000,aircraft,,5.000000,5.497145,aircraft_ground_ops_done
1.000000,1.000000,5.000000,aircraft,,5.000000,6.082931,aircraft_charge_done
1.000000,1.000000,5.000000,aircraft,,6.000000,6.082931,aircraft_depart
1.000000,1.000000,5.000000,aircraft,,6.000000,6.430431,aircraft_arrive
1.000000,1.000000,5.000000,aircraft,,6.000000,6.713731,aircraft_ground_ops_done
1.000000,1.000000,5.000000,aircraft,,6.000000,7.299518,aircraft_charge_done
1.000000,1.000000,5.000000,aircraft,,7.000000,7.299518,aircraft_depart
1.000000,1.000000,5.000000,aircraft,,7.000000,7.647018,aircraft_arrive
1.000000,1.000000,5.000000,aircraft,,7.000000,7.930318,aircraft_ground_ops_done
1.000000,1.000000,5.000000,aircraft,,7.000000,8.516104,aircraft_charge_done
1.000000,1.000000,5.000000,aircraft,,8.000000,8.516104,aircraft_depart
1.000000,1.000000,5.000000,aircraft,,8.000000,8.863604,aircraft_arrive
1.000000,1.000000,5.000000,aircraft,,8.000000,9.146904,aircraft_ground_ops_done
1.000000,1.000000,5.000000,aircraft,,8.000000,9.732690,aircraft_charge_done
1.000000,1.000000,5.000000,aircraft,,9.000000,9.732690,aircraft_depart
1.000000,1.000000,5.000000,aircraft,,9.000000,10.080190,aircraft_arrive
1.000000,1.000000,5.000000,aircraft,,9.000000,10.363490,aircraft_ground_ops_done
1.000000,1.000000,5.000000,aircraft,,9.000000,10.949276,aircraft_charge_done
1.000000,1.000000,5.000000,aircraft,,10.000000,10.949276,aircraft_depart
1.000000,1.000000,5.000000,aircraft,,10.000000,11.296776,aircraft_arrive
1.000000,1.000000,5.000000,aircraft,,10.000000,11.580076,aircraft_ground_ops_done
1.000000,1.000000,5.000000,aircraft,,10.000000,12.165863,aircraft_charge_done
1.000000,1.000000,5.000000,aircraft,,11.000000,12.165863,aircraft_depart
1.000000,1.000000,5.000000,aircraft,,11.000000,12.513363,aircraft_arrive
1.000000,1.000000,5.000000,aircraft,,11.000000,12.796663,aircraft_ground_ops_done
1.000000,1.000000,5.000000,aircraft,,11.000000,13.382449,aircraft_charge_done
1.000000,1.000000,5.000000,aircraft,,12.000000,13.382449,aircraft_depart
1.000000,1.000000,5.000000,aircraft,,12.000000,13.729949,aircraft_arrive
1.000000,1.000000,5.000000,aircraft,,12.000000,14.013249,aircraft_ground_ops_done
1.000000,1.000000,5.000000,aircraft,,12.000000,14.599035,aircraft_charge_done
1.000000,1.000000,5.000000,aircraft,,13.000000,14.599035,aircraft_depart
1.000000,1.000000,5.000000,aircraft,,13.000000,14.946535,aircraft_arrive
1.000000,1.000000,5.000000,aircraft,,13.000000,15.229835,aircraft_ground_ops_done
1.000000,1.000000,5.000000,aircraft,,13.000000,15.815621,aircraft_charge_done
1.000000,1.000000,5.000000,aircraft,,14.000000,15.815621,aircraft_depart
1.000000,1.000000,5.000000,aircraft,,14.000000,16.163121,aircraft_arrive
1.000000,1.000000,5.000000,aircraft,,14.000000,16.446421,aircraft_ground_ops_done
1.000000,1.000000,5.000000,aircraft,,14.000000,17.032208,aircraft_charge_done
1.000000,1.000000,5.000000,aircraft,,15.000000,17.032208,aircraft_depart
1.000000,1.000000,5.000000,aircraft,,15.000000,17.379708,aircraft_arrive
1.000000,1.000000,5.000000,aircraft,,15.000000,17.663008,aircraft_ground_ops_done
1.000000,1.000000,5.000000,aircraft,,15.000000,18.248794,aircraft_charge_done
1.000000,1.000000,5.000000,aircraft,,16.000000,18.248794,aircraft_depart
1.000000,1.000000,5.000000,aircraft,,16.000000,18.596294,aircraft_arrive
1.000000,1.000000,5.000000,aircraft,,16.000000,18.879594,aircraft_ground_ops_done
1.000000,1.000000,5.000000,aircraft,,16.000000,19.465380,aircraft_charge_done
1.000000,1.000000,5.000000,aircraft,,17.000000,19.465380,aircraft_depart
1.000000,1.000000,5.000000,aircraft,,17.000000,19.812880,aircraft_arrive
1.000000,1.000000,5.000000,aircraft,,17.000000,20.096180,aircraft_ground_ops_done
1.000000,1.000000,5.000000,aircraft,,17.000000,20.681966,aircraft_charge_done
1.000000,1.000000,5.000000,aircraft,,18.000000,20.681966,aircraft_depart
1.000000,1.000000,5.000000,aircraft,,18.000000,21.029466,aircraft_arrive
1.000000,1.000000,5.000000,aircraft,,18.000000,21.312766,aircraft_ground_ops_done
1.000000,1.000000,5.000000,aircraft,,18.000000,21.898553,aircraft_charge_done
1.000000,1.000000,5.000000,aircraft,,19.000000,21.898553,aircraft_depart
1.000000,1.000000,5.000000,aircraft,,19.000000,22.246053,aircraft_arrive
1.000000,1.000000,5.000000,aircraft,,19.000000,22.529353,aircraft_ground_ops_done
1.000000,1.000000,5.000000,aircraft,,19.000000,23.115139,aircraft_charge_done
1.000000,1.000000,5.000000,aircraft,,20.000000,23.115139,aircraft_depart
1.000000,1.000000,5.000000,aircraft,,20.000000,23.462639,aircraft_arrive
1.000000,1.000000,5.000000,aircraft,,20.000000,23.745939,aircraft_ground_ops_done
1.000000,1.000000,5.000000,aircraft,,20.000000,24.331725,aircraft_charge_done
1.000000,1.000000,5.000000,takeoff_abu,1.000000,1.000000,0.000000,takeoff_abu_attached
1.000000,1.000000,5.000000,takeoff_abu,1.000000,1.000000,0.065000,takeoff_abu_detach
1.000000,1.000000,5.000000,takeoff_abu,1.000000,1.000000,0.207271,takeoff_abu_return_done
1.000000,1.000000,5.000000,takeoff_abu,1.000000,1.000000,0.207271,takeoff_abu_charge_start
1.000000,1.000000,5.000000,takeoff_abu,1.000000,1.000000,0.504678,takeoff_abu_charge_done
1.000000,1.000000,5.000000,takeoff_abu,1.000000,2.000000,1.216586,takeoff_abu_attached
1.000000,1.000000,5.000000,takeoff_abu,1.000000,2.000000,1.281586,takeoff_abu_detach
1.000000,1.000000,5.000000,takeoff_abu,1.000000,2.000000,1.423857,takeoff_abu_return_done
1.000000,1.000000,5.000000,takeoff_abu,1.000000,2.000000,1.423857,takeoff_abu_charge_start
1.000000,1.000000,5.000000,takeoff_abu,1.000000,2.000000,1.721264,takeoff_abu_charge_done
1.000000,1.000000,5.000000,takeoff_abu,1.000000,3.000000,2.433173,takeoff_abu_attached
1.000000,1.000000,5.000000,takeoff_abu,1.000000,3.000000,2.498173,takeoff_abu_detach
1.000000,1.000000,5.000000,takeoff_abu,1.000000,3.000000,2.640443,takeoff_abu_return_done
1.000000,1.000000,5.000000,takeoff_abu,1.000000,3.000000,2.640443,takeoff_abu_charge_start
1.000000,1.000000,5.000000,takeoff_abu,1.000000,3.000000,2.937850,takeoff_abu_charge_done
1.000000,1.000000,5.000000,takeoff_abu,1.000000,4.000000,3.649759,takeoff_abu_attached
1.000000,1.000000,5.000000,takeoff_abu,1.000000,4.000000,3.714759,takeoff_abu_detach
1.000000,1.000000,5.000000,takeoff_abu,1.000000,4.000000,3.857029,takeoff_abu_return_done
1.000000,1.000000,5.000000,takeoff_abu,1.000000,4.000000,3.857029,takeoff_abu_charge_start
1.000000,1.000000,5.000000,takeoff_abu,1.000000,4.000000,4.154436,takeoff_abu_charge_done
1.000000,1.000000,5.000000,takeoff_abu,1.000000,5.000000,4.866345,takeoff_abu_attached
1.000000,1.000000,5.000000,takeoff_abu,1.000000,5.000000,4.931345,takeoff_abu_detach
1.000000,1.000000,5.000000,takeoff_abu,1.000000,5.000000,5.073616,takeoff_abu_return_done
1.000000,1.000000,5.000000,takeoff_abu,1.000000,5.000000,5.073616,takeoff_abu_charge_start
1.000000,1.000000,5.000000,takeoff_abu,1.000000,5.000000,5.371023,takeoff_abu_charge_done
1.000000,1.000000,5.000000,takeoff_abu,1.000000,6.000000,6.082931,takeoff_abu_attached
1.000000,1.000000,5.000000,takeoff_abu,1.000000,6.000000,6.147931,takeoff_abu_detach
1.000000,1.000000,5.000000,takeoff_abu,1.000000,6.000000,6.290202,takeoff_abu_return_done
1.000000,1.000000,5.000000,takeoff_abu,1.000000,6.000000,6.290202,takeoff_abu_charge_start
1.000000,1.000000,5.000000,takeoff_abu,1.000000,6.000000,6.587609,takeoff_abu_charge_done
1.000000,1.000000,5.000000,takeoff_abu,1.000000,7.000000,7.299518,takeoff_abu_attached
1.000000,1.000000,5.000000,takeoff_abu,1.000000,7.000000,7.364518,takeoff_abu_detach
1.000000,1.000000,5.000000,takeoff_abu,1.000000,7.000000,7.506788,takeoff_abu_return_done
1.000000,1.000000,5.000000,takeoff_abu,1.000000,7.000000,7.506788,takeoff_abu_charge_start
1.000000,1.000000,5.000000,takeoff_abu,1.000000,7.000000,7.804195,takeoff_abu_charge_done
1.000000,1.000000,5.000000,takeoff_abu,1.000000,8.000000,8.516104,takeoff_abu_attached
1.000000,1.000000,5.000000,takeoff_abu,1.000000,8.000000,8.581104,takeoff_abu_detach
1.000000,1.000000,5.000000,takeoff_abu,1.000000,8.000000,8.723374,takeoff_abu_return_done
1.000000,1.000000,5.000000,takeoff_abu,1.000000,8.000000,8.723374,takeoff_abu_charge_start
1.000000,1.000000,5.000000,takeoff_abu,1.000000,8.000000,9.020782,takeoff_abu_charge_done
1.000000,1.000000,5.000000,takeoff_abu,1.000000,9.000000,9.732690,takeoff_abu_attached
1.000000,1.000000,5.000000,takeoff_abu,1.000000,9.000000,9.797690,takeoff_abu_detach
1.000000,1.000000,5.000000,takeoff_abu,1.000000,9.000000,9.939961,takeoff_abu_return_done
1.000000,1.000000,5.000000,takeoff_abu,1.000000,9.000000,9.939961,takeoff_abu_charge_start
1.000000,1.000000,5.000000,takeoff_abu,1.000000,9.000000,10.237368,takeoff_abu_charge_done
1.000000,1.000000,5.000000,takeoff_abu,1.000000,10.000000,10.949276,takeoff_abu_attached
1.000000,1.000000,5.000000,takeoff_abu,1.000000,10.000000,11.014276,takeoff_abu_detach
