candidate_name,E_abu_mission_cruise_per_abu_kwh,E_pack_kwh_main,E_mission_kwh_main,dod_main,soc_start_main,soc_target,soc_cc_end,n_abus_takeoff,E_abu_used_takeoff_total_kwh,E_ops_takeoff_per_abu_kwh,E_pack_takeoff_abu_per_abu_kwh,soc_start_abu_takeoff,dod_abu_takeoff,n_abus_cruise,E_abu_used_cruise_total_kwh,E_saved_kwh_cruise,E_ops_cruise_per_abu_kwh,E_pack_cruise_abu_per_abu_kwh,soc_start_abu_cruise,dod_abu_cruise,t_flight_hr,t_overlap_hr_takeoff_abu,t_overlap_hr_cruise_abu,t_charge_hr_main,t_charge_hr_takeoff_abu_raw,t_charge_hr_cruise_abu_raw,t_charge_hr_takeoff_abu_net,t_charge_hr_cruise_abu_net,t_charge_hr_total,t_ground_ops_hr,t_takeoff_abu_return_hr,t_cruise_abu_return_hr,t_cycle_hr,n_feasible_flights,t_flight_day_hr,t_downtime_day_hr,t_slack_hr,charger_ac_kw,eta_charger_dc,c_rate_max,v_pack_nom_v_main,v_pack_nom_v_abu,i_term_c,P_cc_kw_main,P_cc_kw_takeoff_abu,P_cc_kw_cruise_abu,charger_limit_indicator_flag_main,charger_limit_indicator_flag_takeoff_abu,charger_limit_indicator_flag_cruise_abu
after_accel_climb,5.000000,51.178775,35.025127,0.684368,0.315632,1.000000,0.800000,1.000000,10.891497,6.000000,21.000000,0.195643,0.804357,1.000000,5.000000,4.661287,12.000000,17.000000,0.000000,1.000000,0.347500,0.282500,0.253431,0.587062,0.296468,0.276800,0.063968,0.073369,0.587062,0.283300,0.050000,0.050000,1.217862,19.000000,6.602500,17.397500,0.860628,115.000000,0.950000,20.000000,800.000000,400.000000,0.050000,109.250000,109.250000,109.250000,charger_limited,charger_limited,charger_limited
after_accel_climb,10.000000,51.178775,30.525719,0.596453,0.403547,1.000000,0.800000,1.000000,10.891497,6.000000,21.000000,0.195643,0.804357,1.000000,10.000000,9.160695,12.000000,22.000000,0.000000,1.000000,0.347500,0.282500,0.225372,0.545877,0.296468,0.348178,0.063968,0.172806,0.545877,0.283300,0.050000,0.050000,1.176677,20.000000,6.950000,17.050000,0.466457,115.000000,0.950000,20.000000,800.000000,400.000000,0.050000,109.250000,109.250000,109.250000,charger_limited,charger_limited,charger_limited
after_accel_climb,15.000000,51.178775,26.182903,0.511597,0.488403,1.000000,0.800000,1.000000,10.891497,6.000000,21.000000,0.195643,0.804357,1.000000,15.000000,13.503511,12.000000,27.000000,0.000000,1.000000,0.347500,0.282500,0.198289,0.506126,0.296468,0.417592,0.063968,0.269303,0.506126,0.283300,0.050000,0.050000,1.136926,21.000000,7.297500,16.702500,0.124554,115.000000,0.950000,20.000000,800.000000,400.000000,0.050000,109.250000,109.250000,109.250000,charger_limited,charger_limited,charger_limited
after_accel_climb,20.000000,51.178775,21.991543,0.429700,0.570300,1.000000,0.800000,1.000000,10.891497,6.000000,21.000000,0.195643,0.804357,1.000000,20.000000,17.694871,12.000000,32.000000,0.000000,1.000000,0.347500,0.282500,0.172151,0.467761,0.296468,0.485428,0.063968,0.363278,0.467761,0.283300,0.050000,0.050000,1.098561,21.000000,7.297500,16.702500,0.930216,115.000000,0.950000,20.000000,800.000000,400.000000,0.050000,109.250000,109.250000,109.250000,charger_limited,charger_limited,charger_limited
after_accel_climb,25.000000,51.178775,17.946654,0.350666,0.649334,1.000000,0.800000,1.000000,10.891497,6.000000,21.000000,0.195643,0.804357,1.000000,25.000000,21.739760,12.000000,37.000000,0.000000,1.000000,0.347500,0.282500,0.146926,0.430737,0.296468,0.551949,0.063968,0.455023,0.455023,0.283300,0.050000,0.050000,1.085823,22.000000,7.645000,16.355000,0.111888,115.000000,0.950000,20.000000,800.000000,400.000000,0.050000,109.250000,109.250000,109.250000,charger_limited,charger_limited,charger_limited
after_accel_climb,30.000000,51.178775,14.043398,0.274399,0.725601,1.000000,0.800000,1.000000,10.891497,6.000000,21.000000,0.195643,0.804357,1.000000,30.000000,25.643016,12.000000,42.000000,0.000000,1.000000,0.347500,0.282500,0.122584,0.395009,0.296468,0.617344,0.063968,0.544760,0.544760,0.283300,0.050000,0.050000,1.175560,20.000000,6.950000,17.050000,0.488797,115.000000,0.950000,20.000000,800.000000,400.000000,0.050000,109.250000,109.250000,109.250000,charger_limited,charger_limited,charger_limited
after_accel_climb,35.000000,51.178775,10.277083,0.200808,0.799192,1.000000,0.800000,1.000000,10.891497,6.000000,21.000000,0.195643,0.804357,1.000000,35.000000,29.409331,12.000000,47.000000,0.000000,1.000000,0.347500,0.282500,0.099096,0.360535,0.296468,0.681758,0.063968,0.632661,0.632661,0.283300,0.050000,0.050000,1.263461,18.000000,6.255000,17.745000,1.257695,115.000000,0.950000,20.000000,800.000000,400.000000,0.050000,109.250000,109.250000,109.250000,charger_limited,charger_limited,charger_limited
after_accel_climb,40.000000,51.178775,6.643163,0.129803,0.870197,1.000000,0.800000,1.000000,10.891497,6.000000,21.000000,0.195643,0.804357,1.000000,40.000000,33.043251,12.000000,52.000000,0.000000,1.000000,0.347500,0.282500,0.076434,0.233747,0.296468,0.745302,0.063968,0.718868,0.718868,0.283300,0.050000,0.050000,1.349668,17.000000,5.907500,18.092500,1.055645,115.000000,0.950000,20.000000,800.000000,400.000000,0.050000,109.250000,109.250000,109.250000,charger_limited,charger_limited,charger_limited
after_accel_climb,45.000000,51.178775,4.809615,0.093977,0.906023,1.000000,0.800000,1.000000,10.891497,6.000000,21.000000,0.195643,0.804357,1.000000,42.940930,34.876799,12.000000,57.000000,0.036124,0.963876,0.347500,0.282500,0.065000,0.169232,0.296468,0.789221,0.063968,0.774221,0.774221,0.283300,0.050000,0.050000,1.405021,17.000000,5.907500,18.092500,0.114641,115.000000,0.950000,20.000000,800.000000,400.000000,0.050000,109.250000,109.250000,109.250000,charger_limited,charger_limited,charger_limited
after_accel_climb,50.000000,51.178775,4.809615,0.093977,0.906023,1.000000,0.800000,1.000000,10.891497,6.000000,21.000000,0.195643,0.804357,1.000000,43.670896,34.876799,12.000000,62.000000,0.102082,0.897918,0.347500,0.282500,0.065000,0.169232,0.296468,0.812198,0.063968,0.797198,0.797198,0.283300,0.050000,0.050000,1.427998,16.000000,5.560000,18.440000,1.152034,115.000000,0.950000,20.000000,800.000000,400.000000,0.050000,109.250000,109.250000,109.250000,charger_limited,charger_limited,charger_limited
