n_abu_pool,E_abu_mission_kwh_per_abu,E_abu_total_kwh_per_abu,E_abu_used_kwh_total,E_saved_kwh,E_mission_kwh_main,E_pack_kwh_main,E_pack_kwh_abu,dod_main,dod_abu,soc_start_main,soc_start_abu,soc_target,t_flight_hr,t_attached_hr,t_return_cruise_abu_hr,t_charge_hr_main,t_charge_hr_abu,t_cycle_nominal_hr,n_flights_nominal_no_abu_limit,n_flights_completed,t_flight_day_hr,t_slack_hr,t_wait_abu_day_hr,abu_utilization_avg,abu_bottleneck_flag,P_cc_kw_main,P_cc_kw_abu,charger_limit_indicator_flag_main,charger_limit_indicator_flag_abu
1.000000,5.000000,17.000000,5.000000,4.663749,46.429305,62.587577,17.000000,0.741829,1.000000,0.258171,0.000000,1.000000,0.347500,0.028196,0.565680,0.729478,0.276800,1.360278,17.000000,18.000000,6.255000,0.000000,0.000000,0.701757,0.000000,109.250000,109.250000,charger_limited,charger_limited
1.000000,10.000000,22.000000,10.000000,9.162466,41.930588,62.587577,22.000000,0.669951,1.000000,0.330049,0.000000,1.000000,0.347500,0.055395,0.504845,0.688300,0.348178,1.319100,18.000000,18.000000,6.255000,0.256197,0.000000,0.730064,0.000000,109.250000,109.250000,charger_limited,charger_limited
1.000000,15.000000,27.000000,15.000000,13.506416,37.586638,62.587577,27.000000,0.600545,1.000000,0.399455,0.000000,1.000000,0.347500,0.081658,0.446104,0.648539,0.417592,1.279339,18.000000,19.000000,6.602500,0.000000,0.000000,0.799863,0.000000,109.250000,109.250000,charger_limited,charger_limited
1.000000,20.000000,32.000000,20.000000,17.699164,33.393890,62.587577,32.000000,0.533555,1.000000,0.466445,0.000000,1.000000,0.347500,0.107007,0.389407,0.610161,0.485428,1.240961,19.000000,20.000000,6.950000,0.000000,0.000000,0.872368,0.000000,109.250000,109.250000,charger_limited,charger_limited
1.000000,25.000000,37.000000,25.000000,21.745700,29.347354,62.587577,37.000000,0.468901,1.000000,0.531099,0.000000,1.000000,0.347500,0.131472,0.334687,0.573122,0.551949,1.203922,19.000000,20.000000,6.950000,0.000000,0.000000,0.902590,0.000000,109.250000,109.250000,charger_limited,charger_limited
1.000000,30.000000,42.000000,30.000000,25.650881,25.442172,62.587577,42.000000,0.406505,1.000000,0.593495,0.000000,1.000000,0.347500,0.155082,0.281879,0.537376,0.617344,1.168176,20.000000,21.000000,7.297500,0.000000,0.000000,0.979392,0.000000,109.250000,109.250000,charger_limited,charger_limited
1.000000,35.000000,47.000000,35.000000,29.419417,21.673637,62.587577,47.000000,0.346293,1.000000,0.653707,0.000000,1.000000,0.347500,0.177866,0.230919,0.502882,0.681758,1.133682,21.000000,21.000000,7.297500,0.000000,0.437216,1.011100,0.000000,109.250000,109.250000,charger_limited,charger_limited
1.000000,40.000000,52.000000,40.000000,33.055868,18.037186,62.587577,52.000000,0.288191,1.000000,0.711809,0.000000,1.000000,0.347500,0.199851,0.181745,0.469596,0.745302,1.100396,21.000000,20.000000,6.950000,0.253533,1.738542,0.993249,1.000000,109.250000,109.250000,charger_limited,charger_limited
1.000000,45.000000,57.000000,44.274309,35.974991,15.118063,62.587577,57.000000,0.241551,0.987269,0.758449,0.012731,1.000000,0.347500,0.217500,0.142271,0.442877,0.801426,1.073677,22.000000,20.000000,6.950000,0.000000,2.897879,1.021830,1.000000,109.250000,109.250000,charger_limited,charger_limited
1.000000,50.000000,62.000000,45.024978,35.974991,15.118063,62.587577,62.000000,0.241551,0.919758,0.758449,0.080242,1.000000,0.347500,0.217500,0.142271,0.442877,0.824592,1.073677,22.000000,19.000000,6.602500,0.437792,3.162352,0.989079,1.000000,109.250000,109.250000,charger_limited,charger_limited
