n_abus,E_abu_mission_kwh,E_abu_total_kwh,m_abu_batt_kg,m_abu_struct_kg,m_abu_integ_kg,m_rot_hub_kg,m_abu_total_all_kg,P_cruise_attach_kw,P_cruise_post_kw,baseline_cruise_energy_kwh,E_cruise_attach_kwh,E_abu_used_kwh,E_saved_kwh,t_attached_until_depletion_s,t_attached_effective_s,extra_time_s,total_extended_time_s,range_attached_mi,extra_range_mi,total_extended_range_mi,overcapacity,full_coverage_flag
1.000000,5.000000,6.000000,36.579790,7.315958,1.828989,21.395125,67.119862,174.207908,168.859993,36.727049,5.000000,5.000000,4.846508,103.324815,103.324815,103.324815,206.649631,4.308024,4.308024,8.616048,0.000000,0.000000
1.000000,10.000000,11.000000,67.062948,13.412590,3.353147,21.859850,105.688535,177.337134,168.859993,36.727049,10.000000,10.000000,9.521976,203.003168,203.003168,203.003168,406.006335,8.464013,8.464013,16.928026,0.000000,0.000000
1.000000,15.000000,16.000000,97.546106,19.509221,4.877305,22.125637,144.058269,180.490911,168.859993,36.727049,15.000000,15.000000,14.033393,299.184041,299.184041,299.184041,598.368082,12.474178,12.474178,24.948355,0.000000,0.000000
1.000000,20.000000,21.000000,128.029264,25.605853,6.401463,22.389164,182.425744,183.685084,168.859993,36.727049,20.000000,20.000000,18.385814,391.975214,391.975214,391.975214,783.950428,16.343012,16.343012,32.686025,0.000000,0.000000
1.000000,25.000000,26.000000,158.512422,31.702484,7.925621,22.651806,220.792333,186.919763,168.859993,36.727049,25.000000,25.000000,22.584556,481.490018,481.490018,481.490018,962.980036,20.075242,20.075242,40.150484,0.000000,0.000000
1.000000,30.000000,31.000000,188.995580,37.799116,9.449779,22.913588,259.158063,190.194948,168.859993,36.727049,30.000000,30.000000,26.634776,567.838428,567.838428,567.838428,1135.676856,23.675452,23.675452,47.350904,0.000000,0.000000
1.000000,35.000000,36.000000,219.478738,43.895748,10.973937,23.174526,297.522948,193.510636,168.859993,36.727049,35.000000,35.000000,30.541472,651.127000,651.127000,651.127000,1302.254000,27.148085,27.148085,54.296171,0.000000,0.000000
1.000000,40.000000,41.000000,249.961896,49.992379,12.498095,23.434634,335.887004,196.866827,168.859993,36.727049,40.000000,40.000000,34.309486,731.458935,731.458935,731.458935,1462.917870,30.497445,30.497445,60.994889,0.000000,0.000000
1.000000,45.000000,46.000000,280.445054,56.089011,14.022253,23.693926,374.250244,200.263520,168.859993,36.727049,43.557316,43.557316,36.727049,808.934148,783.000000,783.000000,1566.000000,32.646397,32.646397,65.292795,1.000000,1.000000
1.000000,50.000000,51.000000,310.928212,62.185642,15.546411,23.952418,412.612683,203.700713,168.859993,36.727049,44.304905,44.304905,36.727049,883.649338,783.000000,783.000000,1566.000000,32.646397,32.646397,65.292795,1.000000,1.000000
