n_abus,E_abu_mission_kwh,E_abu_total_kwh,m_abu_batt_kg,m_abu_struct_kg,m_abu_integ_kg,m_rot_hub_kg,m_abu_total_all_kg,P_hover_attach_kw,P_cruise_attach_kw,t_divert_s,divert_distance_mi,E_divert_kwh,t_hover_s,E_hover_kwh,t_hover_descend_s,E_hover_descend_kwh,E_ops_kwh_total,t_loiter_hover_max_s,feasible,margin_kwh,note
1.000000,5.000000,6.000000,36.579790,7.315958,1.828989,21.395125,67.119862,571.405425,174.207908,143.905216,6.000000,6.963730,60.000000,9.523424,40.000000,0.882741,1.000000,0.000000,0.000000,-13.369895,Insufficient ABU mission energy
1.000000,10.000000,11.000000,67.062948,13.412590,3.353147,21.395125,105.223810,584.672601,177.299185,143.905216,6.000000,7.087299,60.000000,9.744543,40.000000,0.896353,1.000000,0.000000,0.000000,-8.728196,Insufficient ABU mission energy
1.000000,15.000000,16.000000,97.546106,19.509221,4.877305,21.395125,143.327758,598.040897,180.430488,143.905216,6.000000,7.212469,60.000000,9.967348,40.000000,0.909965,1.000000,0.000000,0.000000,-4.089782,Insufficient ABU mission energy
1.000000,20.000000,21.000000,128.029264,25.605853,6.401463,21.395125,181.431705,611.509556,183.601816,143.905216,6.000000,7.339239,60.000000,10.191826,40.000000,0.923576,1.000000,3.210568,1.000000,0.545359,feasible
1.000000,25.000000,26.000000,158.512422,31.702484,7.925621,21.395125,219.535653,625.077833,186.813170,143.905216,6.000000,7.467608,60.000000,10.417964,40.000000,0.937188,1.000000,29.817189,1.000000,5.177240,feasible
1.000000,30.000000,31.000000,188.995580,37.799116,9.449779,21.395125,257.639600,638.745004,190.064549,143.905216,6.000000,7.597578,60.000000,10.645750,40.000000,0.950800,1.000000,55.266407,1.000000,9.805873,feasible
1.000000,35.000000,36.000000,219.478738,43.895748,10.973937,21.395125,295.743548,652.510358,193.355954,143.905216,6.000000,7.729147,60.000000,10.875173,40.000000,0.964411,1.000000,79.619530,1.000000,14.431269,feasible
1.000000,40.000000,41.000000,249.961896,49.992379,12.498095,21.395125,333.847495,666.373200,196.687385,143.905216,6.000000,7.862317,60.000000,11.106220,40.000000,0.978023,1.000000,102.933890,1.000000,19.053440,feasible
1.000000,45.000000,46.000000,280.445054,56.089011,14.022253,21.395125,371.951443,680.332848,200.058841,143.905216,6.000000,7.997086,60.000000,11.338881,40.000000,0.991634,1.000000,125.263149,1.000000,23.672399,feasible
1.000000,50.000000,51.000000,310.928212,62.185642,15.546411,21.395125,410.055391,694.388636,203.470323,143.905216,6.000000,8.133456,60.000000,11.573144,40.000000,1.005246,1.000000,146.657578,1.000000,28.288154,feasible
