n_abu_pool,E_abu_mission_kwh_per_abu,timeline_type,abu_index,flight_index,t_hr,event
1.000000,5.000000,aircraft,,1.000000,0.000000,aircraft_depart
1.000000,5.000000,aircraft,,1.000000,0.093196,abu_detach
1.000000,5.000000,aircraft,,1.000000,0.447500,aircraft_arrive
1.000000,5.000000,aircraft,,1.000000,0.730800,aircraft_ground_ops_done
1.000000,5.000000,aircraft,,1.000000,1.661063,aircraft_charge_done
1.000000,5.000000,aircraft,,2.000000,1.661063,aircraft_depart
1.000000,5.000000,aircraft,,2.000000,1.754259,abu_detach
1.000000,5.000000,aircraft,,2.000000,2.108563,aircraft_arrive
1.000000,5.000000,aircraft,,2.000000,2.391863,aircraft_ground_ops_done
1.000000,5.000000,aircraft,,2.000000,3.322126,aircraft_charge_done
1.000000,5.000000,aircraft,,3.000000,3.322126,aircraft_depart
1.000000,5.000000,aircraft,,3.000000,3.415323,abu_detach
1.000000,5.000000,aircraft,,3.000000,3.769626,aircraft_arrive
1.000000,5.000000,aircraft,,3.000000,4.052926,aircraft_ground_ops_done
1.000000,5.000000,aircraft,,3.000000,4.983189,aircraft_charge_done
1.000000,5.000000,aircraft,,4.000000,4.983189,aircraft_depart
1.000000,5.000000,aircraft,,4.000000,5.076386,abu_detach
1.000000,5.000000,aircraft,,4.000000,5.430689,aircraft_arrive
1.000000,5.000000,aircraft,,4.000000,5.713989,aircraft_ground_ops_done
1.000000,5.000000,aircraft,,4.000000,6.644252,aircraft_charge_done
1.000000,5.000000,aircraft,,5.000000,6.644252,aircraft_depart
1.000000,5.000000,aircraft,,5.000000,6.737449,abu_detach
1.000000,5.000000,aircraft,,5.000000,7.091752,aircraft_arrive
1.000000,5.000000,aircraft,,5.000000,7.375052,aircraft_ground_ops_done
1.000000,5.000000,aircraft,,5.000000,8.305315,aircraft_charge_done
1.000000,5.000000,aircraft,,6.000000,8.305315,aircraft_depart
1.000000,5.000000,aircraft,,6.000000,8.398512,abu_detach
1.000000,5.000000,aircraft,,6.000000,8.752815,aircraft_arrive
1.000000,5.000000,aircraft,,6.000000,9.036115,aircraft_ground_ops_done
