E_abu_mission_kwh_per_abu,E_abu_total_kwh_per_abu,E_abu_used_kwh,E_saved_kwh,E_mission_kwh_main,E_pack_kwh_main,E_pack_kwh_abu,dod_main,dod_abu,soc_start_main,soc_start_abu,soc_target,t_flight_hr,t_overlap_hr,t_charge_hr_main,t_charge_hr_abu_raw,t_charge_hr_abu_net,t_charge_hr_total,t_ground_ops_hr,t_cruise_abu_return_hr,t_cycle_hr,n_feasible_flights,t_flight_day_hr,t_downtime_day_hr,t_slack_hr,charger_ac_kw,eta_charger_dc,c_rate_max,v_pack_nom_v_main,v_pack_nom_v_abu,P_cc_kw_main,P_cc_kw_abu,charger_limit_indicator_flag_main,charger_limit_indicator_flag_abu
5.000000,17.000000,5.000000,4.663749,62.967368,79.123478,17.000000,0.795811,1.000000,0.204189,0.000000,1.000000,0.447500,0.354304,0.930231,0.276800,0.000000,0.930231,0.283300,0.050000,1.661031,14.000000,6.265000,17.735000,0.745564,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
10.000000,22.000000,10.000000,9.162466,58.468651,79.123478,22.000000,0.738955,1.000000,0.261045,0.000000,1.000000,0.447500,0.327105,0.889053,0.348178,0.071073,0.889053,0.283300,0.050000,1.619853,14.000000,6.265000,17.735000,1.322059,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
15.000000,27.000000,15.000000,13.506416,54.124701,79.123478,27.000000,0.684054,1.000000,0.315946,0.000000,1.000000,0.447500,0.300842,0.849291,0.417592,0.166750,0.849291,0.283300,0.050000,1.580091,15.000000,6.712500,17.287500,0.298629,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
20.000000,32.000000,20.000000,17.699164,49.931953,79.123478,32.000000,0.631064,1.000000,0.368936,0.000000,1.000000,0.447500,0.275493,0.810914,0.485428,0.259935,0.810914,0.283300,0.050000,1.541714,15.000000,6.712500,17.287500,0.874292,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
25.000000,37.000000,25.000000,21.745700,45.885417,79.123478,37.000000,0.579922,1.000000,0.420078,0.000000,1.000000,0.447500,0.251028,0.773875,0.551949,0.350921,0.773875,0.283300,0.050000,1.504675,15.000000,6.712500,17.287500,1.429881,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
30.000000,42.000000,30.000000,25.650881,41.980236,79.123478,42.000000,0.530566,1.000000,0.469434,0.000000,1.000000,0.447500,0.227418,0.738129,0.617344,0.439926,0.738129,0.283300,0.050000,1.468929,16.000000,7.160000,16.840000,0.497132,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
35.000000,47.000000,35.000000,29.419417,38.211700,79.123478,47.000000,0.482938,1.000000,0.517062,0.000000,1.000000,0.447500,0.204634,0.703635,0.681758,0.527124,0.703635,0.283300,0.050000,1.434435,16.000000,7.160000,16.840000,1.049046,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
40.000000,52.000000,40.000000,33.055868,34.575250,79.123478,52.000000,0.436978,1.000000,0.563022,0.000000,1.000000,0.447500,0.182649,0.670349,0.745302,0.612654,0.670349,0.283300,0.050000,1.401149,17.000000,7.607500,16.392500,0.180466,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
45.000000,57.000000,45.000000,36.564649,31.066468,79.123478,57.000000,0.392633,1.000000,0.607367,0.000000,1.000000,0.447500,0.161435,0.638232,0.808068,0.696633,0.696633,0.283300,0.050000,1.427433,16.000000,7.160000,16.840000,1.161065,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
50.000000,62.000000,50.000000,39.950037,27.681080,79.123478,62.000000,0.349847,1.000000,0.650153,0.000000,1.000000,0.447500,0.140967,0.607245,0.870130,0.779163,0.779163,0.283300,0.050000,1.509963,15.000000,6.712500,17.287500,1.350558,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
