n_abus,E_abu_mission_kwh,E_abu_total_kwh,m_abu_batt_kg,m_abu_struct_kg,m_abu_integ_kg,m_rot_hub_kg,m_abu_total_all_kg,E_cruise_attach_kwh,E_abu_used_kwh,baseline_cruise_energy_kwh,E_saved_kwh,extra_time_s,extra_range_mi
1.000000,5.000000,6.000000,36.579790,7.315958,1.828989,21.395125,67.119862,55.311011,5.000000,53.613048,3.302037,70.397568,2.935156
1.000000,10.000000,11.000000,67.062948,13.412590,3.353147,21.859850,105.688535,56.304540,10.000000,53.613048,7.308508,155.813270,6.496478
1.000000,15.000000,16.000000,97.546106,19.509221,4.877305,22.125637,144.058269,57.305864,15.000000,53.613048,11.307184,241.062791,10.050871
1.000000,20.000000,21.000000,128.029264,25.605853,6.401463,22.389164,182.425744,58.320014,20.000000,53.613048,15.293034,326.038871,13.593863
1.000000,25.000000,26.000000,158.512422,31.702484,7.925621,22.651806,220.792333,59.347025,25.000000,53.613048,19.266023,410.740767,17.125423
1.000000,30.000000,31.000000,188.995580,37.799116,9.449779,22.913588,259.158063,60.386896,30.000000,53.613048,23.226152,495.168486,20.645552
1.000000,35.000000,36.000000,219.478738,43.895748,10.973937,23.174526,297.522948,61.439627,35.000000,53.613048,27.173421,579.322036,24.154250
1.000000,40.000000,41.000000,249.961896,49.992379,12.498095,23.434634,335.887004,62.505218,40.000000,53.613048,31.107830,663.201427,27.651516
1.000000,45.000000,46.000000,280.445054,56.089011,14.022253,23.693926,374.250244,63.583668,45.000000,53.613048,35.029380,746.806667,31.137353
1.000000,50.000000,51.000000,310.928212,62.185642,15.546411,23.952418,412.612683,64.674976,50.000000,53.613048,38.938072,830.137766,34.611759
