iteration,mtow_guess_kg,new_mtow_kg,delta_kg,empty_mass_kg,battery_mass_kg,payload_mass_kg,total_energy_converged_kw_hr
0,2404.000000,2534.445494,130.445494,1598.032431,482.413064,454.000000,79.127803
1,2534.445494,2636.742562,102.297068,1666.030112,516.712450,454.000000,84.753760
2,2636.742562,2718.904348,82.161785,1720.215841,544.688507,454.000000,89.342532
3,2718.904348,2786.126337,67.221989,1764.282865,567.843472,454.000000,93.140525
4,2786.126337,2841.940400,55.814064,1800.698500,587.241900,454.000000,96.322353
5,2841.940400,2888.839415,46.899015,1831.180955,603.658461,454.000000,99.015079
6,2888.839415,2928.637621,39.798206,1856.967328,617.670294,454.000000,101.313370
7,2928.637621,2962.689423,34.051801,1878.973088,629.716335,454.000000,103.289222
8,2962.689423,2992.027947,29.338525,1897.891451,640.136497,454.000000,104.998389
9,2992.027947,3017.455926,25.427978,1914.257709,649.198217,454.000000,106.484738
10,3017.455926,3039.607113,22.151187,1928.492235,657.114878,454.000000,107.783268
11,3039.607113,3058.988890,19.381776,1940.930032,664.058858,454.000000,108.922254
12,3058.988890,3076.012479,17.023589,1951.841523,670.170956,454.000000,109.924791
13,3076.012479,3091.014816,15.002336,1961.447497,675.567319,454.000000,110.809929
14,3091.014816,3104.274648,13.259832,1969.930045,680.344603,454.000000,111.593523
15,3104.274648,3116.024590,11.749942,1977.440698,684.583892,454.000000,112.288873
16,3116.024590,3126.460268,10.435678,1984.106575,688.353693,454.000000,112.907214
17,3126.460268,3135.747349,9.287081,1990.035092,691.712257,454.000000,113.458103
18,3135.747349,3144.027016,8.279667,1995.317605,694.709412,454.000000,113.949711
19,3144.027016,3151.420270,7.393254,2000.032270,697.388000,454.000000,114.389067
20,3151.420270,3158.031345,6.611075,2004.246306,699.785039,454.000000,114.782241
21,3158.031345,3163.950452,5.919107,2008.017803,701.932649,454.000000,115.134503
22,3163.950452,3169.255991,5.305540,2011.397179,703.858812,454.000000,115.450442
23,3169.255991,3174.016363,4.760371,2014.428370,705.587993,454.000000,115.734070
24,3174.016363,3178.291443,4.275080,2017.149794,707.141649,454.000000,115.988909
25,3178.291443,3182.133816,3.842373,2019.595157,708.538659,454.000000,116.218053
26,3182.133816,3185.589789,3.455973,2021.794117,709.795672,454.000000,116.424235
27,3185.589789,3188.700252,3.110463,2023.772839,710.927413,454.000000,116.609869
28,3188.700252,3191.501390,2.801139,2025.554464,711.946927,454.000000,116.777095
29,3191.501390,3194.025299,2.523909,2027.159500,712.865799,454.000000,116.927813
30,3194.025299,3196.300498,2.275199,2028.606163,713.694335,454.000000,117.063713
31,3196.300498,3198.352374,2.051876,2029.910656,714.441718,454.000000,117.186303
32,3198.352374,3200.203562,1.851188,2031.087421,715.116140,454.000000,117.296925
33,3200.203562,3201.874272,1.670710,2032.149347,715.724925,454.000000,117.396781
34,3201.874272,3203.382574,1.508302,2033.107952,716.274622,454.000000,117.486945
35,3203.382574,3204.744640,1.362067,2033.973541,716.771099,454.000000,117.568380
36,3204.744640,3205.974965,1.230324,2034.755348,717.219617,454.000000,117.641948
37,3205.974965,3207.086546,1.111581,2035.461649,717.624897,454.000000,117.708424
38,3207.086546,3208.091053,1.004508,2036.099874,717.991179,454.000000,117.768503
39,3208.091053,3208.998972,0.907919,2036.676698,718.322274,454.000000,117.822811
40,3208.998972,3209.819730,0.820758,2037.198119,718.621611,454.000000,117.871910
41,3209.819730,3210.561809,0.742078,2037.669533,718.892275,454.000000,117.916305
42,3210.561809,3211.232844,0.671035,2038.095798,719.137045,454.000000,117.956454
43,3211.232844,3211.839712,0.606869,2038.481288,719.358425,454.000000,117.992766
44,3211.839712,3212.388613,0.548901,2038.829943,719.558670,454.000000,118.025611
45,3212.388613,3212.885134,0.496521,2039.145318,719.739817,454.000000,118.055323
46,3212.885134,3213.334316,0.449182,2039.430615,719.903700,454.000000,118.082204
47,3213.334316,3213.740705,0.406390,2039.688727,720.051978,454.000000,118.106526
48,3213.740705,3214.108408,0.367702,2039.922262,720.186146,454.000000,118.128533
49,3214.108408,3214.441129,0.332721,2040.133575,720.307554,454.000000,118.148446
50,3214.441129,3214.742215,0.301086,2040.324793,720.417422,454.000000,118.166468
51,3214.742215,3215.014690,0.272475,2040.497837,720.516853,454.000000,118.182777
52,3215.014690,3215.261284,0.246595,2040.654442,720.606842,454.000000,118.197537
53,3215.261284,3215.484467,0.223183,2040.796178,720.688289,454.000000,118.210897
54,3215.484467,3215.686469,0.202002,2040.924461,720.762009,454.000000,118.222988
55,3215.686469,3215.869308,0.182839,2041.040572,720.828736,454.000000,118.233933
56,3215.869308,3216.034807,0.165499,2041.145671,720.889136,454.000000,118.243841
57,3216.034807,3216.184615,0.149808,2041.240804,720.943811,454.000000,118.252809
58,3216.184615,3216.320224,0.135609,2041.326920,720.993304,454.000000,118.260927
59,3216.320224,3216.442982,0.122758,2041.404875,721.038107,454.000000,118.268276
60,3216.442982,3216.554110,0.111128,2041.475443,721.078667,454.000000,118.274928
61,3216.554110,3216.654713,0.100602,2041.539327,721.115385,454.000000,118.280951
62,3216.654713,3216.745787,0.091075,2041.597161,721.148626,454.000000,118.286403
63,3216.745787,3216.828238,0.082451,2041.649518,721.178720,454.000000,118.291340
64,3216.828238,3216.902883,0.074645,2041.696918,721.205965,454.000000,118.295808
65,3216.902883,3216.970462,0.067579,2041.739831,721.230631,454.000000,118.299854
66,3216.970462,3217.031645,0.061183,2041.778682,721.252962,454.000000,118.303517
67,3217.031645,3217.087037,0.055392,2041.813856,721.273181,454.000000,118.306833
68,3217.087037,3217.137187,0.050150,2041.845702,721.291486,454.000000,118.309836
69,3217.137187,3217.182592,0.045405,2041.874534,721.308059,454.000000,118.312554
70,3217.182592,3217.223702,0.041109,2041.900638,721.323064,454.000000,118.315016
71,3217.223702,3217.260921,0.037220,2041.924272,721.336649,454.000000,118.317244
72,3217.260921,3217.294620,0.033699,2041.945671,721.348950,454.000000,118.319261
73,3217.294620,3217.325131,0.030511,2041.965045,721.360086,454.000000,118.321088
74,3217.325131,3217.352756,0.027625,2041.982586,721.370170,454.000000,118.322742
75,3217.352756,3217.377768,0.025012,2041.998469,721.379300,454.000000,118.324240
76,3217.377768,3217.400415,0.022646,2042.012849,721.387566,454.000000,118.325595
77,3217.400415,3217.420919,0.020505,2042.025869,721.395050,454.000000,118.326823
78,3217.420919,3217.439485,0.018565,2042.037658,721.401827,454.000000,118.327935
79,3217.439485,3217.456294,0.016810,2042.048332,721.407963,454.000000,118.328941
80,3217.456294,3217.471514,0.015220,2042.057996,721.413518,454.000000,118.329852
81,3217.471514,3217.485295,0.013781,2042.066747,721.418548,454.000000,118.330677
82,3217.485295,3217.497772,0.012478,2042.074670,721.423103,454.000000,118.331424
83,3217.497772,3217.509070,0.011298,2042.081843,721.427227,454.000000,118.332101
84,3217.509070,3217.519299,0.010229,2042.088339,721.430961,454.000000,118.332713
85,3217.519299,3217.528561,0.009262,2042.094220,721.434341,454.000000,118.333268
86,3217.528561,3217.536948,0.008386,2042.099545,721.437403,454.000000,118.333770
87,3217.536948,3217.544541,0.007593,2042.104367,721.440174,454.000000,118.334225
88,3217.544541,3217.551416,0.006875,2042.108733,721.442684,454.000000,118.334636
89,3217.551416,3217.557642,0.006225,2042.112685,721.444956,454.000000,118.335009
90,3217.557642,3217.563278,0.005637,2042.116265,721.447014,454.000000,118.335346
91,3217.563278,3217.568382,0.005104,2042.119505,721.448877,454.000000,118.335652
92,3217.568382,3217.573003,0.004621,2042.122440,721.450564,454.000000,118.335929
93,3217.573003,3217.577188,0.004184,2042.125097,721.452091,454.000000,118.336179
94,3217.577188,3217.580976,0.003789,2042.127502,721.453474,454.000000,118.336406
95,3217.580976,3217.584407,0.003430,2042.129681,721.454726,454.000000,118.336611
96,3217.584407,3217.587513,0.003106,2042.131653,721.455860,454.000000,118.336797
97,3217.587513,3217.590325,0.002812,2042.133439,721.456886,454.000000,118.336966
98,3217.590325,3217.592872,0.002547,2042.135056,721.457816,454.000000,118.337118
99,3217.592872,3217.595177,0.002306,2042.136520,721.458658,454.000000,118.337256
100,3217.595177,3217.597265,0.002088,2042.137846,721.459420,454.000000,118.337381
101,3217.597265,3217.599156,0.001890,2042.139046,721.460110,454.000000,118.337494
102,3217.599156,3217.600867,0.001712,2042.140133,721.460734,454.000000,118.337597
103,3217.600867,3217.602417,0.001550,2042.141117,721.461300,454.000000,118.337690
104,3217.602417,3217.603820,0.001403,2042.142008,721.461812,454.000000,118.337774
105,3217.603820,3217.605091,0.001271,2042.142815,721.462276,454.000000,118.337850
106,3217.605091,3217.606242,0.001151,2042.143545,721.462696,454.000000,118.337919
107,3217.606242,3217.607283,0.001042,2042.144207,721.463076,454.000000,118.337981
108,3217.607283,3217.608226,0.000943,2042.144806,721.463421,454.000000,118.338038
