n_abu_pool,candidate_name,timeline_type,abu_index,flight_index,t_hr,event
1.000000,after_accel_climb,aircraft,,1.000000,0.000000,aircraft_depart
1.000000,after_accel_climb,aircraft,,1.000000,0.241667,aircraft_arrive
1.000000,after_accel_climb,aircraft,,1.000000,0.524967,aircraft_ground_ops_done
1.000000,after_accel_climb,aircraft,,1.000000,1.161581,aircraft_charge_done
1.000000,after_accel_climb,aircraft,,2.000000,1.161581,aircraft_depart
1.000000,after_accel_climb,aircraft,,2.000000,1.403247,aircraft_arrive
1.000000,after_accel_climb,aircraft,,2.000000,1.686547,aircraft_ground_ops_done
1.000000,after_accel_climb,aircraft,,2.000000,2.323161,aircraft_charge_done
1.000000,after_accel_climb,aircraft,,3.000000,2.323161,aircraft_depart
1.000000,after_accel_climb,aircraft,,3.000000,2.564828,aircraft_arrive
1.000000,after_accel_climb,aircraft,,3.000000,2.848128,aircraft_ground_ops_done
1.000000,after_accel_climb,aircraft,,3.000000,3.484742,aircraft_charge_done
1.000000,after_accel_climb,aircraft,,4.000000,3.484742,aircraft_depart
1.000000,after_accel_climb,aircraft,,4.000000,3.726409,aircraft_arrive
1.000000,after_accel_climb,aircraft,,4.000000,4.009709,aircraft_ground_ops_done
1.000000,after_accel_climb,aircraft,,4.000000,4.646323,aircraft_charge_done
1.000000,after_accel_climb,aircraft,,5.000000,4.646323,aircraft_depart
1.000000,after_accel_climb,aircraft,,5.000000,4.887990,aircraft_arrive
1.000000,after_accel_climb,aircraft,,5.000000,5.171290,aircraft_ground_ops_done
1.000000,after_accel_climb,aircraft,,5.000000,5.807904,aircraft_charge_done
1.000000,after_accel_climb,aircraft,,6.000000,5.807904,aircraft_depart
1.000000,after_accel_climb,aircraft,,6.000000,6.049570,aircraft_arrive
1.000000,after_accel_climb,aircraft,,6.000000,6.332870,aircraft_ground_ops_done
1.000000,after_accel_climb,aircraft,,6.000000,6.969484,aircraft_charge_done
1.000000,after_accel_climb,aircraft,,7.000000,6.969484,aircraft_depart
1.000000,after_accel_climb,aircraft,,7.000000,7.211151,aircraft_arrive
1.000000,after_accel_climb,aircraft,,7.000000,7.494451,aircraft_ground_ops_done
1.000000,after_accel_climb,aircraft,,7.000000,8.131065,aircraft_charge_done
1.000000,after_accel_climb,abu,1.000000,1.000000,0.000000,abu_attach
1.000000,after_accel_climb,abu,1.000000,1.000000,0.065000,abu_detach
1.000000,after_accel_climb,abu,1.000000,1.000000,0.207271,abu_return_done
1.000000,after_accel_climb,abu,1.000000,1.000000,0.207271,abu_charge_start
1.000000,after_accel_climb,abu,1.000000,1.000000,0.527229,abu_charge_done
1.000000,after_accel_climb,abu,1.000000,2.000000,1.161581,abu_attach
1.000000,after_accel_climb,abu,1.000000,2.000000,1.226581,abu_detach
1.000000,after_accel_climb,abu,1.000000,2.000000,1.368851,abu_return_done
1.000000,after_accel_climb,abu,1.000000,2.000000,1.368851,abu_charge_start
1.000000,after_accel_climb,abu,1.000000,2.000000,1.688809,abu_charge_done
1.000000,after_accel_climb,abu,1.000000,3.000000,2.323161,abu_attach
1.000000,after_accel_climb,abu,1.000000,3.000000,2.388161,abu_detach
1.000000,after_accel_climb,abu,1.000000,3.000000,2.530432,abu_return_done
1.000000,after_accel_climb,abu,1.000000,3.000000,2.530432,abu_charge_start
1.000000,after_accel_climb,abu,1.000000,3.000000,2.850390,abu_charge_done
1.000000,after_accel_climb,abu,1.000000,4.000000,3.484742,abu_attach
1.000000,after_accel_climb,abu,1.000000,4.000000,3.549742,abu_detach
1.000000,after_accel_climb,abu,1.000000,4.000000,3.692013,abu_return_done
1.000000,after_accel_climb,abu,1.000000,4.000000,3.692013,abu_charge_start
1.000000,after_accel_climb,abu,1.000000,4.000000,4.011971,abu_charge_done
1.000000,after_accel_climb,abu,1.000000,5.000000,4.646323,abu_attach
1.000000,after_accel_climb,abu,1.000000,5.000000,4.711323,abu_detach
1.000000,after_accel_climb,abu,1.000000,5.000000,4.853593,abu_return_done
1.000000,after_accel_climb,abu,1.000000,5.000000,4.853593,abu_charge_start
1.000000,after_accel_climb,abu,1.000000,5.000000,5.173552,abu_charge_done
1.000000,after_accel_climb,abu,1.000000,6.000000,5.807904,abu_attach
1.000000,after_accel_climb,abu,1.000000,6.000000,5.872904,abu_detach
1.000000,after_accel_climb,abu,1.000000,6.000000,6.015174,abu_return_done
1.000000,after_accel_climb,abu,1.000000,6.000000,6.015174,abu_charge_start
1.000000,after_accel_climb,abu,1.000000,6.000000,6.335132,abu_charge_done
1.000000,after_accel_climb,abu,1.000000,7.000000,6.969484,abu_attach
1.000000,after_accel_climb,abu,1.000000,7.000000,7.034484,abu_detach
1.000000,after_accel_climb,abu,1.000000,7.000000,7.176755,abu_return_done
1.000000,after_accel_climb,abu,1.000000,7.000000,7.176755,abu_charge_start
1.000000,after_accel_climb,abu,1.000000,7.000000,7.496713,abu_charge_done
