n_abus,E_abu_mission_kwh,E_abu_total_kwh,m_abu_batt_kg,m_abu_struct_kg,m_abu_integ_kg,m_rot_hub_kg,m_abu_total_all_kg,P_cruise_attach_kw,P_cruise_post_kw,baseline_cruise_energy_kwh,E_cruise_attach_kwh,E_abu_used_kwh,E_saved_kwh,t_attached_until_depletion_s,t_attached_effective_s,extra_time_s,total_extended_time_s,range_attached_mi,extra_range_mi,total_extended_range_mi,overcapacity,full_coverage_flag
1.000000,5.000000,17.000000,103.642737,20.728547,5.182137,22.598154,152.151576,300.467886,289.005181,33.958109,5.000000,5.000000,4.809252,59.906568,59.906568,59.906568,119.813137,2.497744,2.497744,4.995488,0.000000,0.000000
1.000000,10.000000,22.000000,134.125895,26.825179,6.706295,23.395393,191.052763,303.456362,289.005181,33.958109,10.000000,10.000000,9.523781,118.633202,118.633202,118.633202,237.266405,4.946292,4.946292,9.892584,0.000000,0.000000
1.000000,15.000000,27.000000,164.609053,32.921811,8.230453,23.597997,229.359314,306.422142,289.005181,33.958109,15.000000,15.000000,14.147404,176.227474,176.227474,176.227474,352.454947,7.347627,7.347627,14.695254,0.000000,0.000000
1.000000,20.000000,32.000000,195.092212,39.018442,9.754611,23.797027,267.662292,309.410451,289.005181,33.958109,20.000000,20.000000,18.681023,232.700608,232.700608,232.700608,465.401215,9.702218,9.702218,19.404436,0.000000,0.000000
1.000000,25.000000,37.000000,225.575370,45.115074,11.278768,23.995573,305.964785,312.421526,289.005181,33.958109,25.000000,25.000000,23.126222,288.072340,288.072340,288.072340,576.144680,12.010886,12.010886,24.021773,0.000000,0.000000
1.000000,30.000000,42.000000,256.058528,51.211706,12.802926,24.193655,344.266815,315.455368,289.005181,33.958109,30.000000,30.000000,27.484571,342.362220,342.362220,342.362220,684.724440,14.274448,14.274448,28.548897,0.000000,0.000000
1.000000,35.000000,47.000000,286.541686,57.308337,14.327084,24.391281,382.568388,318.511976,289.005181,33.958109,35.000000,35.000000,31.757617,395.589521,395.589521,395.589521,791.179043,16.493707,16.493707,32.987414,0.000000,0.000000
1.000000,40.000000,52.000000,317.024844,63.404969,15.851242,24.588455,420.869510,321.591350,289.005181,33.958109,37.786984,37.786984,33.958109,447.773238,423.000000,423.000000,846.000000,17.636560,17.636560,35.273119,1.000000,1.000000
1.000000,45.000000,57.000000,347.508002,69.501600,17.375400,24.785184,459.170187,324.693490,289.005181,33.958109,38.151485,38.151485,33.958109,498.932085,423.000000,423.000000,846.000000,17.636560,17.636560,35.273119,1.000000,1.000000
1.000000,50.000000,62.000000,377.991160,75.598232,18.899558,24.981473,497.470423,327.818396,289.005181,33.958109,38.518661,38.518661,33.958109,549.084500,423.000000,423.000000,846.000000,17.636560,17.636560,35.273119,1.000000,1.000000
