E_abu_mission_kwh_per_abu,E_abu_total_kwh_per_abu,E_abu_used_kwh,E_saved_kwh,E_mission_kwh_main,E_pack_kwh_main,E_pack_kwh_abu,dod_main,dod_abu,soc_start_main,soc_start_abu,soc_target,t_flight_hr,t_charge_hr_main,t_charge_hr_abu,t_charge_hr_total,t_ground_ops_hr,t_cycle_hr,n_feasible_flights,t_flight_day_hr,t_downtime_day_hr,t_slack_hr,charger_ac_kw,eta_charger_dc,c_rate_max,v_pack_nom_v_main,v_pack_nom_v_abu,P_cc_kw_main,P_cc_kw_abu,charger_limit_indicator_flag_main,charger_limit_indicator_flag_abu
5.000000,6.000000,5.000000,4.910777,67.523184,84.298844,6.000000,0.800998,1.000000,0.199002,0.000000,1.000000,0.347500,0.986217,0.108894,0.986217,0.283300,1.617017,14.000000,4.865000,19.135000,1.361759,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
10.000000,11.000000,10.000000,9.716040,62.717921,84.298844,11.000000,0.743995,1.000000,0.256005,0.000000,1.000000,0.347500,0.942233,0.187644,0.942233,0.283300,1.573033,15.000000,5.212500,18.787500,0.404503,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
15.000000,16.000000,15.000000,14.418383,58.015578,84.298844,16.000000,0.688213,1.000000,0.311787,0.000000,1.000000,0.347500,0.899191,0.262240,0.899191,0.283300,1.529991,15.000000,5.212500,18.787500,1.050134,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
20.000000,21.000000,20.000000,19.019748,53.414213,84.298844,21.000000,0.633629,1.000000,0.366371,0.000000,1.000000,0.347500,0.857073,0.334075,0.857073,0.283300,1.487873,16.000000,5.560000,18.440000,0.194027,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
25.000000,26.000000,25.000000,23.522189,48.911772,84.298844,26.000000,0.580219,1.000000,0.419781,0.000000,1.000000,0.347500,0.815861,0.403846,0.815861,0.283300,1.446661,16.000000,5.560000,18.440000,0.853423,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
30.000000,31.000000,30.000000,27.927724,44.506236,84.298844,31.000000,0.527958,1.000000,0.472042,0.000000,1.000000,0.347500,0.775536,0.471973,0.775536,0.283300,1.406336,17.000000,5.907500,18.092500,0.092292,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
35.000000,36.000000,35.000000,32.238335,40.195626,84.298844,36.000000,0.476823,1.000000,0.523177,0.000000,1.000000,0.347500,0.736079,0.538740,0.736079,0.283300,1.366879,17.000000,5.907500,18.092500,0.763050,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
40.000000,41.000000,40.000000,36.455963,35.977998,84.298844,41.000000,0.426791,1.000000,0.573209,0.000000,1.000000,0.347500,0.697474,0.604348,0.697474,0.283300,1.328274,18.000000,6.255000,17.745000,0.091066,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
45.000000,46.000000,45.000000,40.582516,31.851445,84.298844,46.000000,0.377840,1.000000,0.622160,0.000000,1.000000,0.347500,0.659702,0.668948,0.668948,0.283300,1.299748,18.000000,6.255000,17.745000,0.604538,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
50.000000,51.000000,50.000000,44.619865,27.814096,84.298844,51.000000,0.329946,1.000000,0.670054,0.000000,1.000000,0.347500,0.622747,0.732658,0.732658,0.283300,1.363458,17.000000,5.907500,18.092500,0.821207,115.000000,0.950000,20.000000,800.000000,400.000000,109.250000,109.250000,charger_limited,charger_limited
