n_abus,E_abu_mission_kwh,E_abu_total_kwh,m_abu_batt_kg,m_abu_struct_kg,m_abu_integ_kg,m_rot_hub_kg,m_abu_total_all_kg,E_cruise_attach_kwh,E_abu_used_kwh,baseline_cruise_energy_kwh,E_saved_kwh,extra_time_s,extra_range_mi
1.000000,5.000000,17.000000,103.642737,20.728547,5.182137,22.598154,152.151576,67.247288,5.000000,64.658563,2.411275,29.199972,1.217463
1.000000,10.000000,22.000000,134.125895,26.825179,6.706295,23.395393,191.052763,67.921914,10.000000,64.658563,6.736649,81.579240,3.401364
1.000000,15.000000,27.000000,164.609053,32.921811,8.230453,23.597997,229.359314,68.591303,15.000000,64.658563,11.067260,134.021915,5.587909
1.000000,20.000000,32.000000,195.092212,39.018442,9.754611,23.797027,267.662292,69.265667,20.000000,64.658563,15.392897,186.404358,7.771942
1.000000,25.000000,37.000000,225.575370,45.115074,11.278768,23.995573,305.964785,69.945058,25.000000,64.658563,19.713506,238.725919,9.953437
1.000000,30.000000,42.000000,256.058528,51.211706,12.802926,24.193655,344.266815,70.629476,30.000000,64.658563,24.029087,290.986596,12.132393
1.000000,35.000000,47.000000,286.541686,57.308337,14.327084,24.391281,382.568388,71.318922,35.000000,64.658563,28.339641,343.186389,14.308811
1.000000,40.000000,52.000000,317.024844,63.404969,15.851242,24.588455,420.869510,72.013396,40.000000,64.658563,32.645167,395.325300,16.482691
1.000000,45.000000,57.000000,347.508002,69.501600,17.375400,24.785184,459.170187,72.712897,45.000000,64.658563,36.945666,447.403330,18.654032
1.000000,50.000000,62.000000,377.991160,75.598232,18.899558,24.981473,497.470423,73.417426,50.000000,64.658563,41.241138,499.420480,20.822835
