n_abu_pool,E_abu_mission_kwh_per_abu,timeline_type,abu_index,flight_index,t_hr,event
1.000000,5.000000,aircraft,,1.000000,0.000000,aircraft_depart
1.000000,5.000000,aircraft,,1.000000,0.081641,abu_detach
1.000000,5.000000,aircraft,,1.000000,0.447500,aircraft_arrive
1.000000,5.000000,aircraft,,1.000000,0.730800,aircraft_ground_ops_done
1.000000,5.000000,aircraft,,1.000000,2.168553,aircraft_charge_done
1.000000,5.000000,aircraft,,2.000000,2.168553,aircraft_depart
1.000000,5.000000,aircraft,,2.000000,2.250193,abu_detach
1.000000,5.000000,aircraft,,2.000000,2.616053,aircraft_arrive
1.000000,5.000000,aircraft,,2.000000,2.899353,aircraft_ground_ops_done
1.000000,5.000000,aircraft,,2.000000,4.337105,aircraft_charge_done
1.000000,5.000000,aircraft,,3.000000,4.337105,aircraft_depart
1.000000,5.000000,aircraft,,3.000000,4.418746,abu_detach
1.000000,5.000000,aircraft,,3.000000,4.784605,aircraft_arrive
1.000000,5.000000,aircraft,,3.000000,5.067905,aircraft_ground_ops_done
1.000000,5.000000,aircraft,,3.000000,6.505658,aircraft_charge_done
1.000000,5.000000,aircraft,,4.000000,6.505658,aircraft_depart
1.000000,5.000000,aircraft,,4.000000,6.587298,abu_detach
1.000000,5.000000,aircraft,,4.000000,6.953158,aircraft_arrive
1.000000,5.000000,aircraft,,4.000000,7.236458,aircraft_ground_ops_done
1.000000,5.000000,aircraft,,4.000000,8.674210,aircraft_charge_done
1.000000,5.000000,abu,1.000000,1.000000,0.000000,abu_attached
1.000000,5.000000,abu,1.000000,1.000000,0.081641,abu_detach
1.000000,5.000000,abu,1.000000,1.000000,0.896833,abu_return_done
1.000000,5.000000,abu,1.000000,1.000000,0.896833,abu_charge_start
1.000000,5.000000,abu,1.000000,1.000000,1.173633,abu_charge_done
1.000000,5.000000,abu,1.000000,2.000000,2.168553,abu_attached
1.000000,5.000000,abu,1.000000,2.000000,2.250193,abu_detach
1.000000,5.000000,abu,1.000000,2.000000,3.065386,abu_return_done
1.000000,5.000000,abu,1.000000,2.000000,3.065386,abu_charge_start
1.000000,5.000000,abu,1.000000,2.000000,3.342186,abu_charge_done
1.000000,5.000000,abu,1.000000,3.000000,4.337105,abu_attached
1.000000,5.000000,abu,1.000000,3.000000,4.418746,abu_detach
1.000000,5.000000,abu,1.000000,3.000000,5.233938,abu_return_done
1.000000,5.000000,abu,1.000000,3.000000,5.233938,abu_charge_start
