iteration,mtow_guess_kg,new_mtow_kg,delta_kg,empty_mass_kg,battery_mass_kg,payload_mass_kg,total_energy_converged_kw_hr
0,3350.000000,3236.524090,-113.475910,2011.675804,770.848286,454.000000,126.438390
1,3236.524090,3159.542253,-76.981837,1960.760852,744.781400,454.000000,122.162769
2,3159.542253,3107.969955,-51.572297,1926.493140,727.476816,454.000000,119.324385
3,3107.969955,3073.714621,-34.255335,1903.659063,716.055558,454.000000,117.451013
4,3073.714621,3051.091958,-22.622662,1888.546501,708.545457,454.000000,116.219169
5,3051.091958,3036.208689,-14.883270,1878.589671,703.619018,454.000000,115.411109
6,3036.208689,3026.441829,-9.766860,1872.049415,700.392415,454.000000,114.881866
7,3026.441829,3020.043175,-6.398654,1867.761919,698.281256,454.000000,114.535583
8,3020.043175,3015.855744,-4.187431,1864.954910,696.900834,454.000000,114.309159
9,3015.855744,3013.117351,-2.738393,1863.118750,695.998602,454.000000,114.161171
10,3013.117351,3011.327404,-1.789947,1861.918331,695.409073,454.000000,114.064473
11,3011.327404,3010.157766,-1.169638,1861.133827,695.023939,454.000000,114.001302
12,3010.157766,3009.393621,-0.764145,1860.621258,694.772364,454.000000,113.960037
13,3009.393621,3008.894457,-0.499164,1860.286414,694.608043,454.000000,113.933084
14,3008.894457,3008.568416,-0.326042,1860.067695,694.500720,454.000000,113.915481
15,3008.568416,3008.355465,-0.212951,1859.924838,694.430626,454.000000,113.903983
16,3008.355465,3008.216383,-0.139081,1859.831535,694.384848,454.000000,113.896475
17,3008.216383,3008.125549,-0.090834,1859.770598,694.354951,454.000000,113.891571
18,3008.125549,3008.066226,-0.059323,1859.730800,694.335426,454.000000,113.888368
19,3008.066226,3008.027484,-0.038743,1859.704809,694.322674,454.000000,113.886277
20,3008.027484,3008.002181,-0.025302,1859.687835,694.314347,454.000000,113.884911
21,3008.002181,3007.985657,-0.016524,1859.676749,694.308908,454.000000,113.884019
22,3007.985657,3007.974866,-0.010792,1859.669510,694.305356,454.000000,113.883436
23,3007.974866,3007.967818,-0.007048,1859.664781,694.303037,454.000000,113.883056
24,3007.967818,3007.963215,-0.004603,1859.661694,694.301522,454.000000,113.882807
25,3007.963215,3007.960210,-0.003006,1859.659677,694.300532,454.000000,113.882645
26,3007.960210,3007.958247,-0.001963,1859.658360,694.299886,454.000000,113.882539
27,3007.958247,3007.956965,-0.001282,1859.657500,694.299464,454.000000,113.882470
28,3007.956965,3007.956127,-0.000837,1859.656939,694.299189,454.000000,113.882424
