n_abu_pool,candidate_name,timeline_type,abu_index,flight_index,t_hr,event
1.000000,after_accel_climb,aircraft,,1.000000,0.000000,aircraft_depart
1.000000,after_accel_climb,aircraft,,1.000000,0.243611,aircraft_arrive
1.000000,after_accel_climb,aircraft,,1.000000,0.526911,aircraft_ground_ops_done
1.000000,after_accel_climb,aircraft,,1.000000,1.208713,aircraft_charge_done
1.000000,after_accel_climb,aircraft,,2.000000,1.208713,aircraft_depart
1.000000,after_accel_climb,aircraft,,2.000000,1.452324,aircraft_arrive
1.000000,after_accel_climb,aircraft,,2.000000,1.735624,aircraft_ground_ops_done
1.000000,after_accel_climb,aircraft,,2.000000,2.417426,aircraft_charge_done
1.000000,after_accel_climb,aircraft,,3.000000,2.417426,aircraft_depart
1.000000,after_accel_climb,aircraft,,3.000000,2.661037,aircraft_arrive
1.000000,after_accel_climb,aircraft,,3.000000,2.944337,aircraft_ground_ops_done
1.000000,after_accel_climb,aircraft,,3.000000,3.626140,aircraft_charge_done
1.000000,after_accel_climb,aircraft,,4.000000,3.626140,aircraft_depart
1.000000,after_accel_climb,aircraft,,4.000000,3.869751,aircraft_arrive
1.000000,after_accel_climb,aircraft,,4.000000,4.153051,aircraft_ground_ops_done
1.000000,after_accel_climb,aircraft,,4.000000,4.834853,aircraft_charge_done
1.000000,after_accel_climb,aircraft,,5.000000,4.834853,aircraft_depart
1.000000,after_accel_climb,aircraft,,5.000000,5.078464,aircraft_arrive
1.000000,after_accel_climb,aircraft,,5.000000,5.361764,aircraft_ground_ops_done
1.000000,after_accel_climb,aircraft,,5.000000,6.043566,aircraft_charge_done
1.000000,after_accel_climb,aircraft,,6.000000,6.043566,aircraft_depart
1.000000,after_accel_climb,aircraft,,6.000000,6.287177,aircraft_arrive
1.000000,after_accel_climb,aircraft,,6.000000,6.570477,aircraft_ground_ops_done
1.000000,after_accel_climb,aircraft,,6.000000,7.252279,aircraft_charge_done
1.000000,after_accel_climb,aircraft,,7.000000,7.252279,aircraft_depart
1.000000,after_accel_climb,aircraft,,7.000000,7.495890,aircraft_arrive
1.000000,after_accel_climb,aircraft,,7.000000,7.779190,aircraft_ground_ops_done
1.000000,after_accel_climb,aircraft,,7.000000,8.460992,aircraft_charge_done
1.000000,after_accel_climb,aircraft,,8.000000,8.460992,aircraft_depart
1.000000,after_accel_climb,aircraft,,8.000000,8.704603,aircraft_arrive
1.000000,after_accel_climb,aircraft,,8.000000,8.987903,aircraft_ground_ops_done
1.000000,after_accel_climb,aircraft,,8.000000,9.669705,aircraft_charge_done
1.000000,after_accel_climb,aircraft,,9.000000,9.669705,aircraft_depart
1.000000,after_accel_climb,aircraft,,9.000000,9.913317,aircraft_arrive
1.000000,after_accel_climb,aircraft,,9.000000,10.196617,aircraft_ground_ops_done
1.000000,after_accel_climb,aircraft,,9.000000,10.878419,aircraft_charge_done
1.000000,after_accel_climb,aircraft,,10.000000,10.878419,aircraft_depart
1.000000,after_accel_climb,aircraft,,10.000000,11.122030,aircraft_arrive
1.000000,after_accel_climb,aircraft,,10.000000,11.405330,aircraft_ground_ops_done
1.000000,after_accel_climb,aircraft,,10.000000,12.087132,aircraft_charge_done
1.000000,after_accel_climb,aircraft,,11.000000,12.087132,aircraft_depart
1.000000,after_accel_climb,aircraft,,11.000000,12.330743,aircraft_arrive
1.000000,after_accel_climb,aircraft,,11.000000,12.614043,aircraft_ground_ops_done
1.000000,after_accel_climb,aircraft,,11.000000,13.295845,aircraft_charge_done
1.000000,after_accel_climb,aircraft,,12.000000,13.295845,aircraft_depart
1.000000,after_accel_climb,aircraft,,12.000000,13.539456,aircraft_arrive
1.000000,after_accel_climb,aircraft,,12.000000,13.822756,aircraft_ground_ops_done
1.000000,after_accel_climb,aircraft,,12.000000,14.504558,aircraft_charge_done
1.000000,after_accel_climb,aircraft,,13.000000,14.504558,aircraft_depart
1.000000,after_accel_climb,aircraft,,13.000000,14.748169,aircraft_arrive
1.000000,after_accel_climb,aircraft,,13.000000,15.031469,aircraft_ground_ops_done
1.000000,after_accel_climb,aircraft,,13.000000,15.713271,aircraft_charge_done
1.000000,after_accel_climb,aircraft,,14.000000,15.713271,aircraft_depart
1.000000,after_accel_climb,aircraft,,14.000000,15.956882,aircraft_arrive
1.000000,after_accel_climb,aircraft,,14.000000,16.240182,aircraft_ground_ops_done
1.000000,after_accel_climb,aircraft,,14.000000,16.921984,aircraft_charge_done
1.000000,after_accel_climb,aircraft,,15.000000,16.921984,aircraft_depart
1.000000,after_accel_climb,aircraft,,15.000000,17.165596,aircraft_arrive
1.000000,after_accel_climb,aircraft,,15.000000,17.448896,aircraft_ground_ops_done
1.000000,after_accel_climb,aircraft,,15.000000,18.130698,aircraft_charge_done
1.000000,after_accel_climb,aircraft,,16.000000,18.130698,aircraft_depart
1.000000,after_accel_climb,aircraft,,16.000000,18.374309,aircraft_arrive
1.000000,after_accel_climb,aircraft,,16.000000,18.657609,aircraft_ground_ops_done
1.000000,after_accel_climb,aircraft,,16.000000,19.339411,aircraft_charge_done
1.000000,after_accel_climb,aircraft,,17.000000,19.339411,aircraft_depart
1.000000,after_accel_climb,aircraft,,17.000000,19.583022,aircraft_arrive
1.000000,after_accel_climb,aircraft,,17.000000,19.866322,aircraft_ground_ops_done
1.000000,after_accel_climb,aircraft,,17.000000,20.548124,aircraft_charge_done
1.000000,after_accel_climb,aircraft,,18.000000,20.548124,aircraft_depart
1.000000,after_accel_climb,aircraft,,18.000000,20.791735,aircraft_arrive
1.000000,after_accel_climb,aircraft,,18.000000,21.075035,aircraft_ground_ops_done
1.000000,after_accel_climb,aircraft,,18.000000,21.756837,aircraft_charge_done
1.000000,after_accel_climb,aircraft,,19.000000,21.756837,aircraft_depart
1.000000,after_accel_climb,aircraft,,19.000000,22.000448,aircraft_arrive
1.000000,after_accel_climb,aircraft,,19.000000,22.283748,aircraft_ground_ops_done
1.000000,after_accel_climb,aircraft,,19.000000,22.965550,aircraft_charge_done
1.000000,after_accel_climb,aircraft,,20.000000,22.965550,aircraft_depart
1.000000,after_accel_climb,aircraft,,20.000000,23.209162,aircraft_arrive
1.000000,after_accel_climb,aircraft,,20.000000,23.492462,aircraft_ground_ops_done
1.000000,after_accel_climb,aircraft,,20.000000,24.174264,aircraft_charge_done
1.000000,after_accel_climb,abu,1.000000,1.000000,0.000000,abu_attach
1.000000,after_accel_climb,abu,1.000000,1.000000,0.039167,abu_detach
1.000000,after_accel_climb,abu,1.000000,1.000000,0.114546,abu_return_done
