n_takeoff_abu_pool,n_cruise_abu_pool,E_abu_mission_cruise_per_abu_kwh,timeline_type,abu_index,flight_index,t_hr,event
1.000000,1.000000,5.000000,aircraft,,1.000000,0.000000,aircraft_depart
1.000000,1.000000,5.000000,aircraft,,1.000000,0.233333,aircraft_arrive
1.000000,1.000000,5.000000,aircraft,,1.000000,0.516633,aircraft_ground_ops_done
1.000000,1.000000,5.000000,aircraft,,1.000000,1.154084,aircraft_charge_done
1.000000,1.000000,5.000000,aircraft,,2.000000,1.154084,aircraft_depart
1.000000,1.000000,5.000000,aircraft,,2.000000,1.387417,aircraft_arrive
1.000000,1.000000,5.000000,aircraft,,2.000000,1.670717,aircraft_ground_ops_done
1.000000,1.000000,5.000000,aircraft,,2.000000,2.308167,aircraft_charge_done
1.000000,1.000000,5.000000,aircraft,,3.000000,2.308167,aircraft_depart
1.000000,1.000000,5.000000,aircraft,,3.000000,2.541501,aircraft_arrive
1.000000,1.000000,5.000000,aircraft,,3.000000,2.824801,aircraft_ground_ops_done
1.000000,1.000000,5.000000,aircraft,,3.000000,3.462251,aircraft_charge_done
1.000000,1.000000,5.000000,aircraft,,4.000000,3.462251,aircraft_depart
1.000000,1.000000,5.000000,aircraft,,4.000000,3.695585,aircraft_arrive
1.000000,1.000000,5.000000,aircraft,,4.000000,3.978885,aircraft_ground_ops_done
1.000000,1.000000,5.000000,aircraft,,4.000000,4.616335,aircraft_charge_done
1.000000,1.000000,5.000000,aircraft,,5.000000,4.616335,aircraft_depart
1.000000,1.000000,5.000000,aircraft,,5.000000,4.849668,aircraft_arrive
1.000000,1.000000,5.000000,aircraft,,5.000000,5.132968,aircraft_ground_ops_done
1.000000,1.000000,5.000000,aircraft,,5.000000,5.770419,aircraft_charge_done
1.000000,1.000000,5.000000,aircraft,,6.000000,5.770419,aircraft_depart
1.000000,1.000000,5.000000,aircraft,,6.000000,6.003752,aircraft_arrive
1.000000,1.000000,5.000000,aircraft,,6.000000,6.287052,aircraft_ground_ops_done
1.000000,1.000000,5.000000,aircraft,,6.000000,6.924502,aircraft_charge_done
1.000000,1.000000,5.000000,aircraft,,7.000000,6.924502,aircraft_depart
1.000000,1.000000,5.000000,aircraft,,7.000000,7.157836,aircraft_arrive
1.000000,1.000000,5.000000,aircraft,,7.000000,7.441136,aircraft_ground_ops_done
1.000000,1.000000,5.000000,aircraft,,7.000000,8.078586,aircraft_charge_done
1.000000,1.000000,5.000000,aircraft,,8.000000,8.078586,aircraft_depart
1.000000,1.000000,5.000000,aircraft,,8.000000,8.311920,aircraft_arrive
1.000000,1.000000,5.000000,aircraft,,8.000000,8.595220,aircraft_ground_ops_done
1.000000,1.000000,5.000000,aircraft,,8.000000,9.232670,aircraft_charge_done
1.000000,1.000000,5.000000,aircraft,,9.000000,9.232670,aircraft_depart
1.000000,1.000000,5.000000,aircraft,,9.000000,9.466003,aircraft_arrive
1.000000,1.000000,5.000000,aircraft,,9.000000,9.749303,aircraft_ground_ops_done
1.000000,1.000000,5.000000,aircraft,,9.000000,10.386754,aircraft_charge_done
1.000000,1.000000,5.000000,aircraft,,10.000000,10.386754,aircraft_depart
1.000000,1.000000,5.000000,aircraft,,10.000000,10.620087,aircraft_arrive
1.000000,1.000000,5.000000,aircraft,,10.000000,10.903387,aircraft_ground_ops_done
1.000000,1.000000,5.000000,aircraft,,10.000000,11.540837,aircraft_charge_done
1.000000,1.000000,5.000000,aircraft,,11.000000,11.540837,aircraft_depart
1.000000,1.000000,5.000000,aircraft,,11.000000,11.774171,aircraft_arrive
1.000000,1.000000,5.000000,aircraft,,11.000000,12.057471,aircraft_ground_ops_done
1.000000,1.000000,5.000000,aircraft,,11.000000,12.694921,aircraft_charge_done
1.000000,1.000000,5.000000,aircraft,,12.000000,12.694921,aircraft_depart
1.000000,1.000000,5.000000,aircraft,,12.000000,12.928255,aircraft_arrive
1.000000,1.000000,5.000000,aircraft,,12.000000,13.211555,aircraft_ground_ops_done
1.000000,1.000000,5.000000,aircraft,,12.000000,13.849005,aircraft_charge_done
1.000000,1.000000,5.000000,aircraft,,13.000000,13.849005,aircraft_depart
1.000000,1.000000,5.000000,aircraft,,13.000000,14.082338,aircraft_arrive
1.000000,1.000000,5.000000,aircraft,,13.000000,14.365638,aircraft_ground_ops_done
1.000000,1.000000,5.000000,aircraft,,13.000000,15.003089,aircraft_charge_done
1.000000,1.000000,5.000000,aircraft,,14.000000,15.003089,aircraft_depart
1.000000,1.000000,5.000000,aircraft,,14.000000,15.236422,aircraft_arrive
1.000000,1.000000,5.000000,aircraft,,14.000000,15.519722,aircraft_ground_ops_done
1.000000,1.000000,5.000000,aircraft,,14.000000,16.157172,aircraft_charge_done
1.000000,1.000000,5.000000,aircraft,,15.000000,16.157172,aircraft_depart
1.000000,1.000000,5.000000,aircraft,,15.000000,16.390506,aircraft_arrive
1.000000,1.000000,5.000000,aircraft,,15.000000,16.673806,aircraft_ground_ops_done
1.000000,1.000000,5.000000,aircraft,,15.000000,17.311256,aircraft_charge_done
1.000000,1.000000,5.000000,aircraft,,16.000000,17.311256,aircraft_depart
1.000000,1.000000,5.000000,aircraft,,16.000000,17.544590,aircraft_arrive
1.000000,1.000000,5.000000,aircraft,,16.000000,17.827890,aircraft_ground_ops_done
1.000000,1.000000,5.000000,aircraft,,16.000000,18.465340,aircraft_charge_done
1.000000,1.000000,5.000000,aircraft,,17.000000,18.465340,aircraft_depart
1.000000,1.000000,5.000000,aircraft,,17.000000,18.698673,aircraft_arrive
1.000000,1.000000,5.000000,aircraft,,17.000000,18.981973,aircraft_ground_ops_done
1.000000,1.000000,5.000000,aircraft,,17.000000,19.619424,aircraft_charge_done
1.000000,1.000000,5.000000,aircraft,,18.000000,19.619424,aircraft_depart
1.000000,1.000000,5.000000,aircraft,,18.000000,19.852757,aircraft_arrive
1.000000,1.000000,5.000000,aircraft,,18.000000,20.136057,aircraft_ground_ops_done
1.000000,1.000000,5.000000,aircraft,,18.000000,20.773507,aircraft_charge_done
1.000000,1.000000,5.000000,aircraft,,19.000000,20.773507,aircraft_depart
1.000000,1.000000,5.000000,aircraft,,19.000000,21.006841,aircraft_arrive
1.000000,1.000000,5.000000,aircraft,,19.000000,21.290141,aircraft_ground_ops_done
1.000000,1.000000,5.000000,aircraft,,19.000000,21.927591,aircraft_charge_done
1.000000,1.000000,5.000000,aircraft,,20.000000,21.927591,aircraft_depart
1.000000,1.000000,5.000000,aircraft,,20.000000,22.160925,aircraft_arrive
1.000000,1.000000,5.000000,aircraft,,20.000000,22.444225,aircraft_ground_ops_done
1.000000,1.000000,5.000000,aircraft,,20.000000,23.081675,aircraft_charge_done
1.000000,1.000000,5.000000,aircraft,,21.000000,23.081675,aircraft_depart
1.000000,1.000000,5.000000,aircraft,,21.000000,23.315008,aircraft_arrive
1.000000,1.000000,5.000000,aircraft,,21.000000,23.598308,aircraft_ground_ops_done
1.000000,1.000000,5.000000,aircraft,,21.000000,24.235759,aircraft_charge_done
1.000000,1.000000,5.000000,takeoff_abu,1.000000,1.000000,0.000000,takeoff_abu_attached
1.000000,1.000000,5.000000,takeoff_abu,1.000000,1.000000,0.039167,takeoff_abu_detach
1.000000,1.000000,5.000000,takeoff_abu,1.000000,1.000000,0.114546,takeoff_abu_return_done
1.000000,1.000000,5.000000,takeoff_abu,1.000000,1.000000,0.114546,takeoff_abu_charge_start
1.000000,1.000000,5.000000,takeoff_abu,1.000000,1.000000,0.385982,takeoff_abu_charge_done
1.000000,1.000000,5.000000,takeoff_abu,1.000000,2.000000,1.154084,takeoff_abu_attached
1.000000,1.000000,5.000000,takeoff_abu,1.000000,2.000000,1.193250,takeoff_abu_detach
