n_takeoff_abu_pool,n_cruise_abu_pool,E_abu_mission_cruise_per_abu_kwh,E_pack_kwh_main,E_mission_kwh_main,dod_main,soc_start_main,soc_target,soc_cc_end,E_abu_used_takeoff_total_kwh,E_ops_takeoff_per_abu_kwh,E_pack_takeoff_abu_per_abu_kwh,soc_start_abu_takeoff,dod_abu_takeoff,t_takeoff_attach_hr,t_return_takeoff_abu_hr,E_abu_used_cruise_total_kwh,E_saved_kwh_cruise,E_ops_cruise_per_abu_kwh,E_pack_cruise_abu_per_abu_kwh,soc_start_abu_cruise,dod_abu_cruise,t_cruise_attach_hr,t_cruise_attach_start_hr,t_return_cruise_abu_hr,t_flight_hr,t_charge_hr_main,t_charge_hr_takeoff_abu,t_charge_hr_cruise_abu,t_cycle_nominal_hr,n_flights_nominal_no_abu_limit,n_flights_completed,t_flight_day_hr,t_slack_hr,t_wait_takeoff_abu_day_hr,t_wait_cruise_abu_day_hr,abu_utilization_avg_takeoff,abu_utilization_avg_cruise,abu_bottleneck_takeoff_flag,abu_bottleneck_cruise_flag,P_cc_kw_main,P_cc_kw_takeoff_abu,P_cc_kw_cruise_abu,charger_limit_indicator_flag_main,charger_limit_indicator_flag_takeoff_abu,charger_limit_indicator_flag_cruise_abu
1.000000,1.000000,5.000000,57.684584,38.111854,0.660694,0.339306,1.000000,0.800000,8.156652,6.000000,21.000000,0.325874,0.674126,0.039167,0.075380,5.000000,4.845418,12.000000,17.000000,0.000000,1.000000,0.018547,0.039167,0.380581,0.233333,0.637450,0.271436,0.276800,1.154084,20.000000,21.000000,4.900000,0.000000,0.000000,0.000000,0.337734,0.625707,0.000000,0.000000,109.250000,109.250000,109.250000,charger_limited,charger_limited,charger_limited
1.000000,1.000000,10.000000,57.684584,33.350418,0.578151,0.421849,1.000000,0.800000,8.156652,6.000000,21.000000,0.325874,0.674126,0.039167,0.075380,10.000000,9.606854,12.000000,22.000000,0.000000,1.000000,0.036772,0.039167,0.339817,0.233333,0.593867,0.271436,0.348178,1.110501,21.000000,22.000000,5.133333,0.000000,0.000000,0.000000,0.353817,0.700272,0.000000,0.000000,109.250000,109.250000,109.250000,charger_limited,charger_limited,charger_limited
1.000000,1.000000,15.000000,57.684584,28.671904,0.497046,0.502954,1.000000,0.800000,8.156652,6.000000,21.000000,0.325874,0.674126,0.039167,0.075380,15.000000,14.285368,12.000000,27.000000,0.000000,1.000000,0.054679,0.039167,0.299763,0.233333,0.551044,0.271436,0.417592,1.067677,22.000000,23.000000,5.366667,0.000000,0.000000,0.000000,0.369899,0.777401,0.000000,0.000000,109.250000,109.250000,109.250000,charger_limited,charger_limited,charger_limited
1.000000,1.000000,20.000000,57.684584,24.075250,0.417360,0.582640,1.000000,0.800000,8.156652,6.000000,21.000000,0.325874,0.674126,0.039167,0.075380,20.000000,18.882022,12.000000,32.000000,0.000000,1.000000,0.072274,0.039167,0.260411,0.233333,0.508969,0.271436,0.485428,1.025602,23.000000,24.000000,5.600000,0.000000,0.000000,0.000000,0.385982,0.857279,0.000000,0.000000,109.250000,109.250000,109.250000,charger_limited,charger_limited,charger_limited
1.000000,1.000000,25.000000,57.684584,19.559394,0.339075,0.660925,1.000000,0.800000,8.156652,6.000000,21.000000,0.325874,0.674126,0.039167,0.075380,25.000000,23.397878,12.000000,37.000000,0.000000,1.000000,0.089559,0.039167,0.221749,0.233333,0.467634,0.271436,0.551949,0.984267,24.000000,25.000000,5.833333,0.000000,0.000000,0.000000,0.402065,0.940025,0.000000,0.000000,109.250000,109.250000,109.250000,charger_limited,charger_limited,charger_limited
1.000000,1.000000,30.000000,57.684584,15.123272,0.262172,0.737828,1.000000,0.800000,8.156652,6.000000,21.000000,0.325874,0.674126,0.039167,0.075380,30.000000,27.834000,12.000000,42.000000,0.000000,1.000000,0.106539,0.039167,0.183771,0.233333,0.427029,0.271436,0.617344,0.943662,25.000000,26.000000,6.066667,0.000000,0.000000,0.078972,0.418147,1.025723,0.000000,0.000000,109.250000,109.250000,109.250000,charger_limited,charger_limited,charger_limited
1.000000,1.000000,35.000000,57.684584,10.765822,0.186633,0.813367,1.000000,0.800000,8.156652,6.000000,21.000000,0.325874,0.674126,0.039167,0.075380,35.000000,32.191450,12.000000,47.000000,0.000000,1.000000,0.123218,0.039167,0.146466,0.233333,0.367854,0.271436,0.681758,0.884488,27.000000,24.000000,5.600000,0.331522,0.000000,2.440776,0.385982,0.990608,0.000000,1.000000,109.250000,109.250000,109.250000,charger_limited,charger_limited,charger_limited
1.000000,1.000000,40.000000,57.684584,6.485985,0.112439,0.887561,1.000000,0.800000,8.156652,6.000000,21.000000,0.325874,0.674126,0.039167,0.075380,40.000000,36.471287,12.000000,52.000000,0.000000,1.000000,0.139599,0.039167,0.109826,0.233333,0.221618,0.271436,0.745302,0.738251,32.000000,23.000000,5.366667,0.516079,0.000000,6.504147,0.369899,0.990815,0.000000,1.000000,109.250000,109.250000,109.250000,charger_limited,charger_limited,charger_limited
1.000000,1.000000,45.000000,57.684584,2.462503,0.042689,0.957311,1.000000,0.800000,8.156652,6.000000,21.000000,0.325874,0.674126,0.039167,0.075380,44.801077,40.494769,12.000000,57.000000,0.003490,0.996510,0.155000,0.039167,0.075380,0.233333,0.084141,0.271436,0.806248,0.600774,39.000000,23.000000,5.366667,0.000000,0.000000,10.450443,0.369899,1.030969,0.000000,1.000000,109.250000,109.250000,109.250000,charger_limited,charger_limited,charger_limited
1.000000,1.000000,50.000000,57.684584,2.462503,0.042689,0.957311,1.000000,0.800000,8.156652,6.000000,21.000000,0.325874,0.674126,0.039167,0.075380,45.192674,40.494769,12.000000,62.000000,0.077538,0.922462,0.155000,0.039167,0.075380,0.233333,0.084141,0.271436,0.826127,0.600774,39.000000,22.000000,5.133333,0.390080,0.000000,10.392895,0.353817,1.004367,0.000000,1.000000,109.250000,109.250000,109.250000,charger_limited,charger_limited,charger_limited
