n_abu_pool,E_abu_mission_kwh_per_abu,timeline_type,abu_index,flight_index,t_hr,event
1.000000,5.000000,aircraft,,1.000000,0.000000,aircraft_depart
1.000000,5.000000,aircraft,,1.000000,0.057504,abu_detach
1.000000,5.000000,aircraft,,1.000000,0.233333,aircraft_arrive
1.000000,5.000000,aircraft,,1.000000,0.516633,aircraft_ground_ops_done
1.000000,5.000000,aircraft,,1.000000,1.256176,aircraft_charge_done
1.000000,5.000000,aircraft,,2.000000,1.256176,aircraft_depart
1.000000,5.000000,aircraft,,2.000000,1.313680,abu_detach
1.000000,5.000000,aircraft,,2.000000,1.489509,aircraft_arrive
1.000000,5.000000,aircraft,,2.000000,1.772809,aircraft_ground_ops_done
1.000000,5.000000,aircraft,,2.000000,2.512352,aircraft_charge_done
1.000000,5.000000,aircraft,,3.000000,2.512352,aircraft_depart
1.000000,5.000000,aircraft,,3.000000,2.569855,abu_detach
1.000000,5.000000,aircraft,,3.000000,2.745685,aircraft_arrive
1.000000,5.000000,aircraft,,3.000000,3.028985,aircraft_ground_ops_done
1.000000,5.000000,aircraft,,3.000000,3.768527,aircraft_charge_done
1.000000,5.000000,aircraft,,4.000000,3.768527,aircraft_depart
1.000000,5.000000,aircraft,,4.000000,3.826031,abu_detach
1.000000,5.000000,aircraft,,4.000000,4.001861,aircraft_arrive
1.000000,5.000000,aircraft,,4.000000,4.285161,aircraft_ground_ops_done
1.000000,5.000000,aircraft,,4.000000,5.024703,aircraft_charge_done
1.000000,5.000000,aircraft,,5.000000,5.024703,aircraft_depart
1.000000,5.000000,aircraft,,5.000000,5.082207,abu_detach
1.000000,5.000000,aircraft,,5.000000,5.258037,aircraft_arrive
1.000000,5.000000,aircraft,,5.000000,5.541337,aircraft_ground_ops_done
1.000000,5.000000,aircraft,,5.000000,6.280879,aircraft_charge_done
1.000000,5.000000,aircraft,,6.000000,6.280879,aircraft_depart
1.000000,5.000000,aircraft,,6.000000,6.338383,abu_detach
1.000000,5.000000,aircraft,,6.000000,6.514212,aircraft_arrive
1.000000,5.000000,aircraft,,6.000000,6.797512,aircraft_ground_ops_done
