n_abus,E_abu_mission_kwh,E_abu_total_kwh,m_abu_batt_kg,m_abu_struct_kg,m_abu_integ_kg,m_rot_hub_kg,m_abu_total_all_kg,E_cruise_attach_kwh,E_abu_used_kwh,baseline_cruise_energy_kwh,E_saved_kwh,extra_time_s,extra_range_mi
1.000000,5.000000,17.000000,103.642737,20.728547,5.182137,8.060826,137.614247,42.669800,5.000000,41.341488,3.671689,49.558018,2.066272
1.000000,10.000000,22.000000,134.125895,26.825179,6.706295,8.332005,175.989375,43.047923,10.000000,41.341488,8.293565,111.941047,4.667269
1.000000,15.000000,27.000000,164.609053,32.921811,8.230453,8.407181,214.168498,43.427451,15.000000,41.341488,12.914037,174.305107,7.267476
1.000000,20.000000,32.000000,195.092212,39.018442,9.754611,8.481785,252.347049,43.810302,20.000000,41.341488,17.531186,236.624323,9.865813
1.000000,25.000000,37.000000,225.575370,45.115074,11.278768,8.556203,290.525415,44.196480,25.000000,41.341488,22.145009,298.898645,12.462278
1.000000,30.000000,42.000000,256.058528,51.211706,12.802926,8.630439,328.703598,44.585983,30.000000,41.341488,26.755505,361.128072,15.056872
1.000000,35.000000,47.000000,286.541686,57.308337,14.327084,8.704494,366.881602,44.978812,35.000000,41.341488,31.362676,423.312605,17.649593
1.000000,40.000000,52.000000,317.024844,63.404969,15.851242,8.778372,405.059427,45.374968,40.000000,41.341488,35.966520,485.452245,20.240443
1.000000,45.000000,57.000000,347.508002,69.501600,17.375400,8.852075,443.237077,45.774450,45.000000,41.341488,40.567038,547.546991,22.829421
1.000000,50.000000,62.000000,377.991160,75.598232,18.899558,8.925604,481.414554,46.177258,46.177258,41.341488,41.341488,558.000000,23.265249
