iteration,mtow_guess_kg,new_mtow_kg,delta_kg,empty_mass_kg,battery_mass_kg,payload_mass_kg,total_energy_converged_kw_hr
0,3175.000000,2536.420355,-638.579645,1703.412939,379.007417,454.000000,62.166692
1,2536.420355,2226.363341,-310.057014,1453.323637,319.039704,454.000000,52.330488
2,2226.363341,2085.117592,-141.245749,1337.780456,293.337136,454.000000,48.114624
3,2085.117592,2022.739996,-62.377597,1286.371663,282.368333,454.000000,46.315466
4,2022.739996,1995.577503,-27.162492,1263.905825,277.671678,454.000000,45.545097
5,1995.577503,1983.822516,-11.754987,1254.167777,275.654739,454.000000,45.214269
6,1983.822516,1978.749028,-5.073488,1249.961840,274.787188,454.000000,45.071969
7,1978.749028,1976.561840,-2.187188,1248.148099,274.413742,454.000000,45.010714
8,1976.561840,1975.619413,-0.942427,1247.366480,274.252933,454.000000,44.984337
9,1975.619413,1975.213422,-0.405990,1247.029746,274.183677,454.000000,44.972978
10,1975.213422,1975.038541,-0.174881,1246.884693,274.153848,454.000000,44.968085
11,1975.038541,1974.963214,-0.075327,1246.822214,274.141000,454.000000,44.965978
12,1974.963214,1974.930768,-0.032446,1246.795302,274.135467,454.000000,44.965070
13,1974.930768,1974.916793,-0.013975,1246.783710,274.133083,454.000000,44.964679
14,1974.916793,1974.910774,-0.006019,1246.778717,274.132057,454.000000,44.964511
15,1974.910774,1974.908181,-0.002593,1246.776567,274.131614,454.000000,44.964438
16,1974.908181,1974.907064,-0.001117,1246.775640,274.131424,454.000000,44.964407
17,1974.907064,1974.906583,-0.000481,1246.775241,274.131342,454.000000,44.964393
