n_abus,E_abu_mission_kwh,E_abu_total_kwh,m_abu_batt_kg,m_abu_struct_kg,m_abu_integ_kg,m_rot_hub_kg,m_abu_total_all_kg,P_hover_attach_kw,P_cruise_attach_kw,t_divert_s,divert_distance_mi,E_divert_kwh,t_hover_s,E_hover_kwh,t_hover_descend_s,E_hover_descend_kwh,E_ops_kwh_total,t_loiter_hover_max_s,feasible,margin_kwh,note
1.000000,5.000000,6.000000,36.579790,7.315958,1.828989,20.936475,66.661213,571.246350,172.987148,143.905216,6.000000,6.914931,60.000000,9.520773,40.000000,0.882578,1.000000,0.000000,0.000000,-13.318281,Insufficient ABU mission energy
1.000000,10.000000,11.000000,67.062948,13.412590,3.353147,20.936475,104.765160,584.512304,175.955526,143.905216,6.000000,7.033588,60.000000,9.741872,40.000000,0.896189,1.000000,0.000000,0.000000,-8.671649,Insufficient ABU mission energy
1.000000,15.000000,16.000000,97.546106,19.509221,4.877305,20.936475,142.869108,597.879387,178.962056,143.905216,6.000000,7.153770,60.000000,9.964656,40.000000,0.909801,1.000000,0.000000,0.000000,-4.028228,Insufficient ABU mission energy
1.000000,20.000000,21.000000,128.029264,25.605853,6.401463,20.936475,180.973055,611.346842,182.006738,143.905216,6.000000,7.275478,60.000000,10.189114,40.000000,0.923412,1.000000,3.603823,1.000000,0.611996,feasible
1.000000,25.000000,26.000000,158.512422,31.702484,7.925621,20.936475,219.077003,624.913925,185.089572,143.905216,6.000000,7.398710,60.000000,10.415232,40.000000,0.937024,1.000000,30.238601,1.000000,5.249034,feasible
1.000000,30.000000,31.000000,188.995580,37.799116,9.449779,20.936475,257.180950,638.579910,188.210559,143.905216,6.000000,7.523467,60.000000,10.642999,40.000000,0.950636,1.000000,55.714931,1.000000,9.882899,feasible
1.000000,35.000000,36.000000,219.478738,43.895748,10.973937,20.936475,295.284898,652.344086,191.369697,143.905216,6.000000,7.649749,60.000000,10.872401,40.000000,0.964247,1.000000,80.094183,1.000000,14.513602,feasible
1.000000,40.000000,41.000000,249.961896,49.992379,12.498095,20.936475,333.388845,666.205758,194.566988,143.905216,6.000000,7.777557,60.000000,11.103429,40.000000,0.977859,1.000000,103.433747,1.000000,19.141155,feasible
1.000000,45.000000,46.000000,280.445054,56.089011,14.022253,20.936475,371.492793,680.164245,197.802430,143.905216,6.000000,7.906889,60.000000,11.336071,40.000000,0.991471,1.000000,125.787338,1.000000,23.765569,feasible
1.000000,50.000000,51.000000,310.928212,62.185642,15.546411,20.936475,409.596741,694.218880,201.076025,143.905216,6.000000,8.037747,60.000000,11.570315,40.000000,1.005082,1.000000,147.205277,1.000000,28.386856,feasible
