candidate_name,E_abu_mission_cruise_per_abu_kwh,E_pack_kwh_main,E_mission_kwh_main,dod_main,soc_start_main,soc_target,soc_cc_end,n_abus_takeoff,E_abu_used_takeoff_total_kwh,E_ops_takeoff_per_abu_kwh,E_pack_takeoff_abu_per_abu_kwh,soc_start_abu_takeoff,dod_abu_takeoff,n_abus_cruise,E_abu_used_cruise_total_kwh,E_saved_kwh_cruise,E_ops_cruise_per_abu_kwh,E_pack_cruise_abu_per_abu_kwh,soc_start_abu_cruise,dod_abu_cruise,t_charge_hr_main,t_charge_hr_takeoff_abu_per_pack,t_charge_hr_cruise_abu_per_pack,t_charge_hr_total,t_ground_ops_hr,t_flight_hr,t_cycle_hr,n_feasible_flights,t_flight_day_hr,t_downtime_day_hr,t_slack_hr,charger_ac_kw,eta_charger_dc,c_rate_max,v_pack_nom_v_main,v_pack_nom_v_abu,i_term_c,P_cc_kw_main,P_cc_kw_takeoff_abu,P_cc_kw_cruise_abu,charger_limit_indicator_flag_main,charger_limit_indicator_flag_takeoff_abu,charger_limit_indicator_flag_cruise_abu
after_accel_climb,5.000000,52.460934,38.868357,0.740901,0.259099,1.000000,0.800000,1.000000,5.765796,0.500000,10.500000,0.403258,0.596742,1.000000,5.000000,4.852019,1.000000,6.000000,0.000000,1.000000,0.626703,0.141233,0.108894,0.626703,0.283300,0.333333,1.243336,19.000000,6.333333,17.666667,0.376614,115.000000,0.950000,20.000000,800.000000,400.000000,0.050000,109.250000,109.250000,109.250000,charger_limited,charger_limited,charger_limited
after_accel_climb,10.000000,52.460934,34.180664,0.651545,0.348455,1.000000,0.800000,1.000000,5.765796,0.500000,10.500000,0.403258,0.596742,1.000000,10.000000,9.539713,1.000000,11.000000,0.000000,1.000000,0.583795,0.141233,0.187644,0.583795,0.283300,0.333333,1.200428,19.000000,6.333333,17.666667,1.191865,115.000000,0.950000,20.000000,800.000000,400.000000,0.050000,109.250000,109.250000,109.250000,charger_limited,charger_limited,charger_limited
after_accel_climb,15.000000,52.460934,29.652133,0.565223,0.434777,1.000000,0.800000,1.000000,5.765796,0.500000,10.500000,0.403258,0.596742,1.000000,15.000000,14.068243,1.000000,16.000000,0.000000,1.000000,0.542344,0.141233,0.262240,0.542344,0.283300,0.333333,1.158977,20.000000,6.666667,17.333333,0.820459,115.000000,0.950000,20.000000,800.000000,400.000000,0.050000,109.250000,109.250000,109.250000,charger_limited,charger_limited,charger_limited
after_accel_climb,20.000000,52.460934,25.277741,0.481839,0.518161,1.000000,0.800000,1.000000,5.765796,0.500000,10.500000,0.403258,0.596742,1.000000,20.000000,18.442636,1.000000,21.000000,0.000000,1.000000,0.502304,0.141233,0.334075,0.502304,0.283300,0.333333,1.118937,21.000000,7.000000,17.000000,0.502326,115.000000,0.950000,20.000000,800.000000,400.000000,0.050000,109.250000,109.250000,109.250000,charger_limited,charger_limited,charger_limited
after_accel_climb,25.000000,52.460934,21.052598,0.401300,0.598700,1.000000,0.800000,1.000000,5.765796,0.500000,10.500000,0.403258,0.596742,1.000000,25.000000,22.667778,1.000000,26.000000,0.000000,1.000000,0.463629,0.141233,0.403846,0.463629,0.283300,0.333333,1.080263,22.000000,7.333333,16.666667,0.234218,115.000000,0.950000,20.000000,800.000000,400.000000,0.050000,109.250000,109.250000,109.250000,charger_limited,charger_limited,charger_limited
after_accel_climb,30.000000,52.460934,16.971951,0.323516,0.676484,1.000000,0.800000,1.000000,5.765796,0.500000,10.500000,0.403258,0.596742,1.000000,30.000000,26.748425,1.000000,31.000000,0.000000,1.000000,0.426278,0.141233,0.471973,0.471973,0.283300,0.333333,1.088607,22.000000,7.333333,16.666667,0.050654,115.000000,0.950000,20.000000,800.000000,400.000000,0.050000,109.250000,109.250000,109.250000,charger_limited,charger_limited,charger_limited
after_accel_climb,35.000000,52.460934,13.031181,0.248398,0.751602,1.000000,0.800000,1.000000,5.765796,0.500000,10.500000,0.403258,0.596742,1.000000,35.000000,30.689196,1.000000,36.000000,0.000000,1.000000,0.390207,0.141233,0.538740,0.538740,0.283300,0.333333,1.155373,20.000000,6.666667,17.333333,0.892531,115.000000,0.950000,20.000000,800.000000,400.000000,0.050000,109.250000,109.250000,109.250000,charger_limited,charger_limited,charger_limited
after_accel_climb,40.000000,52.460934,9.225799,0.175860,0.824140,1.000000,0.800000,1.000000,5.765796,0.500000,10.500000,0.403258,0.596742,1.000000,40.000000,34.494577,1.000000,41.000000,0.000000,1.000000,0.322674,0.141233,0.604348,0.604348,0.283300,0.333333,1.220981,19.000000,6.333333,17.666667,0.801359,115.000000,0.950000,20.000000,800.000000,400.000000,0.050000,109.250000,109.250000,109.250000,charger_limited,charger_limited,charger_limited
after_accel_climb,45.000000,52.460934,5.551450,0.105821,0.894179,1.000000,0.800000,1.000000,5.765796,0.500000,10.500000,0.403258,0.596742,1.000000,45.000000,38.168927,1.000000,46.000000,0.000000,1.000000,0.194163,0.141233,0.668948,0.668948,0.283300,0.333333,1.285581,18.000000,6.000000,18.000000,0.859538,115.000000,0.950000,20.000000,800.000000,400.000000,0.050000,109.250000,109.250000,109.250000,charger_limited,charger_limited,charger_limited
after_accel_climb,50.000000,52.460934,2.003904,0.038198,0.961802,1.000000,0.800000,1.000000,5.765796,0.500000,10.500000,0.403258,0.596742,1.000000,50.000000,41.716473,1.000000,51.000000,0.000000,1.000000,0.070087,0.141233,0.732658,0.732658,0.283300,0.333333,1.349292,17.000000,5.666667,18.333333,1.062040,115.000000,0.950000,20.000000,800.000000,400.000000,0.050000,109.250000,109.250000,109.250000,charger_limited,charger_limited,charger_limited
