n_abu_pool,E_abu_mission_kwh_per_abu,E_abu_total_kwh_per_abu,E_abu_used_kwh_total,E_saved_kwh,E_mission_kwh_main,E_pack_kwh_main,E_pack_kwh_abu,dod_main,dod_abu,soc_start_main,soc_start_abu,soc_target,t_flight_hr,t_attached_hr,t_return_cruise_abu_hr,t_charge_hr_main,t_charge_hr_abu,t_cycle_nominal_hr,n_flights_nominal_no_abu_limit,n_flights_completed,t_flight_day_hr,t_slack_hr,t_wait_abu_day_hr,abu_utilization_avg,abu_bottleneck_flag,P_cc_kw_main,P_cc_kw_abu,charger_limit_indicator_flag_main,charger_limit_indicator_flag_abu
1.000000,5.000000,17.000000,5.000000,4.675136,46.161681,60.800978,17.000000,0.759226,1.000000,0.240774,0.000000,1.000000,0.333333,0.028121,0.582832,0.721310,0.276800,1.337943,17.000000,18.000000,6.000000,0.000000,0.000000,0.695190,0.000000,109.250000,109.250000,charger_limited,charger_limited
1.000000,10.000000,22.000000,10.000000,9.190046,41.646771,60.800978,22.000000,0.684969,1.000000,0.315031,0.000000,1.000000,0.333333,0.055279,0.522090,0.679984,0.348178,1.296617,18.000000,19.000000,6.333333,0.000000,0.000000,0.763731,0.000000,109.250000,109.250000,charger_limited,charger_limited
1.000000,15.000000,27.000000,15.000000,13.554368,37.282450,60.800978,27.000000,0.613188,1.000000,0.386812,0.000000,1.000000,0.333333,0.081530,0.463374,0.640036,0.417592,1.256669,19.000000,19.000000,6.333333,0.123289,0.000000,0.792983,0.000000,109.250000,109.250000,charger_limited,charger_limited
1.000000,20.000000,32.000000,20.000000,17.771405,33.065413,60.800978,32.000000,0.543830,1.000000,0.456170,0.000000,1.000000,0.333333,0.106896,0.406639,0.601436,0.485428,1.218069,19.000000,20.000000,6.666667,0.000000,0.000000,0.865108,0.000000,109.250000,109.250000,charger_limited,charger_limited
1.000000,25.000000,37.000000,25.000000,21.845826,28.990992,60.800978,37.000000,0.476818,1.000000,0.523182,0.000000,1.000000,0.333333,0.131404,0.351823,0.564141,0.551949,1.180775,20.000000,21.000000,7.000000,0.000000,0.000000,0.940050,0.000000,109.250000,109.250000,charger_limited,charger_limited
1.000000,30.000000,42.000000,30.000000,25.782184,25.054634,60.800978,42.000000,0.412076,1.000000,0.587924,0.000000,1.000000,0.333333,0.155081,0.298865,0.528111,0.617344,1.144744,20.000000,21.000000,7.000000,0.000000,0.000000,0.971650,0.000000,109.250000,109.250000,charger_limited,charger_limited
1.000000,35.000000,47.000000,35.000000,29.584899,21.251919,60.800978,47.000000,0.349533,1.000000,0.650467,0.000000,1.000000,0.333333,0.177955,0.247704,0.493303,0.681758,1.109936,21.000000,21.000000,7.000000,0.000000,0.732944,1.003261,0.000000,109.250000,109.250000,charger_limited,charger_limited
1.000000,40.000000,52.000000,40.000000,33.258264,17.578554,60.800978,52.000000,0.289116,1.000000,0.710884,0.000000,1.000000,0.333333,0.200050,0.198284,0.459680,0.745302,1.076313,22.000000,21.000000,7.000000,0.000000,2.129810,1.034953,1.000000,109.250000,109.250000,charger_limited,charger_limited
1.000000,45.000000,57.000000,45.000000,36.806440,14.030378,60.800978,57.000000,0.230759,1.000000,0.769241,0.000000,1.000000,0.333333,0.221393,0.150548,0.427202,0.808068,1.043835,22.000000,20.000000,6.666667,0.000000,3.331472,1.015980,1.000000,109.250000,109.250000,charger_limited,charger_limited
1.000000,50.000000,62.000000,50.000000,40.233466,10.603352,60.800978,62.000000,0.174394,1.000000,0.825606,0.000000,1.000000,0.333333,0.242006,0.104442,0.357582,0.870130,0.974215,24.000000,19.000000,6.333333,0.422367,5.067550,0.994132,1.000000,109.250000,109.250000,charger_limited,charger_limited
2.000000,5.000000,17.000000,5.000000,4.675136,46.161681,60.800978,17.000000,0.759226,1.000000,0.240774,0.000000,1.000000,0.333333,0.028121,0.582832,0.721310,0.276800,1.337943,17.000000,18.000000,6.000000,0.000000,0.000000,0.347595,0.000000,109.250000,109.250000,charger_limited,charger_limited
2.000000,10.000000,22.000000,10.000000,9.190046,41.646771,60.800978,22.000000,0.684969,1.000000,0.315031,0.000000,1.000000,0.333333,0.055279,0.522090,0.679984,0.348178,1.296617,18.000000,19.000000,6.333333,0.000000,0.000000,0.381866,0.000000,109.250000,109.250000,charger_limited,charger_limited
2.000000,15.000000,27.000000,15.000000,13.554368,37.282450,60.800978,27.000000,0.613188,1.000000,0.386812,0.000000,1.000000,0.333333,0.081530,0.463374,0.640036,0.417592,1.256669,19.000000,19.000000,6.333333,0.123289,0.000000,0.396491,0.000000,109.250000,109.250000,charger_limited,charger_limited
2.000000,20.000000,32.000000,20.000000,17.771405,33.065413,60.800978,32.000000,0.543830,1.000000,0.456170,0.000000,1.000000,0.333333,0.106896,0.406639,0.601436,0.485428,1.218069,19.000000,20.000000,6.666667,0.000000,0.000000,0.432554,0.000000,109.250000,109.250000,charger_limited,charger_limited
2.000000,25.000000,37.000000,25.000000,21.845826,28.990992,60.800978,37.000000,0.476818,1.000000,0.523182,0.000000,1.000000,0.333333,0.131404,0.351823,0.564141,0.551949,1.180775,20.000000,21.000000,7.000000,0.000000,0.000000,0.470025,0.000000,109.250000,109.250000,charger_limited,charger_limited
2.000000,30.000000,42.000000,30.000000,25.782184,25.054634,60.800978,42.000000,0.412076,1.000000,0.587924,0.000000,1.000000,0.333333,0.155081,0.298865,0.528111,0.617344,1.144744,20.000000,21.000000,7.000000,0.000000,0.000000,0.485825,0.000000,109.250000,109.250000,charger_limited,charger_limited
