n_abus,E_abu_mission_kwh,E_abu_total_kwh,m_abu_batt_kg,m_abu_struct_kg,m_abu_integ_kg,m_rot_hub_kg,m_abu_total_all_kg,E_cruise_attach_kwh,E_abu_used_kwh,baseline_cruise_energy_kwh,E_saved_kwh,extra_time_s,extra_range_mi
1.000000,5.000000,17.000000,103.642737,20.728547,5.182137,20.936475,150.489897,45.789825,5.000000,42.810893,2.021068,43.338055,1.806937
1.000000,10.000000,22.000000,134.125895,26.825179,6.706295,21.952333,189.609702,46.589048,10.000000,42.810893,6.221845,133.415896,5.562642
1.000000,15.000000,27.000000,164.609053,32.921811,8.230453,22.214228,227.975545,47.382828,15.000000,42.810893,10.428065,223.610466,9.323213
1.000000,20.000000,32.000000,195.092212,39.018442,9.754611,22.470235,266.335500,48.186347,20.000000,42.810893,14.624546,313.596204,13.075078
1.000000,25.000000,37.000000,225.575370,45.115074,11.278768,22.725385,304.694597,48.999707,25.000000,42.810893,18.811186,403.370906,16.818144
1.000000,30.000000,42.000000,256.058528,51.211706,12.802926,22.979726,343.052885,49.822910,30.000000,42.810893,22.987984,492.934564,20.552411
1.000000,35.000000,47.000000,286.541686,57.308337,14.327084,23.233272,381.410379,50.655954,35.000000,42.810893,27.154940,582.287184,24.277878
1.000000,40.000000,52.000000,317.024844,63.404969,15.851242,23.486036,419.767091,51.498839,40.000000,42.810893,31.312054,671.428773,27.994547
1.000000,45.000000,57.000000,347.508002,69.501600,17.375400,23.738033,458.123035,52.351566,45.000000,42.810893,35.459327,760.359338,31.702418
1.000000,50.000000,62.000000,377.991160,75.598232,18.899558,23.989275,496.478224,53.214133,50.000000,42.810893,39.596760,849.078885,35.401490
