iteration,mtow_guess_kg,new_mtow_kg,delta_kg,empty_mass_kg,battery_mass_kg,payload_mass_kg,total_energy_converged_kw_hr
0,2404.000000,2418.687781,14.687781,1591.091189,373.596592,454.000000,61.279181
1,2418.687781,2428.934142,10.246361,1598.659695,376.274447,454.000000,61.718416
2,2428.934142,2436.099169,7.165027,1603.948938,378.150231,454.000000,62.026092
3,2436.099169,2441.117820,5.018651,1607.652149,379.465671,454.000000,62.241857
4,2441.117820,2444.637149,3.519329,1610.248257,380.388892,454.000000,62.393288
5,2444.637149,2447.107084,2.469935,1612.069879,381.037205,454.000000,62.499628
6,2447.107084,2448.841519,1.734436,1613.348872,381.492648,454.000000,62.574332
7,2448.841519,2450.059960,1.218441,1614.247272,381.812688,454.000000,62.626826
8,2450.059960,2450.916154,0.856194,1614.878530,382.037624,454.000000,62.663721
9,2450.916154,2451.517918,0.601763,1615.322178,382.195739,454.000000,62.689656
10,2451.517918,2451.940917,0.422999,1615.634022,382.306895,454.000000,62.707888
11,2451.940917,2452.238286,0.297369,1615.853243,382.385043,454.000000,62.720707
12,2452.238286,2452.447350,0.209065,1616.007363,382.439987,454.000000,62.729719
13,2452.447350,2452.594340,0.146990,1616.115721,382.478619,454.000000,62.736055
14,2452.594340,2452.697689,0.103349,1616.191908,382.505782,454.000000,62.740511
15,2452.697689,2452.770357,0.072667,1616.245476,382.524881,454.000000,62.743644
16,2452.770357,2452.821452,0.051095,1616.283141,382.538310,454.000000,62.745846
17,2452.821452,2452.857379,0.035927,1616.309626,382.547753,454.000000,62.747395
18,2452.857379,2452.882641,0.025262,1616.328248,382.554393,454.000000,62.748484
19,2452.882641,2452.900404,0.017763,1616.341342,382.559062,454.000000,62.749250
20,2452.900404,2452.912894,0.012490,1616.350549,382.562345,454.000000,62.749789
21,2452.912894,2452.921677,0.008783,1616.357024,382.564653,454.000000,62.750167
22,2452.921677,2452.927852,0.006176,1616.361576,382.566276,454.000000,62.750433
23,2452.927852,2452.932195,0.004342,1616.364777,382.567418,454.000000,62.750621
24,2452.932195,2452.935248,0.003053,1616.367028,382.568220,454.000000,62.750752
25,2452.935248,2452.937395,0.002147,1616.368611,382.568785,454.000000,62.750845
26,2452.937395,2452.938905,0.001510,1616.369724,382.569181,454.000000,62.750910
27,2452.938905,2452.939967,0.001062,1616.370506,382.569460,454.000000,62.750956
28,2452.939967,2452.940713,0.000746,1616.371056,382.569657,454.000000,62.750988
