n_abu_pool,candidate_name,timeline_type,abu_index,flight_index,t_hr,event
1.000000,after_accel_climb,aircraft,,1.000000,0.000000,aircraft_depart
1.000000,after_accel_climb,aircraft,,1.000000,0.443611,aircraft_arrive
1.000000,after_accel_climb,aircraft,,1.000000,0.726911,aircraft_ground_ops_done
1.000000,after_accel_climb,aircraft,,1.000000,1.602633,aircraft_charge_done
1.000000,after_accel_climb,aircraft,,2.000000,1.602633,aircraft_depart
1.000000,after_accel_climb,aircraft,,2.000000,2.046244,aircraft_arrive
1.000000,after_accel_climb,aircraft,,2.000000,2.329544,aircraft_ground_ops_done
1.000000,after_accel_climb,aircraft,,2.000000,3.205265,aircraft_charge_done
1.000000,after_accel_climb,aircraft,,3.000000,3.205265,aircraft_depart
1.000000,after_accel_climb,aircraft,,3.000000,3.648876,aircraft_arrive
1.000000,after_accel_climb,aircraft,,3.000000,3.932176,aircraft_ground_ops_done
1.000000,after_accel_climb,aircraft,,3.000000,4.807898,aircraft_charge_done
1.000000,after_accel_climb,aircraft,,4.000000,4.807898,aircraft_depart
1.000000,after_accel_climb,aircraft,,4.000000,5.251509,aircraft_arrive
1.000000,after_accel_climb,aircraft,,4.000000,5.534809,aircraft_ground_ops_done
1.000000,after_accel_climb,aircraft,,4.000000,6.410531,aircraft_charge_done
1.000000,after_accel_climb,aircraft,,5.000000,6.410531,aircraft_depart
1.000000,after_accel_climb,aircraft,,5.000000,6.854142,aircraft_arrive
1.000000,after_accel_climb,aircraft,,5.000000,7.137442,aircraft_ground_ops_done
1.000000,after_accel_climb,aircraft,,5.000000,8.013163,aircraft_charge_done
1.000000,after_accel_climb,aircraft,,6.000000,8.013163,aircraft_depart
1.000000,after_accel_climb,aircraft,,6.000000,8.456774,aircraft_arrive
1.000000,after_accel_climb,aircraft,,6.000000,8.740074,aircraft_ground_ops_done
1.000000,after_accel_climb,aircraft,,6.000000,9.615796,aircraft_charge_done
1.000000,after_accel_climb,aircraft,,7.000000,9.615796,aircraft_depart
1.000000,after_accel_climb,aircraft,,7.000000,10.059407,aircraft_arrive
1.000000,after_accel_climb,aircraft,,7.000000,10.342707,aircraft_ground_ops_done
1.000000,after_accel_climb,aircraft,,7.000000,11.218429,aircraft_charge_done
1.000000,after_accel_climb,aircraft,,8.000000,11.218429,aircraft_depart
1.000000,after_accel_climb,aircraft,,8.000000,11.662040,aircraft_arrive
1.000000,after_accel_climb,aircraft,,8.000000,11.945340,aircraft_ground_ops_done
1.000000,after_accel_climb,aircraft,,8.000000,12.821061,aircraft_charge_done
1.000000,after_accel_climb,aircraft,,9.000000,12.821061,aircraft_depart
1.000000,after_accel_climb,aircraft,,9.000000,13.264672,aircraft_arrive
1.000000,after_accel_climb,aircraft,,9.000000,13.547972,aircraft_ground_ops_done
1.000000,after_accel_climb,aircraft,,9.000000,14.423694,aircraft_charge_done
1.000000,after_accel_climb,aircraft,,10.000000,14.423694,aircraft_depart
1.000000,after_accel_climb,aircraft,,10.000000,14.867305,aircraft_arrive
1.000000,after_accel_climb,aircraft,,10.000000,15.150605,aircraft_ground_ops_done
1.000000,after_accel_climb,aircraft,,10.000000,16.026327,aircraft_charge_done
1.000000,after_accel_climb,aircraft,,11.000000,16.026327,aircraft_depart
1.000000,after_accel_climb,aircraft,,11.000000,16.469938,aircraft_arrive
1.000000,after_accel_climb,aircraft,,11.000000,16.753238,aircraft_ground_ops_done
1.000000,after_accel_climb,aircraft,,11.000000,17.628959,aircraft_charge_done
1.000000,after_accel_climb,aircraft,,12.000000,17.628959,aircraft_depart
1.000000,after_accel_climb,aircraft,,12.000000,18.072570,aircraft_arrive
1.000000,after_accel_climb,aircraft,,12.000000,18.355870,aircraft_ground_ops_done
1.000000,after_accel_climb,aircraft,,12.000000,19.231592,aircraft_charge_done
1.000000,after_accel_climb,aircraft,,13.000000,19.231592,aircraft_depart
1.000000,after_accel_climb,aircraft,,13.000000,19.675203,aircraft_arrive
1.000000,after_accel_climb,aircraft,,13.000000,19.958503,aircraft_ground_ops_done
1.000000,after_accel_climb,aircraft,,13.000000,20.834225,aircraft_charge_done
1.000000,after_accel_climb,aircraft,,14.000000,20.834225,aircraft_depart
1.000000,after_accel_climb,aircraft,,14.000000,21.277836,aircraft_arrive
1.000000,after_accel_climb,aircraft,,14.000000,21.561136,aircraft_ground_ops_done
1.000000,after_accel_climb,aircraft,,14.000000,22.436857,aircraft_charge_done
1.000000,after_accel_climb,aircraft,,15.000000,22.436857,aircraft_depart
1.000000,after_accel_climb,aircraft,,15.000000,22.880468,aircraft_arrive
1.000000,after_accel_climb,aircraft,,15.000000,23.163768,aircraft_ground_ops_done
1.000000,after_accel_climb,aircraft,,15.000000,24.039490,aircraft_charge_done
1.000000,after_accel_climb,abu,1.000000,1.000000,0.000000,abu_attach
1.000000,after_accel_climb,abu,1.000000,1.000000,0.039167,abu_detach
1.000000,after_accel_climb,abu,1.000000,1.000000,0.114546,abu_return_done
1.000000,after_accel_climb,abu,1.000000,1.000000,0.114546,abu_charge_start
1.000000,after_accel_climb,abu,1.000000,1.000000,0.374828,abu_charge_done
1.000000,after_accel_climb,abu,1.000000,2.000000,1.602633,abu_attach
1.000000,after_accel_climb,abu,1.000000,2.000000,1.641799,abu_detach
1.000000,after_accel_climb,abu,1.000000,2.000000,1.717179,abu_return_done
1.000000,after_accel_climb,abu,1.000000,2.000000,1.717179,abu_charge_start
1.000000,after_accel_climb,abu,1.000000,2.000000,1.977460,abu_charge_done
1.000000,after_accel_climb,abu,1.000000,3.000000,3.205265,abu_attach
1.000000,after_accel_climb,abu,1.000000,3.000000,3.244432,abu_detach
1.000000,after_accel_climb,abu,1.000000,3.000000,3.319812,abu_return_done
1.000000,after_accel_climb,abu,1.000000,3.000000,3.319812,abu_charge_start
1.000000,after_accel_climb,abu,1.000000,3.000000,3.580093,abu_charge_done
1.000000,after_accel_climb,abu,1.000000,4.000000,4.807898,abu_attach
1.000000,after_accel_climb,abu,1.000000,4.000000,4.847065,abu_detach
1.000000,after_accel_climb,abu,1.000000,4.000000,4.922444,abu_return_done
1.000000,after_accel_climb,abu,1.000000,4.000000,4.922444,abu_charge_start
1.000000,after_accel_climb,abu,1.000000,4.000000,5.182726,abu_charge_done
1.000000,after_accel_climb,abu,1.000000,5.000000,6.410531,abu_attach
1.000000,after_accel_climb,abu,1.000000,5.000000,6.449697,abu_detach
1.000000,after_accel_climb,abu,1.000000,5.000000,6.525077,abu_return_done
1.000000,after_accel_climb,abu,1.000000,5.000000,6.525077,abu_charge_start
1.000000,after_accel_climb,abu,1.000000,5.000000,6.785358,abu_charge_done
1.000000,after_accel_climb,abu,1.000000,6.000000,8.013163,abu_attach
1.000000,after_accel_climb,abu,1.000000,6.000000,8.052330,abu_detach
1.000000,after_accel_climb,abu,1.000000,6.000000,8.127710,abu_return_done
1.000000,after_accel_climb,abu,1.000000,6.000000,8.127710,abu_charge_start
1.000000,after_accel_climb,abu,1.000000,6.000000,8.387991,abu_charge_done
1.000000,after_accel_climb,abu,1.000000,7.000000,9.615796,abu_attach
1.000000,after_accel_climb,abu,1.000000,7.000000,9.654963,abu_detach
1.000000,after_accel_climb,abu,1.000000,7.000000,9.730342,abu_return_done
1.000000,after_accel_climb,abu,1.000000,7.000000,9.730342,abu_charge_start
