n_takeoff_abu_pool,n_cruise_abu_pool,E_abu_mission_cruise_per_abu_kwh,timeline_type,abu_index,flight_index,t_hr,event
1.000000,1.000000,5.000000,aircraft,,1.000000,0.000000,aircraft_depart
1.000000,1.000000,5.000000,aircraft,,1.000000,0.433333,aircraft_arrive
1.000000,1.000000,5.000000,aircraft,,1.000000,0.716633,aircraft_ground_ops_done
1.000000,1.000000,5.000000,aircraft,,1.000000,1.549575,aircraft_charge_done
1.000000,1.000000,5.000000,aircraft,,2.000000,1.549575,aircraft_depart
1.000000,1.000000,5.000000,aircraft,,2.000000,1.982908,aircraft_arrive
1.000000,1.000000,5.000000,aircraft,,2.000000,2.266208,aircraft_ground_ops_done
1.000000,1.000000,5.000000,aircraft,,2.000000,3.099149,aircraft_charge_done
1.000000,1.000000,5.000000,aircraft,,3.000000,3.099149,aircraft_depart
1.000000,1.000000,5.000000,aircraft,,3.000000,3.532483,aircraft_arrive
1.000000,1.000000,5.000000,aircraft,,3.000000,3.815783,aircraft_ground_ops_done
1.000000,1.000000,5.000000,aircraft,,3.000000,4.648724,aircraft_charge_done
1.000000,1.000000,5.000000,aircraft,,4.000000,4.648724,aircraft_depart
1.000000,1.000000,5.000000,aircraft,,4.000000,5.082057,aircraft_arrive
1.000000,1.000000,5.000000,aircraft,,4.000000,5.365357,aircraft_ground_ops_done
1.000000,1.000000,5.000000,aircraft,,4.000000,6.198298,aircraft_charge_done
1.000000,1.000000,5.000000,aircraft,,5.000000,6.198298,aircraft_depart
1.000000,1.000000,5.000000,aircraft,,5.000000,6.631632,aircraft_arrive
1.000000,1.000000,5.000000,aircraft,,5.000000,6.914932,aircraft_ground_ops_done
1.000000,1.000000,5.000000,aircraft,,5.000000,7.747873,aircraft_charge_done
1.000000,1.000000,5.000000,aircraft,,6.000000,7.747873,aircraft_depart
1.000000,1.000000,5.000000,aircraft,,6.000000,8.181206,aircraft_arrive
1.000000,1.000000,5.000000,aircraft,,6.000000,8.464506,aircraft_ground_ops_done
1.000000,1.000000,5.000000,aircraft,,6.000000,9.297448,aircraft_charge_done
1.000000,1.000000,5.000000,aircraft,,7.000000,9.297448,aircraft_depart
1.000000,1.000000,5.000000,aircraft,,7.000000,9.730781,aircraft_arrive
1.000000,1.000000,5.000000,aircraft,,7.000000,10.014081,aircraft_ground_ops_done
1.000000,1.000000,5.000000,aircraft,,7.000000,10.847022,aircraft_charge_done
1.000000,1.000000,5.000000,aircraft,,8.000000,10.847022,aircraft_depart
1.000000,1.000000,5.000000,aircraft,,8.000000,11.280356,aircraft_arrive
1.000000,1.000000,5.000000,aircraft,,8.000000,11.563656,aircraft_ground_ops_done
1.000000,1.000000,5.000000,aircraft,,8.000000,12.396597,aircraft_charge_done
1.000000,1.000000,5.000000,aircraft,,9.000000,12.396597,aircraft_depart
1.000000,1.000000,5.000000,aircraft,,9.000000,12.829930,aircraft_arrive
1.000000,1.000000,5.000000,aircraft,,9.000000,13.113230,aircraft_ground_ops_done
1.000000,1.000000,5.000000,aircraft,,9.000000,13.946171,aircraft_charge_done
1.000000,1.000000,5.000000,aircraft,,10.000000,13.946171,aircraft_depart
1.000000,1.000000,5.000000,aircraft,,10.000000,14.379505,aircraft_arrive
1.000000,1.000000,5.000000,aircraft,,10.000000,14.662805,aircraft_ground_ops_done
1.000000,1.000000,5.000000,aircraft,,10.000000,15.495746,aircraft_charge_done
1.000000,1.000000,5.000000,aircraft,,11.000000,15.495746,aircraft_depart
1.000000,1.000000,5.000000,aircraft,,11.000000,15.929079,aircraft_arrive
1.000000,1.000000,5.000000,aircraft,,11.000000,16.212379,aircraft_ground_ops_done
