n_abu_pool,E_abu_mission_kwh_per_abu,timeline_type,abu_index,flight_index,t_hr,event
1.000000,5.000000,aircraft,,1.000000,0.000000,aircraft_depart
1.000000,5.000000,aircraft,,1.000000,0.067288,abu_detach
1.000000,5.000000,aircraft,,1.000000,0.433333,aircraft_arrive
1.000000,5.000000,aircraft,,1.000000,0.716633,aircraft_ground_ops_done
1.000000,5.000000,aircraft,,1.000000,1.640412,aircraft_charge_done
1.000000,5.000000,aircraft,,2.000000,1.640412,aircraft_depart
1.000000,5.000000,aircraft,,2.000000,1.707700,abu_detach
1.000000,5.000000,aircraft,,2.000000,2.073745,aircraft_arrive
1.000000,5.000000,aircraft,,2.000000,2.357045,aircraft_ground_ops_done
1.000000,5.000000,aircraft,,2.000000,3.280824,aircraft_charge_done
1.000000,5.000000,aircraft,,3.000000,3.280824,aircraft_depart
1.000000,5.000000,aircraft,,3.000000,3.348112,abu_detach
1.000000,5.000000,aircraft,,3.000000,3.714158,aircraft_arrive
1.000000,5.000000,aircraft,,3.000000,3.997458,aircraft_ground_ops_done
1.000000,5.000000,aircraft,,3.000000,4.921236,aircraft_charge_done
1.000000,5.000000,aircraft,,4.000000,4.921236,aircraft_depart
1.000000,5.000000,aircraft,,4.000000,4.988524,abu_detach
1.000000,5.000000,aircraft,,4.000000,5.354570,aircraft_arrive
1.000000,5.000000,aircraft,,4.000000,5.637870,aircraft_ground_ops_done
1.000000,5.000000,aircraft,,4.000000,6.561648,aircraft_charge_done
1.000000,5.000000,aircraft,,5.000000,6.561648,aircraft_depart
1.000000,5.000000,aircraft,,5.000000,6.628936,abu_detach
1.000000,5.000000,aircraft,,5.000000,6.994982,aircraft_arrive
1.000000,5.000000,aircraft,,5.000000,7.278282,aircraft_ground_ops_done
1.000000,5.000000,aircraft,,5.000000,8.202061,aircraft_charge_done
1.000000,5.000000,aircraft,,6.000000,8.202061,aircraft_depart
1.000000,5.000000,aircraft,,6.000000,8.269348,abu_detach
1.000000,5.000000,aircraft,,6.000000,8.635394,aircraft_arrive
1.000000,5.000000,aircraft,,6.000000,8.918694,aircraft_ground_ops_done
1.000000,5.000000,aircraft,,6.000000,9.842473,aircraft_charge_done
1.000000,5.000000,aircraft,,7.000000,9.842473,aircraft_depart
1.000000,5.000000,aircraft,,7.000000,9.909761,abu_detach
1.000000,5.000000,aircraft,,7.000000,10.275806,aircraft_arrive
1.000000,5.000000,aircraft,,7.000000,10.559106,aircraft_ground_ops_done
1.000000,5.000000,aircraft,,7.000000,11.482885,aircraft_charge_done
1.000000,5.000000,aircraft,,8.000000,11.482885,aircraft_depart
1.000000,5.000000,aircraft,,8.000000,11.550173,abu_detach
1.000000,5.000000,aircraft,,8.000000,11.916218,aircraft_arrive
1.000000,5.000000,aircraft,,8.000000,12.199518,aircraft_ground_ops_done
1.000000,5.000000,aircraft,,8.000000,13.123297,aircraft_charge_done
1.000000,5.000000,aircraft,,9.000000,13.123297,aircraft_depart
1.000000,5.000000,aircraft,,9.000000,13.190585,abu_detach
1.000000,5.000000,aircraft,,9.000000,13.556630,aircraft_arrive
1.000000,5.000000,aircraft,,9.000000,13.839930,aircraft_ground_ops_done
1.000000,5.000000,aircraft,,9.000000,14.763709,aircraft_charge_done
1.000000,5.000000,aircraft,,10.000000,14.763709,aircraft_depart
1.000000,5.000000,aircraft,,10.000000,14.830997,abu_detach
1.000000,5.000000,aircraft,,10.000000,15.197042,aircraft_arrive
1.000000,5.000000,aircraft,,10.000000,15.480342,aircraft_ground_ops_done
1.000000,5.000000,aircraft,,10.000000,16.404121,aircraft_charge_done
1.000000,5.000000,aircraft,,11.000000,16.404121,aircraft_depart
1.000000,5.000000,aircraft,,11.000000,16.471409,abu_detach
1.000000,5.000000,aircraft,,11.000000,16.837455,aircraft_arrive
1.000000,5.000000,aircraft,,11.000000,17.120755,aircraft_ground_ops_done
1.000000,5.000000,aircraft,,11.000000,18.044533,aircraft_charge_done
1.000000,5.000000,aircraft,,12.000000,18.044533,aircraft_depart
1.000000,5.000000,aircraft,,12.000000,18.111821,abu_detach
1.000000,5.000000,aircraft,,12.000000,18.477867,aircraft_arrive
1.000000,5.000000,aircraft,,12.000000,18.761167,aircraft_ground_ops_done
1.000000,5.000000,aircraft,,12.000000,19.684945,aircraft_charge_done
1.000000,5.000000,aircraft,,13.000000,19.684945,aircraft_depart
1.000000,5.000000,aircraft,,13.000000,19.752233,abu_detach
1.000000,5.000000,aircraft,,13.000000,20.118279,aircraft_arrive
1.000000,5.000000,aircraft,,13.000000,20.401579,aircraft_ground_ops_done
1.000000,5.000000,aircraft,,13.000000,21.325358,aircraft_charge_done
1.000000,5.000000,aircraft,,14.000000,21.325358,aircraft_depart
1.000000,5.000000,aircraft,,14.000000,21.392645,abu_detach
1.000000,5.000000,aircraft,,14.000000,21.758691,aircraft_arrive
1.000000,5.000000,aircraft,,14.000000,22.041991,aircraft_ground_ops_done
