n_abus,E_abu_mission_kwh,E_abu_total_kwh,m_abu_batt_kg,m_abu_struct_kg,m_abu_integ_kg,m_rot_hub_kg,m_abu_total_all_kg,P_cruise_attach_kw,P_cruise_post_kw,baseline_cruise_energy_kwh,E_cruise_attach_kwh,E_abu_used_kwh,E_saved_kwh,t_attached_until_depletion_s,t_attached_effective_s,extra_time_s,total_extended_time_s,range_attached_mi,extra_range_mi,total_extended_range_mi,overcapacity,full_coverage_flag
1.000000,5.000000,17.000000,103.642737,20.728547,5.182137,20.936475,150.489897,179.567940,167.885856,59.599479,5.000000,5.000000,4.674717,100.240611,100.240611,100.240611,200.481221,4.179431,4.179431,8.358863,0.000000,0.000000
1.000000,10.000000,22.000000,134.125895,26.825179,6.706295,21.952333,189.609702,182.702150,167.885856,59.599479,10.000000,10.000000,9.189047,197.042016,197.042016,197.042016,394.084032,8.215469,8.215469,16.430937,0.000000,0.000000
1.000000,15.000000,27.000000,164.609053,32.921811,8.230453,22.214228,227.975545,185.815012,167.885856,59.599479,15.000000,15.000000,13.552661,290.611611,290.611611,290.611611,581.223221,12.116759,12.116759,24.233518,0.000000,0.000000
1.000000,20.000000,32.000000,195.092212,39.018442,9.754611,22.470235,266.335500,188.966066,167.885856,59.599479,20.000000,20.000000,17.768889,381.020791,381.020791,381.020791,762.041583,15.886279,15.886279,31.772557,0.000000,0.000000
1.000000,25.000000,37.000000,225.575370,45.115074,11.278768,22.725385,304.694597,192.155715,167.885856,59.599479,25.000000,25.000000,21.842423,468.370146,468.370146,468.370146,936.740291,19.528222,19.528222,39.056444,0.000000,0.000000
1.000000,30.000000,42.000000,256.058528,51.211706,12.802926,22.979726,343.052885,195.383959,167.885856,59.599479,30.000000,30.000000,25.777836,552.757762,552.757762,552.757762,1105.515523,23.046679,23.046679,46.093358,0.000000,0.000000
1.000000,35.000000,47.000000,286.541686,57.308337,14.327084,23.233272,381.410379,198.650799,167.885856,59.599479,35.000000,35.000000,29.579569,634.278848,634.278848,634.278848,1268.557696,26.445619,26.445619,52.891237,0.000000,0.000000
1.000000,40.000000,52.000000,317.024844,63.404969,15.851242,23.486036,419.767091,201.956233,167.885856,59.599479,40.000000,40.000000,33.251929,713.025779,713.025779,713.025779,1426.051557,29.728893,29.728893,59.457785,0.000000,0.000000
1.000000,45.000000,57.000000,347.508002,69.501600,17.375400,23.738033,458.123035,205.300259,167.885856,59.599479,45.000000,45.000000,36.799094,789.088143,789.088143,789.088143,1578.176287,32.900236,32.900236,65.800473,0.000000,0.000000
1.000000,50.000000,62.000000,377.991160,75.598232,18.899558,23.989275,496.478224,208.682876,167.885856,59.599479,50.000000,50.000000,40.225115,862.552804,862.552804,862.552804,1725.105607,35.963272,35.963272,71.926543,0.000000,0.000000
