n_abu_pool,candidate_name,timeline_type,abu_index,flight_index,t_hr,event
1.000000,after_accel_climb,aircraft,,1.000000,0.000000,aircraft_depart
1.000000,after_accel_climb,aircraft,,1.000000,0.243611,aircraft_arrive
1.000000,after_accel_climb,aircraft,,1.000000,0.526911,aircraft_ground_ops_done
1.000000,after_accel_climb,aircraft,,1.000000,1.270714,aircraft_charge_done
1.000000,after_accel_climb,aircraft,,2.000000,1.270714,aircraft_depart
1.000000,after_accel_climb,aircraft,,2.000000,1.514325,aircraft_arrive
1.000000,after_accel_climb,aircraft,,2.000000,1.797625,aircraft_ground_ops_done
1.000000,after_accel_climb,aircraft,,2.000000,2.541428,aircraft_charge_done
1.000000,after_accel_climb,aircraft,,3.000000,2.541428,aircraft_depart
1.000000,after_accel_climb,aircraft,,3.000000,2.785039,aircraft_arrive
1.000000,after_accel_climb,aircraft,,3.000000,3.068339,aircraft_ground_ops_done
1.000000,after_accel_climb,aircraft,,3.000000,3.812142,aircraft_charge_done
1.000000,after_accel_climb,aircraft,,4.000000,3.812142,aircraft_depart
1.000000,after_accel_climb,aircraft,,4.000000,4.055753,aircraft_arrive
1.000000,after_accel_climb,aircraft,,4.000000,4.339053,aircraft_ground_ops_done
1.000000,after_accel_climb,aircraft,,4.000000,5.082856,aircraft_charge_done
1.000000,after_accel_climb,aircraft,,5.000000,5.082856,aircraft_depart
1.000000,after_accel_climb,aircraft,,5.000000,5.326467,aircraft_arrive
1.000000,after_accel_climb,aircraft,,5.000000,5.609767,aircraft_ground_ops_done
1.000000,after_accel_climb,aircraft,,5.000000,6.353569,aircraft_charge_done
1.000000,after_accel_climb,aircraft,,6.000000,6.353569,aircraft_depart
1.000000,after_accel_climb,aircraft,,6.000000,6.597181,aircraft_arrive
1.000000,after_accel_climb,aircraft,,6.000000,6.880481,aircraft_ground_ops_done
1.000000,after_accel_climb,aircraft,,6.000000,7.624283,aircraft_charge_done
1.000000,after_accel_climb,aircraft,,7.000000,7.624283,aircraft_depart
1.000000,after_accel_climb,aircraft,,7.000000,7.867894,aircraft_arrive
1.000000,after_accel_climb,aircraft,,7.000000,8.151194,aircraft_ground_ops_done
1.000000,after_accel_climb,aircraft,,7.000000,8.894997,aircraft_charge_done
1.000000,after_accel_climb,abu,1.000000,1.000000,0.000000,abu_attach
1.000000,after_accel_climb,abu,1.000000,1.000000,0.039167,abu_detach
1.000000,after_accel_climb,abu,1.000000,1.000000,0.114546,abu_return_done
1.000000,after_accel_climb,abu,1.000000,1.000000,0.114546,abu_charge_start
1.000000,after_accel_climb,abu,1.000000,1.000000,0.390210,abu_charge_done
1.000000,after_accel_climb,abu,1.000000,2.000000,1.270714,abu_attach
1.000000,after_accel_climb,abu,1.000000,2.000000,1.309881,abu_detach
1.000000,after_accel_climb,abu,1.000000,2.000000,1.385260,abu_return_done
1.000000,after_accel_climb,abu,1.000000,2.000000,1.385260,abu_charge_start
1.000000,after_accel_climb,abu,1.000000,2.000000,1.660924,abu_charge_done
1.000000,after_accel_climb,abu,1.000000,3.000000,2.541428,abu_attach
1.000000,after_accel_climb,abu,1.000000,3.000000,2.580594,abu_detach
1.000000,after_accel_climb,abu,1.000000,3.000000,2.655974,abu_return_done
1.000000,after_accel_climb,abu,1.000000,3.000000,2.655974,abu_charge_start
1.000000,after_accel_climb,abu,1.000000,3.000000,2.931638,abu_charge_done
1.000000,after_accel_climb,abu,1.000000,4.000000,3.812142,abu_attach
1.000000,after_accel_climb,abu,1.000000,4.000000,3.851308,abu_detach
1.000000,after_accel_climb,abu,1.000000,4.000000,3.926688,abu_return_done
1.000000,after_accel_climb,abu,1.000000,4.000000,3.926688,abu_charge_start
1.000000,after_accel_climb,abu,1.000000,4.000000,4.202351,abu_charge_done
1.000000,after_accel_climb,abu,1.000000,5.000000,5.082856,abu_attach
1.000000,after_accel_climb,abu,1.000000,5.000000,5.122022,abu_detach
1.000000,after_accel_climb,abu,1.000000,5.000000,5.197402,abu_return_done
1.000000,after_accel_climb,abu,1.000000,5.000000,5.197402,abu_charge_start
1.000000,after_accel_climb,abu,1.000000,5.000000,5.473065,abu_charge_done
1.000000,after_accel_climb,abu,1.000000,6.000000,6.353569,abu_attach
1.000000,after_accel_climb,abu,1.000000,6.000000,6.392736,abu_detach
1.000000,after_accel_climb,abu,1.000000,6.000000,6.468116,abu_return_done
1.000000,after_accel_climb,abu,1.000000,6.000000,6.468116,abu_charge_start
1.000000,after_accel_climb,abu,1.000000,6.000000,6.743779,abu_charge_done
1.000000,after_accel_climb,abu,1.000000,7.000000,7.624283,abu_attach
1.000000,after_accel_climb,abu,1.000000,7.000000,7.663450,abu_detach
1.000000,after_accel_climb,abu,1.000000,7.000000,7.738830,abu_return_done
1.000000,after_accel_climb,abu,1.000000,7.000000,7.738830,abu_charge_start
1.000000,after_accel_climb,abu,1.000000,7.000000,8.014493,abu_charge_done
