n_abus,E_abu_mission_kwh,E_abu_total_kwh,m_abu_batt_kg,m_abu_struct_kg,m_abu_integ_kg,m_rot_hub_kg,m_abu_total_all_kg,P_cruise_attach_kw,P_cruise_post_kw,baseline_cruise_energy_kwh,E_cruise_attach_kwh,E_abu_used_kwh,E_saved_kwh,t_attached_until_depletion_s,t_attached_effective_s,extra_time_s,total_extended_time_s,range_attached_mi,extra_range_mi,total_extended_range_mi,overcapacity,full_coverage_flag
1.000000,5.000000,17.000000,103.642737,20.728547,5.182137,22.113238,151.666660,306.522990,295.250321,45.763800,5.000000,5.000000,4.816120,58.723165,58.723165,58.723165,117.446329,2.448403,2.448403,4.896807,0.000000,0.000000
1.000000,10.000000,22.000000,134.125895,26.825179,6.706295,22.890885,190.548255,309.468193,295.250321,45.763800,10.000000,10.000000,9.540571,116.328595,116.328595,116.328595,232.657190,4.850204,4.850204,9.700407,0.000000,0.000000
1.000000,15.000000,27.000000,164.609053,32.921811,8.230453,23.089045,228.850362,312.391573,295.250321,45.763800,15.000000,15.000000,14.176934,172.859977,172.859977,172.859977,345.719953,7.207223,7.207223,14.414446,0.000000,0.000000
1.000000,20.000000,32.000000,195.092212,39.018442,9.754611,23.283785,267.149050,315.336596,295.250321,45.763800,20.000000,20.000000,18.726042,228.327447,228.327447,228.327447,456.654894,9.519883,9.519883,19.039766,0.000000,0.000000
1.000000,25.000000,37.000000,225.575370,45.115074,11.278768,23.478052,305.447264,318.303486,295.250321,45.763800,25.000000,25.000000,23.189372,282.749024,282.749024,282.749024,565.498048,11.788936,11.788936,23.577872,0.000000,0.000000
1.000000,30.000000,42.000000,256.058528,51.211706,12.802926,23.671865,343.745025,321.292243,295.250321,45.763800,30.000000,30.000000,27.568389,336.142569,336.142569,336.142569,672.285139,14.015126,14.015126,28.030253,0.000000,0.000000
1.000000,35.000000,47.000000,286.541686,57.308337,14.327084,23.865232,382.042339,324.302866,295.250321,45.763800,35.000000,35.000000,31.864539,388.525706,388.525706,388.525706,777.051411,16.199188,16.199188,32.398377,0.000000,0.000000
1.000000,40.000000,52.000000,317.024844,63.404969,15.851242,24.058157,420.339211,327.335356,295.250321,45.763800,40.000000,40.000000,36.079246,439.915815,439.915815,439.915815,879.831630,18.341847,18.341847,36.683695,0.000000,0.000000
1.000000,45.000000,57.000000,347.508002,69.501600,17.375400,24.250646,458.635648,330.389712,295.250321,45.763800,45.000000,45.000000,40.213917,490.330037,490.330037,490.330037,980.660075,20.443818,20.443818,40.887635,0.000000,0.000000
1.000000,50.000000,62.000000,377.991160,75.598232,18.899558,24.442705,496.931655,333.465934,295.250321,45.763800,50.000000,50.000000,44.269937,539.785272,539.785272,539.785272,1079.570544,22.505804,22.505804,45.011608,0.000000,0.000000
