n_abus,E_abu_mission_kwh,E_abu_total_kwh,m_abu_batt_kg,m_abu_struct_kg,m_abu_integ_kg,m_rot_hub_kg,m_abu_total_all_kg,E_cruise_attach_kwh,E_abu_used_kwh,baseline_cruise_energy_kwh,E_saved_kwh,extra_time_s,extra_range_mi
1.000000,5.000000,6.000000,36.579790,7.315958,1.828989,17.636344,63.361081,41.770826,5.000000,41.056150,4.285324,58.242450,2.428360
1.000000,10.000000,11.000000,67.062948,13.412590,3.353147,17.908257,101.736942,42.208235,10.000000,41.056150,8.847915,120.253273,5.013839
1.000000,15.000000,16.000000,97.546106,19.509221,4.877305,18.072383,140.005015,42.647836,15.000000,41.056150,13.408315,182.234319,7.598077
1.000000,20.000000,21.000000,128.029264,25.605853,6.401463,18.235631,178.272211,43.090840,20.000000,41.056150,17.965310,244.169092,10.180385
1.000000,25.000000,26.000000,158.512422,31.702484,7.925621,18.398466,216.538993,43.537255,25.000000,41.056150,22.518895,306.057524,12.760761
1.000000,30.000000,31.000000,188.995580,37.799116,9.449779,18.560894,254.805369,43.987079,30.000000,41.056150,27.069071,367.899614,15.339204
1.000000,35.000000,36.000000,219.478738,43.895748,10.973937,18.722922,293.071345,44.440313,35.000000,41.056150,31.615838,429.695363,17.915716
1.000000,40.000000,41.000000,249.961896,49.992379,12.498095,18.884555,331.336925,44.896956,40.000000,41.056150,36.159194,491.444771,20.490295
1.000000,45.000000,46.000000,280.445054,56.089011,14.022253,19.045797,369.602115,45.357009,45.000000,41.056150,40.699141,553.147839,23.062943
1.000000,50.000000,51.000000,310.928212,62.185642,15.546411,19.206656,407.866921,45.820472,45.820472,41.056150,41.056150,558.000000,23.265249
