iteration,mtow_guess_kg,new_mtow_kg,delta_kg,empty_mass_kg,battery_mass_kg,payload_mass_kg,total_energy_converged_kw_hr
0,3350.000000,3076.041069,-273.958931,2003.143456,618.897613,454.000000,101.514681
1,3076.041069,2909.507065,-166.534005,1881.832968,573.674097,454.000000,94.096894
2,2909.507065,2810.875965,-98.631099,1809.435172,547.440794,454.000000,89.793976
3,2810.875965,2753.382544,-57.493422,1767.029817,532.352727,454.000000,87.319156
4,2753.382544,2720.183662,-33.198881,1742.471802,523.711860,454.000000,85.901838
5,2720.183662,2701.118638,-19.065024,1728.344598,518.774040,454.000000,85.091912
6,2701.118638,2690.204990,-10.913648,1720.249449,515.955541,454.000000,84.629608
7,2690.204990,2683.968947,-6.236043,1715.621211,514.347736,454.000000,84.365887
8,2683.968947,2680.409405,-3.559542,1712.978528,513.430877,454.000000,84.215500
9,2680.409405,2678.378828,-2.030577,1711.470695,512.908133,454.000000,84.129756
10,2678.378828,2677.220859,-1.157969,1710.610736,512.610123,454.000000,84.080875
11,2677.220859,2676.560637,-0.660221,1710.120396,512.440242,454.000000,84.053011
12,2676.560637,2676.184251,-0.376387,1709.840847,512.343404,454.000000,84.037127
13,2676.184251,2675.969689,-0.214561,1709.681486,512.288204,454.000000,84.028073
14,2675.969689,2675.847382,-0.122307,1709.590643,512.256739,454.000000,84.022912
15,2675.847382,2675.777664,-0.069718,1709.538860,512.238804,454.000000,84.019970
16,2675.777664,2675.737924,-0.039740,1709.509343,512.228580,454.000000,84.018293
17,2675.737924,2675.715271,-0.022653,1709.492518,512.222753,454.000000,84.017337
18,2675.715271,2675.702359,-0.012912,1709.482927,512.219431,454.000000,84.016792
19,2675.702359,2675.694999,-0.007360,1709.477461,512.217538,454.000000,84.016482
20,2675.694999,2675.690803,-0.004195,1709.474345,512.216459,454.000000,84.016305
21,2675.690803,2675.688412,-0.002391,1709.472569,512.215843,454.000000,84.016204
22,2675.688412,2675.687049,-0.001363,1709.471556,512.215493,454.000000,84.016146
23,2675.687049,2675.686272,-0.000777,1709.470979,512.215293,454.000000,84.016113
