n_takeoff_abu_pool,n_cruise_abu_pool,E_abu_mission_cruise_per_abu_kwh,timeline_type,abu_index,flight_index,t_hr,event
1.000000,1.000000,5.000000,aircraft,,1.000000,0.000000,aircraft_depart
1.000000,1.000000,5.000000,aircraft,,1.000000,0.433333,aircraft_arrive
1.000000,1.000000,5.000000,aircraft,,1.000000,0.716633,aircraft_ground_ops_done
1.000000,1.000000,5.000000,aircraft,,1.000000,2.101545,aircraft_charge_done
1.000000,1.000000,5.000000,aircraft,,2.000000,2.101545,aircraft_depart
1.000000,1.000000,5.000000,aircraft,,2.000000,2.534878,aircraft_arrive
1.000000,1.000000,5.000000,aircraft,,2.000000,2.818178,aircraft_ground_ops_done
1.000000,1.000000,5.000000,aircraft,,2.000000,4.203090,aircraft_charge_done
1.000000,1.000000,5.000000,aircraft,,3.000000,4.203090,aircraft_depart
1.000000,1.000000,5.000000,aircraft,,3.000000,4.636424,aircraft_arrive
1.000000,1.000000,5.000000,aircraft,,3.000000,4.919724,aircraft_ground_ops_done
1.000000,1.000000,5.000000,aircraft,,3.000000,6.304635,aircraft_charge_done
1.000000,1.000000,5.000000,aircraft,,4.000000,6.304635,aircraft_depart
1.000000,1.000000,5.000000,aircraft,,4.000000,6.737969,aircraft_arrive
1.000000,1.000000,5.000000,aircraft,,4.000000,7.021269,aircraft_ground_ops_done
1.000000,1.000000,5.000000,aircraft,,4.000000,8.406180,aircraft_charge_done
1.000000,1.000000,5.000000,aircraft,,5.000000,8.406180,aircraft_depart
1.000000,1.000000,5.000000,aircraft,,5.000000,8.839514,aircraft_arrive
1.000000,1.000000,5.000000,aircraft,,5.000000,9.122814,aircraft_ground_ops_done
1.000000,1.000000,5.000000,aircraft,,5.000000,10.507726,aircraft_charge_done
1.000000,1.000000,5.000000,aircraft,,6.000000,10.507726,aircraft_depart
1.000000,1.000000,5.000000,aircraft,,6.000000,10.941059,aircraft_arrive
1.000000,1.000000,5.000000,aircraft,,6.000000,11.224359,aircraft_ground_ops_done
1.000000,1.000000,5.000000,aircraft,,6.000000,12.609271,aircraft_charge_done
1.000000,1.000000,5.000000,aircraft,,7.000000,12.609271,aircraft_depart
1.000000,1.000000,5.000000,aircraft,,7.000000,13.042604,aircraft_arrive
1.000000,1.000000,5.000000,aircraft,,7.000000,13.325904,aircraft_ground_ops_done
1.000000,1.000000,5.000000,aircraft,,7.000000,14.710816,aircraft_charge_done
1.000000,1.000000,5.000000,aircraft,,8.000000,14.710816,aircraft_depart
1.000000,1.000000,5.000000,aircraft,,8.000000,15.144149,aircraft_arrive
1.000000,1.000000,5.000000,aircraft,,8.000000,15.427449,aircraft_ground_ops_done
1.000000,1.000000,5.000000,aircraft,,8.000000,16.812361,aircraft_charge_done
1.000000,1.000000,5.000000,aircraft,,9.000000,16.812361,aircraft_depart
1.000000,1.000000,5.000000,aircraft,,9.000000,17.245694,aircraft_arrive
1.000000,1.000000,5.000000,aircraft,,9.000000,17.528994,aircraft_ground_ops_done
1.000000,1.000000,5.000000,aircraft,,9.000000,18.913906,aircraft_charge_done
1.000000,1.000000,5.000000,aircraft,,10.000000,18.913906,aircraft_depart
1.000000,1.000000,5.000000,aircraft,,10.000000,19.347239,aircraft_arrive
1.000000,1.000000,5.000000,aircraft,,10.000000,19.630539,aircraft_ground_ops_done
1.000000,1.000000,5.000000,aircraft,,10.000000,21.015451,aircraft_charge_done
1.000000,1.000000,5.000000,aircraft,,11.000000,21.015451,aircraft_depart
1.000000,1.000000,5.000000,aircraft,,11.000000,21.448784,aircraft_arrive
1.000000,1.000000,5.000000,aircraft,,11.000000,21.732084,aircraft_ground_ops_done
