n_abu_pool,E_abu_mission_kwh_per_abu,timeline_type,abu_index,flight_index,t_hr,event
1.000000,5.000000,aircraft,,1.000000,0.000000,aircraft_depart
1.000000,5.000000,aircraft,,1.000000,0.055479,abu_detach
1.000000,5.000000,aircraft,,1.000000,0.433333,aircraft_arrive
1.000000,5.000000,aircraft,,1.000000,0.716633,aircraft_ground_ops_done
1.000000,5.000000,aircraft,,1.000000,2.209704,aircraft_charge_done
1.000000,5.000000,aircraft,,2.000000,2.209704,aircraft_depart
1.000000,5.000000,aircraft,,2.000000,2.265183,abu_detach
1.000000,5.000000,aircraft,,2.000000,2.643038,aircraft_arrive
1.000000,5.000000,aircraft,,2.000000,2.926338,aircraft_ground_ops_done
1.000000,5.000000,aircraft,,2.000000,4.419409,aircraft_charge_done
1.000000,5.000000,aircraft,,3.000000,4.419409,aircraft_depart
1.000000,5.000000,aircraft,,3.000000,4.474888,abu_detach
1.000000,5.000000,aircraft,,3.000000,4.852742,aircraft_arrive
1.000000,5.000000,aircraft,,3.000000,5.136042,aircraft_ground_ops_done
1.000000,5.000000,aircraft,,3.000000,6.629113,aircraft_charge_done
1.000000,5.000000,aircraft,,4.000000,6.629113,aircraft_depart
1.000000,5.000000,aircraft,,4.000000,6.684592,abu_detach
1.000000,5.000000,aircraft,,4.000000,7.062447,aircraft_arrive
1.000000,5.000000,aircraft,,4.000000,7.345747,aircraft_ground_ops_done
1.000000,5.000000,aircraft,,4.000000,8.838818,aircraft_charge_done
1.000000,5.000000,aircraft,,5.000000,8.838818,aircraft_depart
1.000000,5.000000,aircraft,,5.000000,8.894297,abu_detach
1.000000,5.000000,aircraft,,5.000000,9.272151,aircraft_arrive
1.000000,5.000000,aircraft,,5.000000,9.555451,aircraft_ground_ops_done
1.000000,5.000000,aircraft,,5.000000,11.048522,aircraft_charge_done
1.000000,5.000000,aircraft,,6.000000,11.048522,aircraft_depart
1.000000,5.000000,aircraft,,6.000000,11.104001,abu_detach
1.000000,5.000000,aircraft,,6.000000,11.481856,aircraft_arrive
1.000000,5.000000,aircraft,,6.000000,11.765156,aircraft_ground_ops_done
1.000000,5.000000,aircraft,,6.000000,13.258227,aircraft_charge_done
1.000000,5.000000,aircraft,,7.000000,13.258227,aircraft_depart
1.000000,5.000000,aircraft,,7.000000,13.313706,abu_detach
1.000000,5.000000,aircraft,,7.000000,13.691560,aircraft_arrive
1.000000,5.000000,aircraft,,7.000000,13.974860,aircraft_ground_ops_done
1.000000,5.000000,aircraft,,7.000000,15.467931,aircraft_charge_done
1.000000,5.000000,aircraft,,8.000000,15.467931,aircraft_depart
1.000000,5.000000,aircraft,,8.000000,15.523410,abu_detach
1.000000,5.000000,aircraft,,8.000000,15.901265,aircraft_arrive
1.000000,5.000000,aircraft,,8.000000,16.184565,aircraft_ground_ops_done
1.000000,5.000000,aircraft,,8.000000,17.677636,aircraft_charge_done
1.000000,5.000000,aircraft,,9.000000,17.677636,aircraft_depart
1.000000,5.000000,aircraft,,9.000000,17.733115,abu_detach
1.000000,5.000000,aircraft,,9.000000,18.110969,aircraft_arrive
1.000000,5.000000,aircraft,,9.000000,18.394269,aircraft_ground_ops_done
1.000000,5.000000,aircraft,,9.000000,19.887340,aircraft_charge_done
1.000000,5.000000,aircraft,,10.000000,19.887340,aircraft_depart
1.000000,5.000000,aircraft,,10.000000,19.942819,abu_detach
1.000000,5.000000,aircraft,,10.000000,20.320674,aircraft_arrive
1.000000,5.000000,aircraft,,10.000000,20.603974,aircraft_ground_ops_done
1.000000,5.000000,aircraft,,10.000000,22.097045,aircraft_charge_done
1.000000,5.000000,aircraft,,11.000000,22.097045,aircraft_depart
1.000000,5.000000,aircraft,,11.000000,22.152524,abu_detach
1.000000,5.000000,aircraft,,11.000000,22.530378,aircraft_arrive
1.000000,5.000000,aircraft,,11.000000,22.813678,aircraft_ground_ops_done
1.000000,5.000000,aircraft,,11.000000,24.306749,aircraft_charge_done
1.000000,5.000000,abu,1.000000,1.000000,0.000000,abu_attached
1.000000,5.000000,abu,1.000000,1.000000,0.055479,abu_detach
1.000000,5.000000,abu,1.000000,1.000000,0.888391,abu_return_done
1.000000,5.000000,abu,1.000000,1.000000,0.888391,abu_charge_start
1.000000,5.000000,abu,1.000000,1.000000,1.165191,abu_charge_done
1.000000,5.000000,abu,1.000000,2.000000,2.209704,abu_attached
1.000000,5.000000,abu,1.000000,2.000000,2.265183,abu_detach
1.000000,5.000000,abu,1.000000,2.000000,3.098095,abu_return_done
1.000000,5.000000,abu,1.000000,2.000000,3.098095,abu_charge_start
1.000000,5.000000,abu,1.000000,2.000000,3.374895,abu_charge_done
1.000000,5.000000,abu,1.000000,3.000000,4.419409,abu_attached
1.000000,5.000000,abu,1.000000,3.000000,4.474888,abu_detach
