daily_operation_hr,n_abu_pool,E_abu_mission_kwh_per_abu,E_abu_total_kwh_per_abu,E_abu_used_kwh_total,E_saved_kwh,E_mission_kwh_main,E_pack_kwh_main,E_pack_kwh_abu,dod_main,dod_abu,soc_start_main,soc_start_abu,soc_target,t_flight_hr,t_attached_hr,t_return_cruise_abu_hr,t_charge_hr_main,t_charge_hr_abu,t_cycle_nominal_hr,n_flights_nominal_no_abu_limit,n_flights_completed,t_flight_day_hr,t_slack_hr,t_wait_abu_day_hr,abu_utilization_avg,abu_bottleneck_flag,P_cc_kw_main,P_cc_kw_abu,charger_limit_indicator_flag_main,charger_limit_indicator_flag_abu
8.000000,1.000000,5.000000,17.000000,5.000000,4.838632,69.177605,89.773512,17.000000,0.770579,1.000000,0.229421,0.000000,1.000000,0.347500,0.018725,0.586863,1.015940,0.276800,1.646740,4.000000,5.000000,1.737500,0.000000,0.000000,0.592118,0.000000,109.250000,109.250000,charger_limited,charger_limited
8.000000,1.000000,10.000000,22.000000,10.000000,9.589214,64.427023,89.773512,22.000000,0.717662,1.000000,0.282338,0.000000,1.000000,0.347500,0.037110,0.545743,0.972456,0.348178,1.603256,4.000000,5.000000,1.737500,0.000000,0.000000,0.622519,0.000000,109.250000,109.250000,charger_limited,charger_limited
8.000000,1.000000,15.000000,27.000000,15.000000,14.253635,59.762602,89.773512,27.000000,0.665704,1.000000,0.334296,0.000000,1.000000,0.347500,0.055161,0.505368,0.929761,0.417592,1.560561,5.000000,5.000000,1.737500,0.197193,0.000000,0.651951,0.000000,109.250000,109.250000,charger_limited,charger_limited
8.000000,1.000000,20.000000,32.000000,20.000000,18.832862,55.183375,89.773512,32.000000,0.614696,1.000000,0.385304,0.000000,1.000000,0.347500,0.072883,0.465731,0.887846,0.485428,1.518646,5.000000,6.000000,2.085000,0.000000,0.000000,0.816782,0.000000,109.250000,109.250000,charger_limited,charger_limited
8.000000,1.000000,25.000000,37.000000,25.000000,23.328088,50.688149,89.773512,37.000000,0.564623,1.000000,0.435377,0.000000,1.000000,0.347500,0.090279,0.426821,0.846700,0.551949,1.477500,5.000000,6.000000,2.085000,0.000000,0.000000,0.850537,0.000000,109.250000,109.250000,charger_limited,charger_limited
8.000000,1.000000,30.000000,42.000000,30.000000,27.740503,46.275734,89.773512,42.000000,0.515472,1.000000,0.484528,0.000000,1.000000,0.347500,0.107355,0.388628,0.806312,0.617344,1.437112,5.000000,6.000000,2.085000,0.000000,0.000000,0.883746,0.000000,109.250000,109.250000,charger_limited,charger_limited
8.000000,1.000000,35.000000,47.000000,35.000000,32.071296,41.944941,89.773512,47.000000,0.467231,1.000000,0.532769,0.000000,1.000000,0.347500,0.124115,0.351142,0.766671,0.681758,1.397471,5.000000,6.000000,2.085000,0.000000,0.000000,0.916511,0.000000,109.250000,109.250000,charger_limited,charger_limited
8.000000,1.000000,40.000000,52.000000,40.000000,36.321649,37.694588,89.773512,52.000000,0.419885,1.000000,0.580115,0.000000,1.000000,0.347500,0.140564,0.314351,0.727766,0.745302,1.358566,5.000000,6.000000,2.085000,0.000000,0.000000,0.948913,0.000000,109.250000,109.250000,charger_limited,charger_limited
8.000000,1.000000,45.000000,57.000000,45.000000,40.492741,33.523497,89.773512,57.000000,0.373423,1.000000,0.626577,0.000000,1.000000,0.347500,0.156706,0.278247,0.689587,0.808068,1.320387,6.000000,6.000000,2.085000,0.077681,0.000000,0.981016,0.000000,109.250000,109.250000,charger_limited,charger_limited
8.000000,1.000000,50.000000,62.000000,50.000000,44.585744,29.430493,89.773512,62.000000,0.327830,1.000000,0.672170,0.000000,1.000000,0.347500,0.172546,0.242819,0.652122,0.870130,1.282922,6.000000,6.000000,2.085000,0.000000,0.337862,1.012871,0.000000,109.250000,109.250000,charger_limited,charger_limited
