n_abus,E_abu_mission_kwh,E_abu_total_kwh,m_abu_batt_kg,m_abu_struct_kg,m_abu_integ_kg,m_rot_hub_kg,m_abu_total_all_kg,E_cruise_attach_kwh,E_abu_used_kwh,baseline_cruise_energy_kwh,E_saved_kwh,extra_time_s,extra_range_mi
1.000000,5.000000,17.000000,103.642737,20.728547,5.182137,8.237033,137.790454,58.076281,5.000000,56.201949,3.125668,43.546504,1.815628
1.000000,10.000000,22.000000,134.125895,26.825179,6.706295,8.514497,176.171866,58.609548,10.000000,56.201949,7.592401,105.776581,4.410248
1.000000,15.000000,27.000000,164.609053,32.921811,8.230453,8.591329,214.352646,59.144859,15.000000,56.201949,12.057091,167.978194,7.003682
1.000000,20.000000,32.000000,195.092212,39.018442,9.754611,8.667567,252.532832,59.684979,20.000000,56.201949,16.516971,230.112801,9.594322
1.000000,25.000000,37.000000,225.575370,45.115074,11.278768,8.743615,290.712827,60.229914,25.000000,56.201949,20.972035,292.180323,12.182165
1.000000,30.000000,42.000000,256.058528,51.211706,12.802926,8.819477,328.892637,60.779664,30.000000,56.201949,25.422285,354.180762,14.767211
1.000000,35.000000,47.000000,286.541686,57.308337,14.327084,8.895155,367.072262,61.334230,35.000000,56.201949,29.867720,416.114117,17.349460
1.000000,40.000000,52.000000,317.024844,63.404969,15.851242,8.970651,405.251706,61.893610,40.000000,56.201949,34.308339,477.980390,19.928912
1.000000,45.000000,57.000000,347.508002,69.501600,17.375400,9.045968,443.430971,62.457805,45.000000,56.201949,38.744144,539.779580,22.505567
1.000000,50.000000,62.000000,377.991160,75.598232,18.899558,9.121109,481.610058,63.026816,50.000000,56.201949,43.175133,601.511689,25.079425
