iteration,mtow_guess_kg,new_mtow_kg,delta_kg,empty_mass_kg,battery_mass_kg,payload_mass_kg,total_energy_converged_kw_hr
0,3175.000000,2868.927152,-306.072848,1710.074299,704.852852,454.000000,115.613489
1,2868.927152,2685.640410,-183.286742,1587.865131,643.775278,454.000000,105.595240
2,2685.640410,2580.340417,-105.299993,1516.477389,609.863028,454.000000,100.032783
3,2580.340417,2521.179078,-59.161339,1476.065255,591.113823,454.000000,96.957445
4,2521.179078,2488.366167,-32.812911,1453.550877,580.815290,454.000000,95.268228
5,2488.366167,2470.298899,-18.067268,1441.122401,575.176498,454.000000,94.343325
6,2470.298899,2460.390927,-9.907972,1434.296938,572.093989,454.000000,93.837717
7,2460.390927,2454.969550,-5.421376,1430.559265,570.410286,454.000000,93.561547
8,2454.969550,2452.006742,-2.962808,1428.515718,569.491025,454.000000,93.410765
9,2452.006742,2450.388637,-1.618105,1427.399390,568.989248,454.000000,93.328461
10,2450.388637,2449.505249,-0.883388,1426.789862,568.715387,454.000000,93.283541
11,2449.505249,2449.023070,-0.482180,1426.457140,568.565930,454.000000,93.259027
12,2449.023070,2448.759910,-0.263160,1426.275543,568.484367,454.000000,93.245648
13,2448.759910,2448.616293,-0.143616,1426.176436,568.439857,454.000000,93.238348
14,2448.616293,2448.537919,-0.078374,1426.122351,568.415568,454.000000,93.234364
15,2448.537919,2448.495149,-0.042770,1426.092836,568.402313,454.000000,93.232189
16,2448.495149,2448.471809,-0.023340,1426.076729,568.395080,454.000000,93.231003
17,2448.471809,2448.459073,-0.012737,1426.067940,568.391133,454.000000,93.230356
18,2448.459073,2448.452122,-0.006950,1426.063143,568.388979,454.000000,93.230002
19,2448.452122,2448.448330,-0.003793,1426.060526,568.387804,454.000000,93.229810
20,2448.448330,2448.446260,-0.002070,1426.059098,568.387162,454.000000,93.229704
21,2448.446260,2448.445130,-0.001129,1426.058318,568.386812,454.000000,93.229647
22,2448.445130,2448.444514,-0.000616,1426.057893,568.386621,454.000000,93.229616
