n_takeoff_abu_pool,n_cruise_abu_pool,E_abu_mission_cruise_per_abu_kwh,timeline_type,abu_index,flight_index,t_hr,event
1.000000,1.000000,5.000000,aircraft,,1.000000,0.000000,aircraft_depart
1.000000,1.000000,5.000000,aircraft,,1.000000,0.247500,aircraft_arrive
1.000000,1.000000,5.000000,aircraft,,1.000000,0.530800,aircraft_ground_ops_done
1.000000,1.000000,5.000000,aircraft,,1.000000,0.909056,aircraft_charge_done
1.000000,1.000000,5.000000,aircraft,,2.000000,0.909056,aircraft_depart
1.000000,1.000000,5.000000,aircraft,,2.000000,1.156556,aircraft_arrive
1.000000,1.000000,5.000000,aircraft,,2.000000,1.439856,aircraft_ground_ops_done
1.000000,1.000000,5.000000,aircraft,,2.000000,1.818111,aircraft_charge_done
1.000000,1.000000,5.000000,aircraft,,3.000000,1.818111,aircraft_depart
1.000000,1.000000,5.000000,aircraft,,3.000000,2.065611,aircraft_arrive
1.000000,1.000000,5.000000,aircraft,,3.000000,2.348911,aircraft_ground_ops_done
1.000000,1.000000,5.000000,aircraft,,3.000000,2.727167,aircraft_charge_done
1.000000,1.000000,5.000000,aircraft,,4.000000,2.727167,aircraft_depart
1.000000,1.000000,5.000000,aircraft,,4.000000,2.974667,aircraft_arrive
1.000000,1.000000,5.000000,aircraft,,4.000000,3.257967,aircraft_ground_ops_done
1.000000,1.000000,5.000000,aircraft,,4.000000,3.636223,aircraft_charge_done
1.000000,1.000000,5.000000,aircraft,,5.000000,3.636223,aircraft_depart
1.000000,1.000000,5.000000,aircraft,,5.000000,3.883723,aircraft_arrive
1.000000,1.000000,5.000000,aircraft,,5.000000,4.167023,aircraft_ground_ops_done
1.000000,1.000000,5.000000,aircraft,,5.000000,4.545279,aircraft_charge_done
1.000000,1.000000,5.000000,aircraft,,6.000000,4.545279,aircraft_depart
1.000000,1.000000,5.000000,aircraft,,6.000000,4.792779,aircraft_arrive
1.000000,1.000000,5.000000,aircraft,,6.000000,5.076079,aircraft_ground_ops_done
1.000000,1.000000,5.000000,aircraft,,6.000000,5.454334,aircraft_charge_done
1.000000,1.000000,5.000000,aircraft,,7.000000,5.454334,aircraft_depart
1.000000,1.000000,5.000000,aircraft,,7.000000,5.701834,aircraft_arrive
1.000000,1.000000,5.000000,aircraft,,7.000000,5.985134,aircraft_ground_ops_done
1.000000,1.000000,5.000000,aircraft,,7.000000,6.363390,aircraft_charge_done
1.000000,1.000000,5.000000,aircraft,,8.000000,6.363390,aircraft_depart
1.000000,1.000000,5.000000,aircraft,,8.000000,6.610890,aircraft_arrive
1.000000,1.000000,5.000000,aircraft,,8.000000,6.894190,aircraft_ground_ops_done
1.000000,1.000000,5.000000,aircraft,,8.000000,7.272446,aircraft_charge_done
1.000000,1.000000,5.000000,aircraft,,9.000000,7.272446,aircraft_depart
1.000000,1.000000,5.000000,aircraft,,9.000000,7.519946,aircraft_arrive
1.000000,1.000000,5.000000,aircraft,,9.000000,7.803246,aircraft_ground_ops_done
1.000000,1.000000,5.000000,aircraft,,9.000000,8.181501,aircraft_charge_done
1.000000,1.000000,5.000000,takeoff_abu,1.000000,1.000000,0.000000,takeoff_abu_attached
1.000000,1.000000,5.000000,takeoff_abu,1.000000,1.000000,0.065000,takeoff_abu_detach
1.000000,1.000000,5.000000,takeoff_abu,1.000000,1.000000,0.207271,takeoff_abu_return_done
1.000000,1.000000,5.000000,takeoff_abu,1.000000,1.000000,0.207271,takeoff_abu_charge_start
1.000000,1.000000,5.000000,takeoff_abu,1.000000,1.000000,0.504678,takeoff_abu_charge_done
1.000000,1.000000,5.000000,takeoff_abu,1.000000,2.000000,0.909056,takeoff_abu_attached
1.000000,1.000000,5.000000,takeoff_abu,1.000000,2.000000,0.974056,takeoff_abu_detach
1.000000,1.000000,5.000000,takeoff_abu,1.000000,2.000000,1.116326,takeoff_abu_return_done
1.000000,1.000000,5.000000,takeoff_abu,1.000000,2.000000,1.116326,takeoff_abu_charge_start
1.000000,1.000000,5.000000,takeoff_abu,1.000000,2.000000,1.413733,takeoff_abu_charge_done
1.000000,1.000000,5.000000,takeoff_abu,1.000000,3.000000,1.818111,takeoff_abu_attached
1.000000,1.000000,5.000000,takeoff_abu,1.000000,3.000000,1.883111,takeoff_abu_detach
1.000000,1.000000,5.000000,takeoff_abu,1.000000,3.000000,2.025382,takeoff_abu_return_done
1.000000,1.000000,5.000000,takeoff_abu,1.000000,3.000000,2.025382,takeoff_abu_charge_start
1.000000,1.000000,5.000000,takeoff_abu,1.000000,3.000000,2.322789,takeoff_abu_charge_done
1.000000,1.000000,5.000000,takeoff_abu,1.000000,4.000000,2.727167,takeoff_abu_attached
1.000000,1.000000,5.000000,takeoff_abu,1.000000,4.000000,2.792167,takeoff_abu_detach
1.000000,1.000000,5.000000,takeoff_abu,1.000000,4.000000,2.934438,takeoff_abu_return_done
1.000000,1.000000,5.000000,takeoff_abu,1.000000,4.000000,2.934438,takeoff_abu_charge_start
1.000000,1.000000,5.000000,takeoff_abu,1.000000,4.000000,3.231845,takeoff_abu_charge_done
1.000000,1.000000,5.000000,takeoff_abu,1.000000,5.000000,3.636223,takeoff_abu_attached
1.000000,1.000000,5.000000,takeoff_abu,1.000000,5.000000,3.701223,takeoff_abu_detach
1.000000,1.000000,5.000000,takeoff_abu,1.000000,5.000000,3.843493,takeoff_abu_return_done
1.000000,1.000000,5.000000,takeoff_abu,1.000000,5.000000,3.843493,takeoff_abu_charge_start
1.000000,1.000000,5.000000,takeoff_abu,1.000000,5.000000,4.140901,takeoff_abu_charge_done
1.000000,1.000000,5.000000,takeoff_abu,1.000000,6.000000,4.545279,takeoff_abu_attached
1.000000,1.000000,5.000000,takeoff_abu,1.000000,6.000000,4.610279,takeoff_abu_detach
1.000000,1.000000,5.000000,takeoff_abu,1.000000,6.000000,4.752549,takeoff_abu_return_done
1.000000,1.000000,5.000000,takeoff_abu,1.000000,6.000000,4.752549,takeoff_abu_charge_start
1.000000,1.000000,5.000000,takeoff_abu,1.000000,6.000000,5.049956,takeoff_abu_charge_done
1.000000,1.000000,5.000000,takeoff_abu,1.000000,7.000000,5.454334,takeoff_abu_attached
1.000000,1.000000,5.000000,takeoff_abu,1.000000,7.000000,5.519334,takeoff_abu_detach
1.000000,1.000000,5.000000,takeoff_abu,1.000000,7.000000,5.661605,takeoff_abu_return_done
1.000000,1.000000,5.000000,takeoff_abu,1.000000,7.000000,5.661605,takeoff_abu_charge_start
1.000000,1.000000,5.000000,takeoff_abu,1.000000,7.000000,5.959012,takeoff_abu_charge_done
1.000000,1.000000,5.000000,takeoff_abu,1.000000,8.000000,6.363390,takeoff_abu_attached
1.000000,1.000000,5.000000,takeoff_abu,1.000000,8.000000,6.428390,takeoff_abu_detach
1.000000,1.000000,5.000000,takeoff_abu,1.000000,8.000000,6.570661,takeoff_abu_return_done
1.000000,1.000000,5.000000,takeoff_abu,1.000000,8.000000,6.570661,takeoff_abu_charge_start
1.000000,1.000000,5.000000,takeoff_abu,1.000000,8.000000,6.868068,takeoff_abu_charge_done
1.000000,1.000000,5.000000,takeoff_abu,1.000000,9.000000,7.272446,takeoff_abu_attached
1.000000,1.000000,5.000000,takeoff_abu,1.000000,9.000000,7.337446,takeoff_abu_detach
1.000000,1.000000,5.000000,takeoff_abu,1.000000,9.000000,7.479716,takeoff_abu_return_done
1.000000,1.000000,5.000000,takeoff_abu,1.000000,9.000000,7.479716,takeoff_abu_charge_start
1.000000,1.000000,5.000000,takeoff_abu,1.000000,9.000000,7.777123,takeoff_abu_charge_done
1.000000,1.000000,5.000000,cruise_abu,1.000000,1.000000,0.065000,cruise_abu_attached
1.000000,1.000000,5.000000,cruise_abu,1.000000,1.000000,0.094077,cruise_abu_detach
1.000000,1.000000,5.000000,cruise_abu,1.000000,1.000000,0.434120,cruise_abu_return_done
