n_abus,E_abu_mission_kwh,E_abu_total_kwh,m_abu_batt_kg,m_abu_struct_kg,m_abu_integ_kg,m_rot_hub_kg,m_abu_total_all_kg,P_cruise_attach_kw,P_cruise_post_kw,baseline_cruise_energy_kwh,E_cruise_attach_kwh,E_abu_used_kwh,E_saved_kwh,t_attached_until_depletion_s,t_attached_effective_s,extra_time_s,total_extended_time_s,range_attached_mi,extra_range_mi,total_extended_range_mi,overcapacity,full_coverage_flag
1.000000,5.000000,17.000000,103.642737,20.728547,5.182137,21.395125,150.948547,177.327560,165.402257,19.434765,5.000000,5.000000,4.663749,101.507064,101.507064,101.507064,203.014128,4.232235,4.232235,8.464470,0.000000,0.000000
1.000000,10.000000,22.000000,134.125895,26.825179,6.706295,22.436394,190.093764,180.521555,165.402257,19.434765,10.000000,10.000000,9.162466,199.422169,199.422169,199.422169,398.844338,8.314707,8.314707,16.629413,0.000000,0.000000
1.000000,15.000000,27.000000,164.609053,32.921811,8.230453,22.704194,228.465511,183.692983,165.402257,19.434765,15.000000,15.000000,13.506416,293.968768,293.968768,293.968768,587.937537,12.256732,12.256732,24.513464,0.000000,0.000000
1.000000,20.000000,32.000000,195.092212,39.018442,9.754611,22.965842,266.831107,186.904032,165.402257,19.434765,20.000000,20.000000,17.699164,385.224435,385.224435,385.224435,770.448869,16.061545,16.061545,32.123091,0.000000,0.000000
1.000000,25.000000,37.000000,225.575370,45.115074,11.278768,23.226613,305.195825,190.155132,165.402257,19.434765,22.343228,22.343228,19.434765,473.297771,423.000000,423.000000,846.000000,17.636560,17.636560,35.273119,1.000000,1.000000
1.000000,30.000000,42.000000,256.058528,51.211706,12.802926,23.486557,343.559716,193.446284,165.402257,19.434765,22.729938,22.729938,19.434765,558.294519,423.000000,423.000000,846.000000,17.636560,17.636560,35.273119,1.000000,1.000000
1.000000,35.000000,47.000000,286.541686,57.308337,14.327084,23.745688,381.922796,196.777487,165.402257,19.434765,23.121355,23.121355,19.434765,640.317150,423.000000,423.000000,846.000000,17.636560,17.636560,35.273119,1.000000,1.000000
1.000000,40.000000,52.000000,317.024844,63.404969,15.851242,24.004022,420.285076,200.148741,165.402257,19.434765,23.517477,23.517477,19.434765,719.464931,423.000000,423.000000,846.000000,17.636560,17.636560,35.273119,1.000000,1.000000
1.000000,45.000000,57.000000,347.508002,69.501600,17.375400,24.261570,458.646572,203.560043,165.402257,19.434765,23.918305,23.918305,19.434765,795.833984,423.000000,423.000000,846.000000,17.636560,17.636560,35.273119,1.000000,1.000000
1.000000,50.000000,62.000000,377.991160,75.598232,18.899558,24.518346,497.007295,207.011392,165.402257,19.434765,24.323839,24.323839,19.434765,869.517363,423.000000,423.000000,846.000000,17.636560,17.636560,35.273119,1.000000,1.000000
