n_takeoff_abu_pool,n_cruise_abu_pool,E_abu_mission_cruise_per_abu_kwh,timeline_type,abu_index,flight_index,t_hr,event
1.000000,1.000000,5.000000,aircraft,,1.000000,0.000000,aircraft_depart
1.000000,1.000000,5.000000,aircraft,,1.000000,0.447500,aircraft_arrive
1.000000,1.000000,5.000000,aircraft,,1.000000,0.730800,aircraft_ground_ops_done
1.000000,1.000000,5.000000,aircraft,,1.000000,1.998083,aircraft_charge_done
1.000000,1.000000,5.000000,aircraft,,2.000000,1.998083,aircraft_depart
1.000000,1.000000,5.000000,aircraft,,2.000000,2.445583,aircraft_arrive
1.000000,1.000000,5.000000,aircraft,,2.000000,2.728883,aircraft_ground_ops_done
1.000000,1.000000,5.000000,aircraft,,2.000000,3.996166,aircraft_charge_done
1.000000,1.000000,5.000000,aircraft,,3.000000,3.996166,aircraft_depart
1.000000,1.000000,5.000000,aircraft,,3.000000,4.443666,aircraft_arrive
1.000000,1.000000,5.000000,aircraft,,3.000000,4.726966,aircraft_ground_ops_done
1.000000,1.000000,5.000000,aircraft,,3.000000,5.994250,aircraft_charge_done
1.000000,1.000000,5.000000,aircraft,,4.000000,5.994250,aircraft_depart
1.000000,1.000000,5.000000,aircraft,,4.000000,6.441750,aircraft_arrive
1.000000,1.000000,5.000000,aircraft,,4.000000,6.725050,aircraft_ground_ops_done
1.000000,1.000000,5.000000,aircraft,,4.000000,7.992333,aircraft_charge_done
1.000000,1.000000,5.000000,takeoff_abu,1.000000,1.000000,0.000000,takeoff_abu_attached
1.000000,1.000000,5.000000,takeoff_abu,1.000000,1.000000,0.065000,takeoff_abu_detach
1.000000,1.000000,5.000000,takeoff_abu,1.000000,1.000000,0.207271,takeoff_abu_return_done
1.000000,1.000000,5.000000,takeoff_abu,1.000000,1.000000,0.207271,takeoff_abu_charge_start
1.000000,1.000000,5.000000,takeoff_abu,1.000000,1.000000,0.527229,takeoff_abu_charge_done
1.000000,1.000000,5.000000,takeoff_abu,1.000000,2.000000,1.998083,takeoff_abu_attached
1.000000,1.000000,5.000000,takeoff_abu,1.000000,2.000000,2.063083,takeoff_abu_detach
1.000000,1.000000,5.000000,takeoff_abu,1.000000,2.000000,2.205354,takeoff_abu_return_done
1.000000,1.000000,5.000000,takeoff_abu,1.000000,2.000000,2.205354,takeoff_abu_charge_start
1.000000,1.000000,5.000000,takeoff_abu,1.000000,2.000000,2.525312,takeoff_abu_charge_done
1.000000,1.000000,5.000000,takeoff_abu,1.000000,3.000000,3.996166,takeoff_abu_attached
1.000000,1.000000,5.000000,takeoff_abu,1.000000,3.000000,4.061166,takeoff_abu_detach
1.000000,1.000000,5.000000,takeoff_abu,1.000000,3.000000,4.203437,takeoff_abu_return_done
1.000000,1.000000,5.000000,takeoff_abu,1.000000,3.000000,4.203437,takeoff_abu_charge_start
1.000000,1.000000,5.000000,takeoff_abu,1.000000,3.000000,4.523395,takeoff_abu_charge_done
1.000000,1.000000,5.000000,takeoff_abu,1.000000,4.000000,5.994250,takeoff_abu_attached
1.000000,1.000000,5.000000,takeoff_abu,1.000000,4.000000,6.059250,takeoff_abu_detach
1.000000,1.000000,5.000000,takeoff_abu,1.000000,4.000000,6.201520,takeoff_abu_return_done
1.000000,1.000000,5.000000,takeoff_abu,1.000000,4.000000,6.201520,takeoff_abu_charge_start
1.000000,1.000000,5.000000,takeoff_abu,1.000000,4.000000,6.521478,takeoff_abu_charge_done
1.000000,1.000000,5.000000,cruise_abu,1.000000,1.000000,0.065000,cruise_abu_attached
1.000000,1.000000,5.000000,cruise_abu,1.000000,1.000000,0.081993,cruise_abu_detach
1.000000,1.000000,5.000000,cruise_abu,1.000000,1.000000,0.896398,cruise_abu_return_done
1.000000,1.000000,5.000000,cruise_abu,1.000000,1.000000,0.896398,cruise_abu_charge_start
1.000000,1.000000,5.000000,cruise_abu,1.000000,1.000000,1.173198,cruise_abu_charge_done
1.000000,1.000000,5.000000,cruise_abu,1.000000,2.000000,2.063083,cruise_abu_attached
1.000000,1.000000,5.000000,cruise_abu,1.000000,2.000000,2.080076,cruise_abu_detach
1.000000,1.000000,5.000000,cruise_abu,1.000000,2.000000,2.894481,cruise_abu_return_done
1.000000,1.000000,5.000000,cruise_abu,1.000000,2.000000,2.894481,cruise_abu_charge_start
1.000000,1.000000,5.000000,cruise_abu,1.000000,2.000000,3.171281,cruise_abu_charge_done
1.000000,1.000000,5.000000,cruise_abu,1.000000,3.000000,4.061166,cruise_abu_attached
1.000000,1.000000,5.000000,cruise_abu,1.000000,3.000000,4.078159,cruise_abu_detach
1.000000,1.000000,5.000000,cruise_abu,1.000000,3.000000,4.892564,cruise_abu_return_done
1.000000,1.000000,5.000000,cruise_abu,1.000000,3.000000,4.892564,cruise_abu_charge_start
1.000000,1.000000,5.000000,cruise_abu,1.000000,3.000000,5.169364,cruise_abu_charge_done
1.000000,1.000000,5.000000,cruise_abu,1.000000,4.000000,6.059250,cruise_abu_attached
1.000000,1.000000,5.000000,cruise_abu,1.000000,4.000000,6.076242,cruise_abu_detach
1.000000,1.000000,5.000000,cruise_abu,1.000000,4.000000,6.890647,cruise_abu_return_done
1.000000,1.000000,5.000000,cruise_abu,1.000000,4.000000,6.890647,cruise_abu_charge_start
1.000000,1.000000,5.000000,cruise_abu,1.000000,4.000000,7.167447,cruise_abu_charge_done
1.000000,1.000000,10.000000,aircraft,,1.000000,0.000000,aircraft_depart
1.000000,1.000000,10.000000,aircraft,,1.000000,0.447500,aircraft_arrive
1.000000,1.000000,10.000000,aircraft,,1.000000,0.730800,aircraft_ground_ops_done
1.000000,1.000000,10.000000,aircraft,,1.000000,1.954922,aircraft_charge_done
1.000000,1.000000,10.000000,aircraft,,2.000000,1.954922,aircraft_depart
1.000000,1.000000,10.000000,aircraft,,2.000000,2.402422,aircraft_arrive
1.000000,1.000000,10.000000,aircraft,,2.000000,2.685722,aircraft_ground_ops_done
1.000000,1.000000,10.000000,aircraft,,2.000000,3.909844,aircraft_charge_done
1.000000,1.000000,10.000000,aircraft,,3.000000,3.909844,aircraft_depart
1.000000,1.000000,10.000000,aircraft,,3.000000,4.357344,aircraft_arrive
1.000000,1.000000,10.000000,aircraft,,3.000000,4.640644,aircraft_ground_ops_done
1.000000,1.000000,10.000000,aircraft,,3.000000,5.864766,aircraft_charge_done
1.000000,1.000000,10.000000,aircraft,,4.000000,5.864766,aircraft_depart
1.000000,1.000000,10.000000,aircraft,,4.000000,6.312266,aircraft_arrive
1.000000,1.000000,10.000000,aircraft,,4.000000,6.595566,aircraft_ground_ops_done
1.000000,1.000000,10.000000,aircraft,,4.000000,7.819688,aircraft_charge_done
1.000000,1.000000,10.000000,takeoff_abu,1.000000,1.000000,0.000000,takeoff_abu_attached
1.000000,1.000000,10.000000,takeoff_abu,1.000000,1.000000,0.065000,takeoff_abu_detach
1.000000,1.000000,10.000000,takeoff_abu,1.000000,1.000000,0.207271,takeoff_abu_return_done
1.000000,1.000000,10.000000,takeoff_abu,1.000000,1.000000,0.207271,takeoff_abu_charge_start
1.000000,1.000000,10.000000,takeoff_abu,1.000000,1.000000,0.527229,takeoff_abu_charge_done
1.000000,1.000000,10.000000,takeoff_abu,1.000000,2.000000,1.954922,takeoff_abu_attached
1.000000,1.000000,10.000000,takeoff_abu,1.000000,2.000000,2.019922,takeoff_abu_detach
1.000000,1.000000,10.000000,takeoff_abu,1.000000,2.000000,2.162193,takeoff_abu_return_done
1.000000,1.000000,10.000000,takeoff_abu,1.000000,2.000000,2.162193,takeoff_abu_charge_start
1.000000,1.000000,10.000000,takeoff_abu,1.000000,2.000000,2.482151,takeoff_abu_charge_done
1.000000,1.000000,10.000000,takeoff_abu,1.000000,3.000000,3.909844,takeoff_abu_attached
1.000000,1.000000,10.000000,takeoff_abu,1.000000,3.000000,3.974844,takeoff_abu_detach
1.000000,1.000000,10.000000,takeoff_abu,1.000000,3.000000,4.117115,takeoff_abu_return_done
1.000000,1.000000,10.000000,takeoff_abu,1.000000,3.000000,4.117115,takeoff_abu_charge_start
1.000000,1.000000,10.000000,takeoff_abu,1.000000,3.000000,4.437073,takeoff_abu_charge_done
1.000000,1.000000,10.000000,takeoff_abu,1.000000,4.000000,5.864766,takeoff_abu_attached
1.000000,1.000000,10.000000,takeoff_abu,1.000000,4.000000,5.929766,takeoff_abu_detach
1.000000,1.000000,10.000000,takeoff_abu,1.000000,4.000000,6.072037,takeoff_abu_return_done
1.000000,1.000000,10.000000,takeoff_abu,1.000000,4.000000,6.072037,takeoff_abu_charge_start
1.000000,1.000000,10.000000,takeoff_abu,1.000000,4.000000,6.391995,takeoff_abu_charge_done
1.000000,1.000000,10.000000,cruise_abu,1.000000,1.000000,0.065000,cruise_abu_attached
1.000000,1.000000,10.000000,cruise_abu,1.000000,1.000000,0.098656,cruise_abu_detach
1.000000,1.000000,10.000000,cruise_abu,1.000000,1.000000,0.875791,cruise_abu_return_done
1.000000,1.000000,10.000000,cruise_abu,1.000000,1.000000,0.875791,cruise_abu_charge_start
1.000000,1.000000,10.000000,cruise_abu,1.000000,1.000000,1.223968,cruise_abu_charge_done
1.000000,1.000000,10.000000,cruise_abu,1.000000,2.000000,2.019922,cruise_abu_attached
1.000000,1.000000,10.000000,cruise_abu,1.000000,2.000000,2.053578,cruise_abu_detach
1.000000,1.000000,10.000000,cruise_abu,1.000000,2.000000,2.830713,cruise_abu_return_done
1.000000,1.000000,10.000000,cruise_abu,1.000000,2.000000,2.830713,cruise_abu_charge_start
1.000000,1.000000,10.000000,cruise_abu,1.000000,2.000000,3.178890,cruise_abu_charge_done
1.000000,1.000000,10.000000,cruise_abu,1.000000,3.000000,3.974844,cruise_abu_attached
1.000000,1.000000,10.000000,cruise_abu,1.000000,3.000000,4.008501,cruise_abu_detach
1.000000,1.000000,10.000000,cruise_abu,1.000000,3.000000,4.785635,cruise_abu_return_done
1.000000,1.000000,10.000000,cruise_abu,1.000000,3.000000,4.785635,cruise_abu_charge_start
1.000000,1.000000,10.000000,cruise_abu,1.000000,3.000000,5.133813,cruise_abu_charge_done
1.000000,1.000000,10.000000,cruise_abu,1.000000,4.000000,5.929766,cruise_abu_attached
1.000000,1.000000,10.000000,cruise_abu,1.000000,4.000000,5.963423,cruise_abu_detach
1.000000,1.000000,10.000000,cruise_abu,1.000000,4.000000,6.740557,cruise_abu_return_done
1.000000,1.000000,10.000000,cruise_abu,1.000000,4.000000,6.740557,cruise_abu_charge_start
1.000000,1.000000,10.000000,cruise_abu,1.000000,4.000000,7.088735,cruise_abu_charge_done
1.000000,1.000000,15.000000,aircraft,,1.000000,0.000000,aircraft_depart
1.000000,1.000000,15.000000,aircraft,,1.000000,0.447500,aircraft_arrive
1.000000,1.000000,15.000000,aircraft,,1.000000,0.730800,aircraft_ground_ops_done
1.000000,1.000000,15.000000,aircraft,,1.000000,1.912599,aircraft_charge_done
1.000000,1.000000,15.000000,aircraft,,2.000000,1.912599,aircraft_depart
1.000000,1.000000,15.000000,aircraft,,2.000000,2.360099,aircraft_arrive
1.000000,1.000000,15.000000,aircraft,,2.000000,2.643399,aircraft_ground_ops_done
