iteration,mtow_guess_kg,new_mtow_kg,delta_kg,empty_mass_kg,battery_mass_kg,payload_mass_kg,total_energy_converged_kw_hr
0,3350.000000,3236.555392,-113.444608,2011.675804,770.879588,454.000000,126.443524
1,3236.555392,3159.593055,-76.962336,1960.774831,744.818224,454.000000,122.168809
2,3159.593055,3108.032487,-51.560568,1926.515681,727.516806,454.000000,119.330944
3,3108.032487,3073.783985,-34.248502,1903.686690,716.097296,454.000000,117.457859
4,3073.783985,3051.165174,-22.618811,1888.577059,708.588115,454.000000,116.226166
5,3051.165174,3036.283992,-14.881182,1878.621864,703.662127,454.000000,115.418180
6,3036.283992,3026.518206,-9.765786,1872.082485,700.435720,454.000000,114.888969
7,3026.518206,3020.120059,-6.398147,1867.795433,698.324626,454.000000,114.542697
8,3020.120059,3015.932831,-4.187228,1864.988629,696.944202,454.000000,114.316273
9,3015.932831,3013.194487,-2.738344,1863.152546,696.041941,454.000000,114.168279
10,3013.194487,3011.404517,-1.789970,1861.952141,695.452376,454.000000,114.071576
11,3011.404517,3010.234828,-1.169689,1861.167622,695.067206,454.000000,114.008398
12,3010.234828,3009.470626,-0.764202,1860.655027,694.815599,454.000000,113.967129
13,3009.470626,3008.971410,-0.499216,1860.320156,694.651253,454.000000,113.940172
14,3008.971410,3008.645323,-0.326086,1860.101413,694.543910,454.000000,113.922565
15,3008.645323,3008.432337,-0.212986,1859.958536,694.473801,454.000000,113.911065
16,3008.432337,3008.293228,-0.139109,1859.865216,694.428012,454.000000,113.903555
17,3008.293228,3008.202373,-0.090855,1859.804267,694.398107,454.000000,113.898649
18,3008.202373,3008.143035,-0.059338,1859.764460,694.378575,454.000000,113.895446
19,3008.143035,3008.104281,-0.038754,1859.738462,694.365819,454.000000,113.893354
20,3008.104281,3008.078971,-0.025310,1859.721482,694.357489,454.000000,113.891987
21,3008.078971,3008.062441,-0.016530,1859.710393,694.352048,454.000000,113.891095
22,3008.062441,3008.051645,-0.010796,1859.703151,694.348495,454.000000,113.890512
23,3008.051645,3008.044595,-0.007051,1859.698421,694.346174,454.000000,113.890131
24,3008.044595,3008.039990,-0.004605,1859.695332,694.344658,454.000000,113.889883
25,3008.039990,3008.036983,-0.003007,1859.693314,694.343668,454.000000,113.889720
26,3008.036983,3008.035019,-0.001964,1859.691997,694.343022,454.000000,113.889614
27,3008.035019,3008.033736,-0.001283,1859.691136,694.342600,454.000000,113.889545
28,3008.033736,3008.032898,-0.000838,1859.690574,694.342324,454.000000,113.889500
