iteration,mtow_guess_kg,new_mtow_kg,delta_kg,empty_mass_kg,battery_mass_kg,payload_mass_kg,total_energy_converged_kw_hr
0,3175.000000,2558.863227,-616.136773,1702.792913,402.070314,454.000000,65.949583
1,2558.863227,2253.539023,-305.324203,1462.369298,337.169725,454.000000,55.304264
2,2253.539023,2111.303746,-142.235277,1348.700347,308.603399,454.000000,50.618673
3,2111.303746,2047.055533,-64.248213,1296.940569,296.114964,454.000000,48.570257
4,2047.055533,2018.447587,-28.607947,1273.802293,290.645294,454.000000,47.673094
5,2018.447587,2005.791305,-12.656282,1263.547112,288.244193,454.000000,47.279254
6,2005.791305,2000.208171,-5.583134,1259.019468,287.188702,454.000000,47.106127
7,2000.208171,1997.748378,-2.459792,1257.023970,286.724408,454.000000,47.029971
8,1997.748378,1996.665260,-1.083118,1256.145152,286.520108,454.000000,46.996461
9,1996.665260,1996.188450,-0.476811,1255.758251,286.430199,454.000000,46.981713
10,1996.188450,1995.978571,-0.209879,1255.587942,286.390629,454.000000,46.975223
11,1995.978571,1995.886193,-0.092379,1255.512980,286.373213,454.000000,46.972366
12,1995.886193,1995.845533,-0.040660,1255.479985,286.365547,454.000000,46.971109
13,1995.845533,1995.827637,-0.017896,1255.465463,286.362174,454.000000,46.970556
14,1995.827637,1995.819760,-0.007877,1255.459072,286.360689,454.000000,46.970312
15,1995.819760,1995.816294,-0.003467,1255.456258,286.360035,454.000000,46.970205
16,1995.816294,1995.814768,-0.001526,1255.455020,286.359748,454.000000,46.970158
17,1995.814768,1995.814096,-0.000672,1255.454475,286.359621,454.000000,46.970137
