n_takeoff_abu_pool,n_cruise_abu_pool,E_abu_mission_cruise_per_abu_kwh,timeline_type,abu_index,flight_index,t_hr,event
1.000000,1.000000,5.000000,aircraft,,1.000000,0.000000,aircraft_depart
1.000000,1.000000,5.000000,aircraft,,1.000000,0.333333,aircraft_arrive
1.000000,1.000000,5.000000,aircraft,,1.000000,0.616633,aircraft_ground_ops_done
1.000000,1.000000,5.000000,aircraft,,1.000000,1.571449,aircraft_charge_done
1.000000,1.000000,5.000000,aircraft,,2.000000,1.571449,aircraft_depart
1.000000,1.000000,5.000000,aircraft,,2.000000,1.904782,aircraft_arrive
1.000000,1.000000,5.000000,aircraft,,2.000000,2.188082,aircraft_ground_ops_done
1.000000,1.000000,5.000000,aircraft,,2.000000,3.142897,aircraft_charge_done
1.000000,1.000000,5.000000,aircraft,,3.000000,3.142897,aircraft_depart
1.000000,1.000000,5.000000,aircraft,,3.000000,3.476230,aircraft_arrive
1.000000,1.000000,5.000000,aircraft,,3.000000,3.759530,aircraft_ground_ops_done
1.000000,1.000000,5.000000,aircraft,,3.000000,4.714346,aircraft_charge_done
1.000000,1.000000,5.000000,aircraft,,4.000000,4.714346,aircraft_depart
1.000000,1.000000,5.000000,aircraft,,4.000000,5.047679,aircraft_arrive
1.000000,1.000000,5.000000,aircraft,,4.000000,5.330979,aircraft_ground_ops_done
1.000000,1.000000,5.000000,aircraft,,4.000000,6.285794,aircraft_charge_done
1.000000,1.000000,5.000000,aircraft,,5.000000,6.285794,aircraft_depart
1.000000,1.000000,5.000000,aircraft,,5.000000,6.619127,aircraft_arrive
1.000000,1.000000,5.000000,aircraft,,5.000000,6.902427,aircraft_ground_ops_done
1.000000,1.000000,5.000000,aircraft,,5.000000,7.857243,aircraft_charge_done
1.000000,1.000000,5.000000,takeoff_abu,1.000000,1.000000,0.000000,takeoff_abu_attached
1.000000,1.000000,5.000000,takeoff_abu,1.000000,1.000000,0.039167,takeoff_abu_detach
1.000000,1.000000,5.000000,takeoff_abu,1.000000,1.000000,0.114546,takeoff_abu_return_done
1.000000,1.000000,5.000000,takeoff_abu,1.000000,1.000000,0.114546,takeoff_abu_charge_start
1.000000,1.000000,5.000000,takeoff_abu,1.000000,1.000000,0.385982,takeoff_abu_charge_done
1.000000,1.000000,5.000000,takeoff_abu,1.000000,2.000000,1.571449,takeoff_abu_attached
1.000000,1.000000,5.000000,takeoff_abu,1.000000,2.000000,1.610615,takeoff_abu_detach
1.000000,1.000000,5.000000,takeoff_abu,1.000000,2.000000,1.685995,takeoff_abu_return_done
1.000000,1.000000,5.000000,takeoff_abu,1.000000,2.000000,1.685995,takeoff_abu_charge_start
1.000000,1.000000,5.000000,takeoff_abu,1.000000,2.000000,1.957430,takeoff_abu_charge_done
1.000000,1.000000,5.000000,takeoff_abu,1.000000,3.000000,3.142897,takeoff_abu_attached
1.000000,1.000000,5.000000,takeoff_abu,1.000000,3.000000,3.182064,takeoff_abu_detach
1.000000,1.000000,5.000000,takeoff_abu,1.000000,3.000000,3.257443,takeoff_abu_return_done
1.000000,1.000000,5.000000,takeoff_abu,1.000000,3.000000,3.257443,takeoff_abu_charge_start
1.000000,1.000000,5.000000,takeoff_abu,1.000000,3.000000,3.528879,takeoff_abu_charge_done
1.000000,1.000000,5.000000,takeoff_abu,1.000000,4.000000,4.714346,takeoff_abu_attached
1.000000,1.000000,5.000000,takeoff_abu,1.000000,4.000000,4.753512,takeoff_abu_detach
1.000000,1.000000,5.000000,takeoff_abu,1.000000,4.000000,4.828892,takeoff_abu_return_done
