daily_operation_hr,n_abu_pool,E_abu_mission_kwh_per_abu,E_abu_total_kwh_per_abu,E_abu_used_kwh_total,E_saved_kwh,E_mission_kwh_main,E_pack_kwh_main,E_pack_kwh_abu,dod_main,dod_abu,soc_start_main,soc_start_abu,soc_target,t_flight_hr,t_attached_hr,t_return_cruise_abu_hr,t_charge_hr_main,t_charge_hr_abu,t_cycle_nominal_hr,n_flights_nominal_no_abu_limit,n_flights_completed,t_flight_day_hr,t_slack_hr,t_wait_abu_day_hr,abu_utilization_avg,abu_bottleneck_flag,P_cc_kw_main,P_cc_kw_abu,charger_limit_indicator_flag_main,charger_limit_indicator_flag_abu
8.000000,1.000000,5.000000,17.000000,5.000000,4.845331,72.800591,92.373233,17.000000,0.788113,1.000000,0.211887,0.000000,1.000000,0.333333,0.018337,0.604716,1.055845,0.276800,1.672478,4.000000,5.000000,1.666667,0.000000,0.000000,0.586887,0.000000,109.250000,109.250000,charger_limited,charger_limited
8.000000,1.000000,10.000000,22.000000,10.000000,9.606059,68.039862,92.373233,22.000000,0.736576,1.000000,0.263424,0.000000,1.000000,0.333333,0.036354,0.564418,1.012268,0.348178,1.628901,4.000000,5.000000,1.666667,0.000000,0.000000,0.617573,0.000000,109.250000,109.250000,charger_limited,charger_limited
8.000000,1.000000,15.000000,27.000000,15.000000,14.283914,63.362007,92.373233,27.000000,0.685935,1.000000,0.314065,0.000000,1.000000,0.333333,0.054057,0.524822,0.969450,0.417592,1.586084,5.000000,5.000000,1.666667,0.069582,0.000000,0.647273,0.000000,109.250000,109.250000,charger_limited,charger_limited
8.000000,1.000000,20.000000,32.000000,20.000000,18.879760,58.766161,92.373233,32.000000,0.636182,1.000000,0.363818,0.000000,1.000000,0.333333,0.071450,0.485919,0.927383,0.485428,1.544016,5.000000,5.000000,1.666667,0.279919,0.000000,0.676228,0.000000,109.250000,109.250000,charger_limited,charger_limited
8.000000,1.000000,25.000000,37.000000,25.000000,23.394676,54.251245,92.373233,37.000000,0.587305,1.000000,0.412695,0.000000,1.000000,0.333333,0.088537,0.447702,0.886056,0.551949,1.502690,5.000000,6.000000,2.000000,0.000000,0.000000,0.845516,0.000000,109.250000,109.250000,charger_limited,charger_limited
8.000000,1.000000,30.000000,42.000000,30.000000,27.829741,49.816180,92.373233,42.000000,0.539292,1.000000,0.460708,0.000000,1.000000,0.333333,0.105321,0.410161,0.845461,0.617344,1.462094,5.000000,6.000000,2.000000,0.000000,0.000000,0.878995,0.000000,109.250000,109.250000,charger_limited,charger_limited
8.000000,1.000000,35.000000,47.000000,35.000000,32.186031,45.459890,92.373233,47.000000,0.492133,1.000000,0.507867,0.000000,1.000000,0.333333,0.121808,0.373287,0.805586,0.681758,1.422220,5.000000,6.000000,2.000000,0.000000,0.000000,0.912014,0.000000,109.250000,109.250000,charger_limited,charger_limited
8.000000,1.000000,40.000000,52.000000,40.000000,36.464623,41.181298,92.373233,52.000000,0.445814,1.000000,0.554186,0.000000,1.000000,0.333333,0.138000,0.337070,0.766423,0.745302,1.383056,5.000000,6.000000,2.000000,0.000000,0.000000,0.944654,0.000000,109.250000,109.250000,charger_limited,charger_limited
8.000000,1.000000,45.000000,57.000000,45.000000,40.666588,36.979333,92.373233,57.000000,0.400325,1.000000,0.599675,0.000000,1.000000,0.333333,0.153902,0.301502,0.727961,0.808068,1.344594,5.000000,6.000000,2.000000,0.000000,0.000000,0.976979,0.000000,109.250000,109.250000,charger_limited,charger_limited
8.000000,1.000000,50.000000,62.000000,50.000000,44.792995,32.852926,92.373233,62.000000,0.355654,1.000000,0.644346,0.000000,1.000000,0.333333,0.169519,0.266573,0.690191,0.870130,1.306824,6.000000,6.000000,2.000000,0.000000,0.192822,1.009041,0.000000,109.250000,109.250000,charger_limited,charger_limited
