n_abu_pool,candidate_name,timeline_type,abu_index,flight_index,t_hr,event
1.000000,after_accel_climb,aircraft,,1.000000,0.000000,aircraft_depart
1.000000,after_accel_climb,aircraft,,1.000000,0.443611,aircraft_arrive
1.000000,after_accel_climb,aircraft,,1.000000,0.726911,aircraft_ground_ops_done
1.000000,after_accel_climb,aircraft,,1.000000,2.030653,aircraft_charge_done
1.000000,after_accel_climb,aircraft,,2.000000,2.030653,aircraft_depart
1.000000,after_accel_climb,aircraft,,2.000000,2.474265,aircraft_arrive
1.000000,after_accel_climb,aircraft,,2.000000,2.757565,aircraft_ground_ops_done
1.000000,after_accel_climb,aircraft,,2.000000,4.061307,aircraft_charge_done
1.000000,after_accel_climb,aircraft,,3.000000,4.061307,aircraft_depart
1.000000,after_accel_climb,aircraft,,3.000000,4.504918,aircraft_arrive
1.000000,after_accel_climb,aircraft,,3.000000,4.788218,aircraft_ground_ops_done
1.000000,after_accel_climb,aircraft,,3.000000,6.091960,aircraft_charge_done
1.000000,after_accel_climb,aircraft,,4.000000,6.091960,aircraft_depart
1.000000,after_accel_climb,aircraft,,4.000000,6.535571,aircraft_arrive
1.000000,after_accel_climb,aircraft,,4.000000,6.818871,aircraft_ground_ops_done
1.000000,after_accel_climb,aircraft,,4.000000,8.122614,aircraft_charge_done
1.000000,after_accel_climb,abu,1.000000,1.000000,0.000000,abu_attach
1.000000,after_accel_climb,abu,1.000000,1.000000,0.039167,abu_detach
1.000000,after_accel_climb,abu,1.000000,1.000000,0.114546,abu_return_done
1.000000,after_accel_climb,abu,1.000000,1.000000,0.114546,abu_charge_start
1.000000,after_accel_climb,abu,1.000000,1.000000,0.385982,abu_charge_done
1.000000,after_accel_climb,abu,1.000000,2.000000,2.030653,abu_attach
1.000000,after_accel_climb,abu,1.000000,2.000000,2.069820,abu_detach
1.000000,after_accel_climb,abu,1.000000,2.000000,2.145200,abu_return_done
1.000000,after_accel_climb,abu,1.000000,2.000000,2.145200,abu_charge_start
1.000000,after_accel_climb,abu,1.000000,2.000000,2.416635,abu_charge_done
1.000000,after_accel_climb,abu,1.000000,3.000000,4.061307,abu_attach
1.000000,after_accel_climb,abu,1.000000,3.000000,4.100474,abu_detach
1.000000,after_accel_climb,abu,1.000000,3.000000,4.175853,abu_return_done
1.000000,after_accel_climb,abu,1.000000,3.000000,4.175853,abu_charge_start
1.000000,after_accel_climb,abu,1.000000,3.000000,4.447289,abu_charge_done
1.000000,after_accel_climb,abu,1.000000,4.000000,6.091960,abu_attach
1.000000,after_accel_climb,abu,1.000000,4.000000,6.131127,abu_detach
1.000000,after_accel_climb,abu,1.000000,4.000000,6.206507,abu_return_done
1.000000,after_accel_climb,abu,1.000000,4.000000,6.206507,abu_charge_start
1.000000,after_accel_climb,abu,1.000000,4.000000,6.477942,abu_charge_done
