n_abus,E_abu_mission_kwh,E_abu_total_kwh,m_abu_batt_kg,m_abu_struct_kg,m_abu_integ_kg,m_rot_hub_kg,m_abu_total_all_kg,P_cruise_attach_kw,P_cruise_post_kw,baseline_cruise_energy_kwh,E_cruise_attach_kwh,E_abu_used_kwh,E_saved_kwh,t_attached_until_depletion_s,t_attached_effective_s,extra_time_s,total_extended_time_s,range_attached_mi,extra_range_mi,total_extended_range_mi,overcapacity,full_coverage_flag
1.000000,5.000000,17.000000,103.642737,20.728547,5.182137,20.936475,150.489897,177.801906,166.249634,25.768693,5.000000,5.000000,4.675136,101.236260,101.236260,101.236260,202.472521,4.220944,4.220944,8.441888,0.000000,0.000000
1.000000,10.000000,22.000000,134.125895,26.825179,6.706295,21.952333,189.609702,180.901842,166.249634,25.768693,10.000000,10.000000,9.190046,199.002949,199.002949,199.002949,398.005897,8.297228,8.297228,16.594456,0.000000,0.000000
1.000000,15.000000,27.000000,164.609053,32.921811,8.230453,22.214228,227.975545,183.980880,166.249634,25.768693,15.000000,15.000000,13.554368,293.508760,293.508760,293.508760,587.017521,12.237553,12.237553,24.475105,0.000000,0.000000
1.000000,20.000000,32.000000,195.092212,39.018442,9.754611,22.470235,266.335500,187.097905,166.249634,25.768693,20.000000,20.000000,17.771405,384.825261,384.825261,384.825261,769.650522,16.044902,16.044902,32.089804,0.000000,0.000000
1.000000,25.000000,37.000000,225.575370,45.115074,11.278768,22.725385,304.694597,190.253315,166.249634,25.768693,25.000000,25.000000,21.845826,473.053517,473.053517,473.053517,946.107034,19.723491,19.723491,39.446981,0.000000,0.000000
1.000000,30.000000,42.000000,256.058528,51.211706,12.802926,22.979726,343.052885,193.447113,166.249634,25.768693,29.984303,29.984303,25.768693,558.292125,558.000000,558.000000,1116.000000,23.265249,23.265249,46.530497,1.000000,1.000000
1.000000,35.000000,47.000000,286.541686,57.308337,14.327084,23.233272,381.410379,196.679298,166.249634,25.768693,30.485291,30.485291,25.768693,640.636821,558.000000,558.000000,1116.000000,23.265249,23.265249,46.530497,1.000000,1.000000
1.000000,40.000000,52.000000,317.024844,63.404969,15.851242,23.486036,419.767091,199.949867,166.249634,25.768693,30.992229,30.992229,25.768693,720.180525,558.000000,558.000000,1116.000000,23.265249,23.265249,46.530497,1.000000,1.000000
1.000000,45.000000,57.000000,347.508002,69.501600,17.375400,23.738033,458.123035,203.258819,166.249634,25.768693,31.505117,31.505117,25.768693,797.013387,558.000000,558.000000,1116.000000,23.265249,23.265249,46.530497,1.000000,1.000000
1.000000,50.000000,62.000000,377.991160,75.598232,18.899558,23.989275,496.478224,206.606154,166.249634,25.768693,32.023954,32.023954,25.768693,871.222837,558.000000,558.000000,1116.000000,23.265249,23.265249,46.530497,1.000000,1.000000
