n_takeoff_abu_pool,n_cruise_abu_pool,E_abu_mission_cruise_per_abu_kwh,timeline_type,abu_index,flight_index,t_hr,event
1.000000,1.000000,5.000000,aircraft,,1.000000,0.000000,aircraft_depart
1.000000,1.000000,5.000000,aircraft,,1.000000,0.333333,aircraft_arrive
1.000000,1.000000,5.000000,aircraft,,1.000000,0.616633,aircraft_ground_ops_done
1.000000,1.000000,5.000000,aircraft,,1.000000,1.248007,aircraft_charge_done
1.000000,1.000000,5.000000,aircraft,,2.000000,1.248007,aircraft_depart
1.000000,1.000000,5.000000,aircraft,,2.000000,1.581340,aircraft_arrive
1.000000,1.000000,5.000000,aircraft,,2.000000,1.864640,aircraft_ground_ops_done
1.000000,1.000000,5.000000,aircraft,,2.000000,2.496013,aircraft_charge_done
1.000000,1.000000,5.000000,aircraft,,3.000000,2.496013,aircraft_depart
1.000000,1.000000,5.000000,aircraft,,3.000000,2.829347,aircraft_arrive
1.000000,1.000000,5.000000,aircraft,,3.000000,3.112647,aircraft_ground_ops_done
1.000000,1.000000,5.000000,aircraft,,3.000000,3.744020,aircraft_charge_done
1.000000,1.000000,5.000000,aircraft,,4.000000,3.744020,aircraft_depart
1.000000,1.000000,5.000000,aircraft,,4.000000,4.077353,aircraft_arrive
1.000000,1.000000,5.000000,aircraft,,4.000000,4.360653,aircraft_ground_ops_done
1.000000,1.000000,5.000000,aircraft,,4.000000,4.992027,aircraft_charge_done
1.000000,1.000000,5.000000,aircraft,,5.000000,4.992027,aircraft_depart
1.000000,1.000000,5.000000,aircraft,,5.000000,5.325360,aircraft_arrive
1.000000,1.000000,5.000000,aircraft,,5.000000,5.608660,aircraft_ground_ops_done
1.000000,1.000000,5.000000,aircraft,,5.000000,6.240033,aircraft_charge_done
1.000000,1.000000,5.000000,aircraft,,6.000000,6.240033,aircraft_depart
1.000000,1.000000,5.000000,aircraft,,6.000000,6.573367,aircraft_arrive
1.000000,1.000000,5.000000,aircraft,,6.000000,6.856667,aircraft_ground_ops_done
1.000000,1.000000,5.000000,aircraft,,6.000000,7.488040,aircraft_charge_done
1.000000,1.000000,5.000000,aircraft,,7.000000,7.488040,aircraft_depart
1.000000,1.000000,5.000000,aircraft,,7.000000,7.821373,aircraft_arrive
1.000000,1.000000,5.000000,aircraft,,7.000000,8.104673,aircraft_ground_ops_done
1.000000,1.000000,5.000000,aircraft,,7.000000,8.736047,aircraft_charge_done
1.000000,1.000000,5.000000,takeoff_abu,1.000000,1.000000,0.000000,takeoff_abu_attached
1.000000,1.000000,5.000000,takeoff_abu,1.000000,1.000000,0.039167,takeoff_abu_detach
1.000000,1.000000,5.000000,takeoff_abu,1.000000,1.000000,0.114546,takeoff_abu_return_done
1.000000,1.000000,5.000000,takeoff_abu,1.000000,1.000000,0.114546,takeoff_abu_charge_start
1.000000,1.000000,5.000000,takeoff_abu,1.000000,1.000000,0.374828,takeoff_abu_charge_done
1.000000,1.000000,5.000000,takeoff_abu,1.000000,2.000000,1.248007,takeoff_abu_attached
1.000000,1.000000,5.000000,takeoff_abu,1.000000,2.000000,1.287173,takeoff_abu_detach
1.000000,1.000000,5.000000,takeoff_abu,1.000000,2.000000,1.362553,takeoff_abu_return_done
1.000000,1.000000,5.000000,takeoff_abu,1.000000,2.000000,1.362553,takeoff_abu_charge_start
1.000000,1.000000,5.000000,takeoff_abu,1.000000,2.000000,1.622834,takeoff_abu_charge_done
1.000000,1.000000,5.000000,takeoff_abu,1.000000,3.000000,2.496013,takeoff_abu_attached
1.000000,1.000000,5.000000,takeoff_abu,1.000000,3.000000,2.535180,takeoff_abu_detach
