n_abus,E_abu_mission_kwh,E_abu_total_kwh,m_abu_batt_kg,m_abu_struct_kg,m_abu_integ_kg,m_rot_hub_kg,m_abu_total_all_kg,E_cruise_attach_kwh,E_abu_used_kwh,baseline_cruise_energy_kwh,E_saved_kwh,extra_time_s,extra_range_mi
1.000000,5.000000,17.000000,103.642737,20.728547,5.182137,20.936475,150.489897,63.119677,5.000000,59.018620,0.898944,19.465888,0.811611
1.000000,10.000000,22.000000,134.125895,26.825179,6.706295,21.952333,189.609702,64.220154,10.000000,59.018620,4.798466,103.906862,4.332292
1.000000,15.000000,27.000000,164.609053,32.921811,8.230453,22.214228,227.975545,65.313212,15.000000,59.018620,8.705408,188.508492,7.859672
1.000000,20.000000,32.000000,195.092212,39.018442,9.754611,22.470235,266.335500,66.419756,20.000000,59.018620,12.598864,272.818104,11.374876
1.000000,25.000000,37.000000,225.575370,45.115074,11.278768,22.725385,304.694597,67.539927,25.000000,59.018620,16.478693,356.832636,14.877778
1.000000,30.000000,42.000000,256.058528,51.211706,12.802926,22.979726,343.052885,68.673725,30.000000,59.018620,20.344895,440.552075,18.368376
1.000000,35.000000,47.000000,286.541686,57.308337,14.327084,23.233272,381.410379,69.821151,35.000000,59.018620,24.197469,523.976431,21.846670
1.000000,40.000000,52.000000,317.024844,63.404969,15.851242,23.486036,419.767091,70.982203,40.000000,59.018620,28.036417,607.105714,25.312662
1.000000,45.000000,57.000000,347.508002,69.501600,17.375400,23.738033,458.123035,72.156881,45.000000,59.018620,31.861739,689.939932,28.766351
1.000000,50.000000,62.000000,377.991160,75.598232,18.899558,23.989275,496.478224,73.345185,50.000000,59.018620,35.673435,772.479095,32.207739
